省份编码,省份,年份,家庭户户数(人口抽样调查)(户),一人户家庭户户数(人口抽样调查)(户),二人户家庭户户数(人口抽样调查)(户),三人户家庭户户数(人口抽样调查)(户),四人户家庭户户数(人口抽样调查)(户),五人户家庭户户数(人口抽样调查)(户),六人户家庭户户数(人口抽样调查)(户),七人户家庭户户数(人口抽样调查)(户),八人户家庭户户数(人口抽样调查)(户),九人户家庭户户数(人口抽样调查)(户),十人及以上户家庭户户数(人口抽样调查)(户)
110000,北京市,2019,6073,1352,1849,1648,673,397,125,18,8,2,1
110000,北京市,2018,6490,1485,1951,1712,724,444,130,27,11,4,3
110000,北京市,2017,6151,1352,1889,1682,620,423,131,35,13,3,3
110000,北京市,2016,6372,1327,1969,1872,631,414,104,32,18,4,1
110000,北京市,2015,110525,23836,34214,31383,11358,7480,1565,398,193,63,34
110000,北京市,2014,6220,1330,1962,1879,591,359,77,11,5,2,3
110000,北京市,2013,5439,985,1675,1726,598,329,86,25,9,2,3
110000,北京市,2012,5878,1240,1756,1868,595,313,75,25,4,1,2
110000,北京市,2011,6166,1541,1851,1837,550,295,69,16,6,1,
110000,北京市,2010,,,,,,,,,,,
110000,北京市,2009,5444,1013,1791,1806,498,263,57,9,6,,
110000,北京市,2008,5308,876,1734,1847,535,240,60,11,5,1,1
110000,北京市,2007,4978,744,1567,1792,530,260,67,13,4,,1
110000,北京市,2006,4981,817,1517,1743,561,262,59,14,7,1,0
110000,北京市,2005,69594,10453,20191,25622,8125,3841,948,259,107,33,15
110000,北京市,2004,4593,611,1207,1816,598,266,68,17,8,1,1
110000,北京市,2003,4614,670,1241,1789,560,261,67,16,7,2,1
110000,北京市,2002,4288,513,1027,1791,602,245,80,19,8,0,3
110000,北京市,2001,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,
120000,天津市,2019,4025,649,1290,1272,552,182,65,12,1,1,
120000,天津市,2018,4171,614,1349,1361,566,197,66,14,3,,
120000,天津市,2017,4162,591,1313,1375,550,230,82,12,6,,2
120000,天津市,2016,4145,584,1258,1386,571,253,76,11,4,,1
120000,天津市,2015,68037,8790,20353,23457,9046,4492,1467,295,93,30,15
120000,天津市,2014,4572,669,1512,1600,497,207,69,10,5,1,
120000,天津市,2013,4406,598,1451,1555,517,209,66,9,2,,
120000,天津市,2012,4089,494,1251,1535,487,236,73,10,3,,
120000,天津市,2011,3887,488,1139,1511,439,234,61,9,4,1,
120000,天津市,2010,,,,,,,,,,,
120000,天津市,2009,3310,279,806,1411,481,268,55,7,1,1,
120000,天津市,2008,3339,257,803,1360,542,310,51,11,2,1,
120000,天津市,2007,3197,236,779,1360,471,286,50,12,3,1,
120000,天津市,2006,3228,267,786,1393,469,248,51,9,4,1,0
120000,天津市,2005,44806,4036,11363,18937,6345,3108,807,144,51,8,7
120000,天津市,2004,3164,193,693,1416,497,276,67,14,7,2,
120000,天津市,2003,3208,193,677,1455,560,240,63,18,3,,
120000,天津市,2002,3229,197,668,1510,543,231,57,16,5,1,0
120000,天津市,2001,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,
130000,河北省,2019,18924,2402,5821,4111,3832,1467,943,247,57,21,22
130000,河北省,2018,19580,2431,5924,4506,3644,1683,1006,269,70,19,28
130000,河北省,2017,19092,2053,5389,4503,3790,1840,1104,295,64,24,28
130000,河北省,2016,19130,1967,4991,4779,3851,1965,1169,287,76,29,17
130000,河北省,2015,338842,33742,87374,84494,68379,35590,21199,5436,1648,581,400
130000,河北省,2014,18917,1940,5110,4690,3729,1955,1107,247,94,29,18
130000,河北省,2013,18922,1982,4946,4955,3854,1796,1040,251,70,16,10
130000,河北省,2012,18532,1846,4669,4671,3734,2047,1174,253,87,30,23
130000,河北省,2011,18033,1629,4227,4695,3770,2122,1145,276,103,41,26
130000,河北省,2010,,,,,,,,,,,
130000,河北省,2009,18850,1504,4638,4919,4220,2251,949,267,73,14,15
130000,河北省,2008,18824,1293,4349,5169,4701,2037,975,210,57,23,11
130000,河北省,2007,19188,1399,4482,5139,4827,2128,947,190,55,13,8
130000,河北省,2006,19248,1421,4229,5584,4671,2223,840,210,61,10,0
130000,河北省,2005,270892,20585,59008,77806,64353,31476,13179,3122,934,264,166
130000,河北省,2004,18913,1143,3360,5540,4856,2616,960,309,83,30,17
130000,河北省,2003,19203,1217,3271,5872,5121,2366,945,302,83,15,13
130000,河北省,2002,18777,1095,3325,5328,5058,2405,1111,282,119,24,32
130000,河北省,2001,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,
140000,山西省,2019,9807,1451,2949,2559,1854,632,279,66,14,1,2
140000,山西省,2018,10035,1335,2859,2607,2052,761,332,64,20,3,2
140000,山西省,2017,10104,1429,2731,2667,2132,769,305,49,14,6,2
140000,山西省,2016,9768,953,2481,2902,2222,821,296,59,24,5,4
140000,山西省,2015,172990,18745,44238,48648,37030,15604,6627,1356,457,175,112
140000,山西省,2014,9521,1101,2552,2620,1910,803,420,66,32,10,7
140000,山西省,2013,9757,1174,2543,2820,2014,743,366,67,21,7,3
140000,山西省,2012,9664,1062,2422,2943,1901,868,390,53,14,8,2
140000,山西省,2011,9287,883,2054,2761,2045,951,451,96,26,10,9
140000,山西省,2010,,,,,,,,,,,
140000,山西省,2009,9226,720,2149,2608,2197,1056,387,74,20,10,5
140000,山西省,2008,9193,637,1957,2755,2299,970,453,85,27,8,3
140000,山西省,2007,9106,650,1812,2674,2330,1041,469,94,24,7,6
140000,山西省,2006,9080,601,1749,2683,2312,1167,436,86,25,14,7
140000,山西省,2005,130427,9979,26546,36662,31604,16374,6821,1648,514,163,115
140000,山西省,2004,8863,506,1390,2325,2530,1369,494,158,52,15,23
140000,山西省,2003,8832,474,1291,2356,2599,1222,593,193,69,22,15
140000,山西省,2002,8917,551,1357,2320,2600,1284,568,164,46,16,11
140000,山西省,2001,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,
150000,内蒙古自治区,2019,7272,1130,2627,2227,940,251,79,14,1,3,1
150000,内蒙古自治区,2018,7852,1109,2743,2562,1030,281,104,17,4,1,1
150000,内蒙古自治区,2017,7644,968,2682,2520,990,356,104,20,3,1,1
150000,内蒙古自治区,2016,7467,898,2484,2568,1010,374,108,19,6,2,
150000,内蒙古自治区,2015,133437,16073,42331,47294,18645,6430,2046,435,134,30,18
150000,内蒙古自治区,2014,7664,984,2610,2602,982,354,110,16,5,,
150000,内蒙古自治区,2013,7420,883,2390,2593,1040,376,115,17,5,,1
150000,内蒙古自治区,2012,7176,771,2294,2683,983,346,83,10,5,1,
150000,内蒙古自治区,2011,7365,778,2332,2827,1005,340,72,8,3,,
150000,内蒙古自治区,2010,,,,,,,,,,,
150000,内蒙古自治区,2009,7367,595,2145,2798,1169,501,140,13,5,1,
150000,内蒙古自治区,2008,7324,521,2020,2805,1317,493,141,19,6,1,
150000,内蒙古自治区,2007,7387,515,2068,2835,1337,461,141,25,4,1,
150000,内蒙古自治区,2006,7285,502,1977,2744,1320,566,136,30,8,2,0
150000,内蒙古自治区,2005,106792,9178,29574,41861,16895,7038,1711,371,110,42,12
150000,内蒙古自治区,2004,7337,485,1686,2793,1460,676,171,44,13,6,3
150000,内蒙古自治区,2003,7356,429,1615,2848,1529,641,221,52,14,4,3
150000,内蒙古自治区,2002,7473,480,1634,2935,1564,614,180,50,12,3,1
150000,内蒙古自治区,2001,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,
210000,辽宁省,2019,13205,2604,4857,3590,1305,610,195,39,4,1,
210000,辽宁省,2018,13791,2663,4949,3943,1353,631,216,30,6,1,
210000,辽宁省,2017,13382,2034,4658,4354,1377,733,182,34,9,1,
210000,辽宁省,2016,13344,1817,4450,4469,1487,851,207,49,10,2,2
210000,辽宁省,2015,234112,29010,72962,80497,29513,16164,4775,848,255,56,32
210000,辽宁省,2014,13534,1902,4721,4585,1347,728,211,30,8,3,
210000,辽宁省,2013,12706,1687,4165,4332,1489,772,203,46,9,3,
