省份编码,省份,年份,农村居民家庭平均每人消费支出(元),农村居民家庭平均每人食品消费支出(元),农村居民家庭平均每人衣着消费支出(元),农村居民家庭平均每人居住消费支出(元),农村居民家庭平均每人家庭设备及用品消费支出(元),农村居民家庭平均每人交通通信消费支出(元),农村居民家庭平均每人文教娱乐消费支出(元),农村居民家庭平均每人医疗保健消费支出(元),农村居民家庭平均每人其他消费支出(元)
110000,北京市,2019,,,,,,,,,
110000,北京市,2018,,,,,,,,,
110000,北京市,2017,,,,,,,,,
110000,北京市,2016,,,,,,,,,
110000,北京市,2015,,,,,,,,,
110000,北京市,2014,,,,,,,,,
110000,北京市,2013,,,,,,,,,
110000,北京市,2012,11878.9202728307,3944.76292574678,947.972059820749,2199.75189172607,773.549016742448,1398.79604278918,1152.66918390412,1125.249410466,336.169741635345
110000,北京市,2011,11077.66,3593.48,862.58,2350.31,714.52,1228.19,1003.67,1035.18,289.72
110000,北京市,2010,9254.77,2994.66,699.42,1990.21,473.62,1112.44,950.61,840.61,193.21
110000,北京市,2009,8897.59,2808.92,654.36,1798.88,528.0,1132.09,960.41,867.87,147.06
110000,北京市,2008,7284.65,2470.72,577.81,1162.96,402.56,950.53,883.35,709.44,127.29
110000,北京市,2007,6399.27,2132.51,513.44,1023.21,340.15,778.52,870.12,629.56,111.75
110000,北京市,2006,5724.5,1878.95,451.63,859.37,303.46,698.14,844.08,575.8,113.06
110000,北京市,2005,5315.70908914214,1735.95368486423,378.659273486091,854.354245909163,326.885965712834,615.490849502712,796.988956342901,504.199511574866,103.17659789928
110000,北京市,2004,4616.936568,1495.091089,308.8451585,746.0427297,227.2657207,512.2344151,743.7237633,507.55136,76.18233105
110000,北京市,2003,4147.3,1331.69,288.248696646341,787.84,216.25,393.35,691.39,356.31,82.22
110000,北京市,2002,3731.68,1273.26,269.62,558.1,224.92,289.03,624.97,337.94,153.84
110000,北京市,2001,,,,,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,,,,,,,,,
120000,天津市,2018,,,,,,,,,
120000,天津市,2017,,,,,,,,,
120000,天津市,2016,,,,,,,,,
120000,天津市,2015,,,,,,,,,
120000,天津市,2014,,,,,,,,,
120000,天津市,2013,,,,,,,,,
120000,天津市,2012,8336.54655603959,3019.85929643996,780.722802319224,1263.5053740291,451.300592932941,1066.26885986216,766.08047609671,760.412240236301,228.396914123182
120000,天津市,2011,6725.42,2375.97,611.73,1346.3,352.28,781.55,542.12,571.65,143.82
120000,天津市,2010,4936.73,2060.83,365.86,888.32,233.02,467.48,462.25,360.47,98.5
120000,天津市,2009,4273.15,1848.11,324.63,674.67,187.83,481.27,371.85,299.79,85.01
120000,天津市,2008,3825.43,1568.95,292.52,699.21,153.61,402.87,324.47,301.06,82.75
120000,天津市,2007,3538.31,1367.75,286.33,674.81,126.74,400.11,312.07,306.19,64.3
120000,天津市,2006,3341.06,1212.62,265.3,664.43,122.41,441.32,315.59,263.24,56.14
120000,天津市,2005,3035.96113945836,1171.38997823395,257.255853062008,614.290930323383,117.108312054201,327.580742890251,328.86409027878,179.177390853172,40.2938410843489
120000,天津市,2004,2642.109078,1017.716219,181.2134488,508.0574907,108.5132055,230.4076618,376.8666959,177.1005203,42.23383316
