省份编码,省份,年份,农业生产资料指数(上年=100),农用手工工具指数(上年=100),饲料价格指数(上年=100),仔畜幼禽及产品畜(上年=100),半机械化农具生产资料价格指数(上年=100),机械化农具生产资料价格指数(上年=100),化学肥料生产资料价格指数(上年=100),农药及农药械生产资料价格指数(上年=100),化学农药生产资料价格指数(上年=100),农药器械生产资料价格指数(上年=100),农用机油生产资料价格指数(上年=100),其他农业生产资料价格指数(上年=100),农用种子生产资料价格指数(上年=100),其他农业生产资料(除种子)价格指数(上年=100),农业生产服务价格指数(上年=100)
110000,北京市,2019,,,,,,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,,,,,,
110000,北京市,2017,,,,,,,,,,,,,,,
110000,北京市,2016,,,,,,,,,,,,,,,
110000,北京市,2015,,,,,,,,,,,,,,,
110000,北京市,2014,,,,,,,,,,,,,,,
110000,北京市,2013,,,,,,,,,,,,,,,
110000,北京市,2012,,,,,,,,,,,,,,,
110000,北京市,2011,,,,,,,,,,,,,,,
110000,北京市,2010,,,,,,,,,,,,,,,
110000,北京市,2009,,,,,,,,,,,,,,,
110000,北京市,2008,,,,,,,,,,,,,,,
110000,北京市,2007,,,,,,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,,,,,
120000,天津市,2019,,,,,,,,,,,,,,,
120000,天津市,2018,,,,,,,,,,,,,,,
120000,天津市,2017,,,,,,,,,,,,,,,
120000,天津市,2016,,,,,,,,,,,,,,,
120000,天津市,2015,,,,,,,,,,,,,,,
120000,天津市,2014,,,,,,,,,,,,,,,
120000,天津市,2013,,,,,,,,,,,,,,,
120000,天津市,2012,,,,,,,,,,,,,,,
120000,天津市,2011,,,,,,,,,,,,,,,
120000,天津市,2010,,,,,,,,,,,,,,,
120000,天津市,2009,,,,,,,,,,,,,,,
120000,天津市,2008,,,,,,,,,,,,,,,
120000,天津市,2007,,,,,,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,,,,,
130000,河北省,2019,103.1,100.6,100,137.4,101,100.2,101.8,103.8,104,101.1,94.7,100.3,,,102.8
130000,河北省,2018,103.20115193,100.77131896,103.58500557,89.55551237,101.72346256,100.67399734,108.39256254,105.20669114,,,111.17362087,101.76647485,,,100.16597062
130000,河北省,2017,101.0,100.7,99.6,101.0,102,100.2,102.4,100.9,,,107.8,100.5,,,100.1
130000,河北省,2016,100.01361481,99.91118823,95.96880955,133.45517875,100.34664393,100.61846472,98.30207125,98.59403695,98.6,98.9,98.44466477,99.42086627,,,100.32346035
130000,河北省,2015,99.75267276,99.97687623,99.27130694,104.44701501,99.96923682,100.37202159,101.43422183,99.58116276,99.4,100.5,86.40207639,99.12630122,100.6,94.4,100.45527537
