省份编码,省份,年份,固定资产投资价格指数(上年=100),建筑安装工程固定资产投资价格指数(上年=100),设备工器具购置固定资产投资价格指数(上年=100),其他费用固定资产投资价格指数(上年=100)
110000,北京市,2019,102.098,100.9707,99.9747,103.7633
110000,北京市,2018,103.78,108.16,100.4,100.6
110000,北京市,2017,104.67,110.47,100.06,100.01
110000,北京市,2016,99.66,98.82,98.95,100.71
110000,北京市,2015,97.58,94.38,99.45,100.51
110000,北京市,2014,99.98,98.53,99.35,101.72
110000,北京市,2013,99.89,97.29,97.68,102.89
110000,北京市,2012,101.3,98.97,97.36,104.04
110000,北京市,2011,105.7,109.72,98.94,103.98
110000,北京市,2010,102.5,103.99,99.1,101.88
110000,北京市,2009,97.1,94.3,96.8,100.9
110000,北京市,2008,107.78,111.84,97.97,104.82
110000,北京市,2007,102.8,104.1,98.9,102.1
110000,北京市,2006,100.4,99.7,99.6,101.8
110000,北京市,2005,100.71,100.47,98.37,101.92
110000,北京市,2004,104.29,107.67,95.25,101.34
110000,北京市,2003,102.2,104.31,95.57,100.8
110000,北京市,2002,100.4,101.2,93.7,100.7
110000,北京市,2001,100.6,101.5,97.1,100.1
110000,北京市,2000,101.0,101.3,100.5,100.6
120000,天津市,2019,101.7184,102.6009,99.7694,101.4097
120000,天津市,2018,104.51,106.94,100.95,100.49
120000,天津市,2017,104.27,106.61,100.52,100.67
120000,天津市,2016,99.37,98.9,98.81,101.22
120000,天津市,2015,99.89,99.61,99.25,101.23
120000,天津市,2014,100.5,100.45,99.31,101.61
120000,天津市,2013,99.48,99.3,98.77,100.59
120000,天津市,2012,99.95,100.07,98.3,101.1
120000,天津市,2011,105.7,109.0,99.84,102.05
120000,天津市,2010,102.57,104.19,100.15,100.47
120000,天津市,2009,97.6,96.4,98.5,100.2
120000,天津市,2008,109.2,113.95,99.59,104.2
120000,天津市,2007,102.6,103.5,99.1,103.6
120000,天津市,2006,100.7,100.3,99.9,102.9
120000,天津市,2005,101.16,101.4,99.05,102.61
120000,天津市,2004,107.33,111.26,100.47,101.04
120000,天津市,2003,102.59,104.88,97.81,100.44
120000,天津市,2002,99.5,100.7,94.9,100.2
120000,天津市,2001,99.7,100.1,98.5,100.1
120000,天津市,2000,99.9,100.7,97.8,100.1
130000,河北省,2019,102.9639,103.0675,100.5504,107.0114
130000,河北省,2018,105.02,106.7,101.28,100.55
130000,河北省,2017,106.73,109.5,100.45,101.56
130000,河北省,2016,99.41,99.43,98.68,100.77
130000,河北省,2015,97.97,97.09,99.3,100.4
130000,河北省,2014,100.2,100.15,99.5,101.93
130000,河北省,2013,99.93,99.87,99.05,101.88
130000,河北省,2012,100.28,100.6,99.2,100.71
130000,河北省,2011,105.5,107.89,101.62,101.93
130000,河北省,2010,103.7,105.01,101.2,102.79
130000,河北省,2009,96.5,94.7,97.4,102.3
130000,河北省,2008,109.62,113.93,101.6,105.84
130000,河北省,2007,103.8,105.4,100.7,102.4
130000,河北省,2006,101.7,101.6,101.6,102.6
130000,河北省,2005,101.85,101.78,101.94,101.98
130000,河北省,2004,107.01,109.58,103.56,102.09
130000,河北省,2003,102.26,104.21,98.48,101.43
130000,河北省,2002,99.5,100.0,98.0,100.3
130000,河北省,2001,99.9,100.6,97.9,100.4
130000,河北省,2000,101.1,102.3,98.4,100.9
140000,山西省,2019,104.0149,104.5788,100.8839,104.2978
140000,山西省,2018,104.49,106.5,100.95,100.85
140000,山西省,2017,106.29,109.43,100.61,100.13
140000,山西省,2016,100.04,100.52,98.87,99.86
140000,山西省,2015,98.2,97.73,99.33,99.32
