省份编码,省份,年份,食品烟酒类居民消费价格指数(上年=100),食品类居民消费价格指数(上年=100),粮食类居民消费价格指数(上年=100),薯类居民消费价格指数(上年=100),豆类居民消费价格指数(上年=100),食用油类居民消费价格指数(上年=100),菜类居民消费价格指数(上年=100),鲜菜类居民消费价格指数(上年=100),畜肉类居民消费价格指数(上年=100),禽肉类居民消费价格指数(上年=100),水产品类居民消费价格指数(上年=100),蛋类居民消费价格指数(上年=100),奶类居民消费价格指数(上年=100),干鲜瓜果类居民消费价格指数(上年=100),鲜瓜果类居民消费价格指数(上年=100),糖果糕点类居民消费价格指数(上年=100),调味品类居民消费价格指数(上年=100),其他食品类居民消费价格指数(上年=100),茶及饮料类居民消费价格指数(上年=100),烟酒类居民消费价格指数(上年=100),在外餐饮类居民消费价格指数(上年=100),衣着类居民消费价格指数(上年=100),服装类居民消费价格指数(上年=100),服装材料类居民消费价格指数(上年=100),其他衣着及配件类居民消费价格指数(上年=100),衣着加工服务费类居民消费价格指数(上年=100),鞋类居民消费价格指数(上年=100),居住类居民消费价格指数(上年=100),租赁房房租类居民消费价格指数(上年=100),住房保养维修及管理类居民消费价格指数(上年=100),水电燃料类居民消费价格指数(上年=100),自有住房类居民消费价格指数(上年=100),生活用品及服务类居民消费价格指数(上年=100),家具及室内装饰品类居民消费价格指数(上年=100),家用器具类居民消费价格指数(上年=100),家用纺织品类居民消费价格指数(上年=100),家庭日用杂品类居民消费价格指数(上年=100),个人护理用品类居民消费价格指数(上年=100),家庭服务类居民消费价格指数(上年=100),交通和通信类居民消费价格指数(上年=100),交通类居民消费价格指数(上年=100),交通工具类居民消费价格指数(上年=100),交通工具用燃料类居民消费价格指数(上年=100),交通工具使用和维修类居民消费价格指数(上年=100),交通费类居民消费价格指数(上年=100),通信类居民消费价格指数(上年=100),教育文化和娱乐类居民消费价格指数(上年=100),教育类居民消费价格指数(上年=100),教育用品类居民消费价格指数(上年=100),教育服务类居民消费价格指数(上年=100),文化娱乐类居民消费价格指数(上年=100),文娱耐用消费品类居民消费价格指数(上年=100),其他文娱用品类居民消费价格指数(上年=100),文化娱乐服务类居民消费价格指数(上年=100),旅游类居民消费价格指数(上年=100),医疗保健类居民消费价格指数(上年=100),药品及医疗器具类居民消费价格指数(上年=100),医疗服务类居民消费价格指数(上年=100),其他用品和服务类居民消费价格指数(上年=100),其他用品类居民消费价格指数(上年=100),其他服务类居民消费价格指数(上年=100)
110000,北京市,2019,105.2,106.2,99.6,,,99.6,100.6,100.7,,,98.4,103.8,,108.8,111.2,,,,,100.5,104.3,101.9,102.7,102.8,,109.1,,101.3,101.7,,101.1,,99.7,,,,98.9,,105.6,97.2,97.9,97.1,94.2,103.2,,95.5,101,102.9,100.8,103,99.7,,,,101.6,108.4,,121.6,103.19719908,,
110000,北京市,2018,103.08688197,102.90611405,101.44410354,,,100.6273771,111.88631473,112.84203318,,,100.60371464,115.76731206,,102.7359096,104.61266661,,,,,101.87668046,103.86474608,99.74946085,99.74807011,101.76820091,,107.97488615,,103.21532569,102.86642693,,100.89002721,103.41966655,101.3103105,,,,100.93323553,,105.51888625,100.64658979,103.64283891,96.89575574,112.45274666,102.89778099,,93.25981299,103.5521292,106.91189565,103.28703054,107.00709497,101.47836201,,,,106.79844355,102.97504701,,105.8370545,,,
110000,北京市,2017,100.5,99.4,100.9,96,103.4,100.8,91.1,90.0,98.4,101.8,104.4,95.8,98.9,102.6,103.9,103.4,103.9,98.6,100.40534655,100.49889334,102.758528,97.81044969,97.87580802,101.35510055,97.42663449,103.48625397,97.12531201,103.81459799,103.80172548,102.62427777,100.13528925,104.7914251,100.648496,104.21545467,97.21694425,97.95564963,98.82522245,101.62252192,103.04959125,100.33529161,102.00447719,96.19669395,108.79012673,101.25863535,103.72311232,96.44448329,102.29153396,102.71802619,101.553317,102.74897492,102.0,94.84314023,100.33886729,100.30173124,111.1650022,107.41750361,102.39885028,118.79443878,102.6900452,100.71202055,104.04855132
110000,北京市,2016,103.0,103.3,99.1,109.9,101.0,99.5,109.9,110.3,106.5,101.3,103.9,96.7,102.1,98.2,97.9,103.2,105.2,105.1,100.4,101.0,102.8,100.2,99.6,100.7,98.1,101.7,102.0,103.7,103.8,101.2,100.2,104.9,99.2,101.2,93.1,95.7,100.2,102.5,103.4,96.6,97.9,95.3,96.3,103.1,101.3,93.5,98.3,101.2,100.8,101.2,96.5,92.4,101.0,101.1,97.6,102.6,103.7,100.0,104.3,106.1,103.0
110000,北京市,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
