省份编码,省份,年份,工业生产者出厂价格指数(上年=100)
110000,北京市,2019,99.6
110000,北京市,2018,100.0012
110000,北京市,2017,100.7
110000,北京市,2016,98.1
110000,北京市,2015,96.8685
110000,北京市,2014,99.1228
110000,北京市,2013,97.4
110000,北京市,2012,98.4181
110000,北京市,2011,102.3
110000,北京市,2010,102.23
110000,北京市,2009,94.4
110000,北京市,2008,103.3
110000,北京市,2007,99.7
110000,北京市,2006,99.05
110000,北京市,2005,101.31
110000,北京市,2004,103.04
110000,北京市,2003,101.5
110000,北京市,2002,96.62
110000,北京市,2001,99.4
110000,北京市,2000,102.5
120000,天津市,2019,99.3
120000,天津市,2018,105.4084
120000,天津市,2017,108.4
120000,天津市,2016,97.9
120000,天津市,2015,90.3035
120000,天津市,2014,96.3184
120000,天津市,2013,96.9978
120000,天津市,2012,97.0167
120000,天津市,2011,103.8
120000,天津市,2010,105.06
120000,天津市,2009,92.5
120000,天津市,2008,104.1
120000,天津市,2007,101.5
120000,天津市,2006,100.61
120000,天津市,2005,100.11
120000,天津市,2004,104.06
120000,天津市,2003,102.5
120000,天津市,2002,95.85
120000,天津市,2001,95.9
120000,天津市,2000,102.8
130000,河北省,2019,100.2
130000,河北省,2018,106.2338
130000,河北省,2017,115.0
130000,河北省,2016,99.9
130000,河北省,2015,89.0872
130000,河北省,2014,95.2122
130000,河北省,2013,96.5507
130000,河北省,2012,94.7185
130000,河北省,2011,107.7
130000,河北省,2010,109.03
130000,河北省,2009,89.1
130000,河北省,2008,116.7
130000,河北省,2007,106.9
130000,河北省,2006,100.78
130000,河北省,2005,104.39
130000,河北省,2004,111.55
130000,河北省,2003,107.1
130000,河北省,2002,99.4
130000,河北省,2001,99.9
130000,河北省,2000,105.3
140000,山西省,2019,99.7
140000,山西省,2018,106.6714
140000,山西省,2017,119.4
140000,山西省,2016,96.8
140000,山西省,2015,87.6659
140000,山西省,2014,91.4479
140000,山西省,2013,90.6773
140000,山西省,2012,94.4513
140000,山西省,2011,107.5
140000,山西省,2010,109.51
140000,山西省,2009,92.0
140000,山西省,2008,122.4
140000,山西省,2007,107.4
140000,山西省,2006,100.95
140000,山西省,2005,110.19
140000,山西省,2004,116.14
140000,山西省,2003,112.2
140000,山西省,2002,103.63
140000,山西省,2001,100.3
140000,山西省,2000,100.9
150000,内蒙古自治区,2019,102.1
150000,内蒙古自治区,2018,103.1646
150000,内蒙古自治区,2017,110.6
150000,内蒙古自治区,2016,98.9
150000,内蒙古自治区,2015,93.9995
150000,内蒙古自治区,2014,97.3205
150000,内蒙古自治区,2013,96.9678
150000,内蒙古自治区,2012,100.2209
150000,内蒙古自治区,2011,107.8
150000,内蒙古自治区,2010,106.71
150000,内蒙古自治区,2009,96.2
150000,内蒙古自治区,2008,112.5
150000,内蒙古自治区,2007,105.7
150000,内蒙古自治区,2006,103.01
150000,内蒙古自治区,2005,105.09
150000,内蒙古自治区,2004,105.06
150000,内蒙古自治区,2003,103.2
150000,内蒙古自治区,2002,99.31
150000,内蒙古自治区,2001,100.1
150000,内蒙古自治区,2000,102.8
210000,辽宁省,2019,99.5
210000,辽宁省,2018,104.8468
210000,辽宁省,2017,108.1
210000,辽宁省,2016,98.8
210000,辽宁省,2015,93.9468
210000,辽宁省,2014,98.2
210000,辽宁省,2013,99.0012
210000,辽宁省,2012,99.9471
210000,辽宁省,2011,106.5
210000,辽宁省,2010,107.42
210000,辽宁省,2009,94.0
210000,辽宁省,2008,110.9
210000,辽宁省,2007,104.4
210000,辽宁省,2006,104.13
210000,辽宁省,2005,105.14
210000,辽宁省,2004,107.06
210000,辽宁省,2003,103.6
210000,辽宁省,2002,97.82
210000,辽宁省,2001,98.6
210000,辽宁省,2000,108.8
220000,吉林省,2019,98.9
220000,吉林省,2018,102.7599
220000,吉林省,2017,103.1
220000,吉林省,2016,98.4
220000,吉林省,2015,95.3013
220000,吉林省,2014,99.1
220000,吉林省,2013,98.7326
220000,吉林省,2012,99.0787
220000,吉林省,2011,105.4
220000,吉林省,2010,105.21
220000,吉林省,2009,96.1
220000,吉林省,2008,104.9
220000,吉林省,2007,102.7
220000,吉林省,2006,101.68
220000,吉林省,2005,104.29
220000,吉林省,2004,105.04
220000,吉林省,2003,102.5
220000,吉林省,2002,98.62
220000,吉林省,2001,100.3
220000,吉林省,2000,105.1
230000,黑龙江省,2019,98.2
230000,黑龙江省,2018,109.0306
230000,黑龙江省,2017,109.3
230000,黑龙江省,2016,95.1
230000,黑龙江省,2015,86.0255
230000,黑龙江省,2014,97.1
230000,黑龙江省,2013,97.9786
230000,黑龙江省,2012,100.0022
230000,黑龙江省,2011,112.0
230000,黑龙江省,2010,114.99
230000,黑龙江省,2009,87.4
230000,黑龙江省,2008,114.0
230000,黑龙江省,2007,105.3
230000,黑龙江省,2006,109.9
230000,黑龙江省,2005,116.66
230000,黑龙江省,2004,113.07
230000,黑龙江省,2003,111.9
230000,黑龙江省,2002,97.81
230000,黑龙江省,2001,95.9
230000,黑龙江省,2000,122.9
310000,上海市,2019,98.8
310000,上海市,2018,101.7037
310000,上海市,2017,103.5
310000,上海市,2016,98.8
310000,上海市,2015,96.0838
310000,上海市,2014,98.9
310000,上海市,2013,98.2112
310000,上海市,2012,98.4115
310000,上海市,2011,102.9
310000,上海市,2010,102.25
310000,上海市,2009,93.8
310000,上海市,2008,102.2
310000,上海市,2007,101.2
310000,上海市,2006,100.63
310000,上海市,2005,101.74
310000,上海市,2004,103.64
310000,上海市,2003,101.4
310000,上海市,2002,96.43
310000,上海市,2001,96.7
310000,上海市,2000,102.5
320000,江苏省,2019,98.9
320000,江苏省,2018,102.7742
320000,江苏省,2017,104.8
320000,江苏省,2016,98.1
320000,江苏省,2015,95.3366
320000,江苏省,2014,98.3
320000,江苏省,2013,97.9875
320000,江苏省,2012,97.1143
320000,江苏省,2011,106.2
320000,江苏省,2010,107.34
320000,江苏省,2009,95.2
320000,江苏省,2008,104.6
320000,江苏省,2007,102.6
320000,江苏省,2006,101.49
320000,江苏省,2005,102.58
320000,江苏省,2004,106.5
320000,江苏省,2003,102.3
320000,江苏省,2002,97.62
320000,江苏省,2001,99.1
320000,江苏省,2000,101.1
330000,浙江省,2019,98.9
330000,浙江省,2018,103.4292
330000,浙江省,2017,104.8
330000,浙江省,2016,98.3
330000,浙江省,2015,96.3807
330000,浙江省,2014,98.8
330000,浙江省,2013,98.164
330000,浙江省,2012,97.2712
330000,浙江省,2011,105.0
330000,浙江省,2010,106.22
330000,浙江省,2009,94.9
330000,浙江省,2008,104.3
330000,浙江省,2007,102.4
330000,浙江省,2006,103.81
330000,浙江省,2005,102.3
330000,浙江省,2004,104.95
330000,浙江省,2003,100.6
330000,浙江省,2002,96.89
330000,浙江省,2001,98.3
330000,浙江省,2000,101.1
340000,安徽省,2019,100.3
340000,安徽省,2018,103.0293
340000,安徽省,2017,108.0
340000,安徽省,2016,98.5
340000,安徽省,2015,93.9397
340000,安徽省,2014,97.4
340000,安徽省,2013,98.1555
340000,安徽省,2012,98.2607
340000,安徽省,2011,108.3
340000,安徽省,2010,108.98
340000,安徽省,2009,92.8
340000,安徽省,2008,108.4
340000,安徽省,2007,103.6
340000,安徽省,2006,103.07
340000,安徽省,2005,103.25
340000,安徽省,2004,108.16
340000,安徽省,2003,103.5
340000,安徽省,2002,99.82
340000,安徽省,2001,98.6
