省份编码,省份,年份,木材产量(万立方米),橡胶产量(吨),松脂产量(吨),生漆产量(吨),油桐籽产量(吨),油茶籽产量(吨),乌桕籽产量(吨),五倍籽产量(吨),棕片产量(吨),竹笋片产量(吨),紫胶产量(吨)
110000,北京市,2019,17.3278,,,,,,,,,,
110000,北京市,2018,13.7896,,,,,,,,,,
110000,北京市,2017,12.7405,,,,,,,,,,
110000,北京市,2016,15.3821,,,,,,,,,,
110000,北京市,2015,12.9225,,,,,,,,,,
110000,北京市,2014,13.0296,,,,,,,,,,
110000,北京市,2013,20.8131,,,,,,,,,,
110000,北京市,2012,14.3321,,,,,,,,,,
110000,北京市,2011,10.2856,,,,,,,,,,
110000,北京市,2010,9.7187,,,,,,,,,,
110000,北京市,2009,7.5114,,,,,,,,,,
110000,北京市,2008,7.1082,,,,,,,,,,
110000,北京市,2007,6.8265,,,,,,,,,,
110000,北京市,2006,6.1548,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,
110000,北京市,2002,33.03,,,,,,,,,,
110000,北京市,2001,4.01,,,,,,,,,,
110000,北京市,2000,10.2,,,,,,,,,,
120000,天津市,2019,30.9665,,,,,,,,,,
120000,天津市,2018,19.7488,,,,,,,,,,
120000,天津市,2017,14.6953,,,,,,,,,,
120000,天津市,2016,17.9983,,,,,,,,,,
120000,天津市,2015,17.0437,,,,,,,,,,
120000,天津市,2014,14.7085,,,,,,,,,,
120000,天津市,2013,15.378,,,,,,,,,,
120000,天津市,2012,10.6834,,,,,,,,,,
120000,天津市,2011,9.8768,,,,,,,,,,
120000,天津市,2010,21.4686,,,,,,,,,,
120000,天津市,2009,5.009,,,,,,,,,,
120000,天津市,2008,4.6782,,,,,,,,,,
120000,天津市,2007,5.0,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,,
120000,天津市,2002,32.0,,,,,,,,,,
120000,天津市,2001,3.13,,,,,,,,,,
120000,天津市,2000,2.38,,,,,,,,,,
130000,河北省,2019,106.6475,,,,,,,,,,
130000,河北省,2018,87.4165,,,,,,,,,,
130000,河北省,2017,78.7028,,,,,,,,,,
130000,河北省,2016,82.2954,,,,,,,,,,
130000,河北省,2015,80.4492,,,,,,,,,,
130000,河北省,2014,90.1836,,,,,,,,,,
130000,河北省,2013,84.6788,,,,,,,,,,
130000,河北省,2012,74.682,,,,,,,,,,
130000,河北省,2011,71.3398,,,,,,,,,,
130000,河北省,2010,71.3395,,,,,,,,,,
130000,河北省,2009,58.0621,,,,,,,,,,
130000,河北省,2008,55.1452,,,6,,,,,,,
130000,河北省,2007,58.8829,,,1,,,,,,,
130000,河北省,2006,52.7475,,,,,,,,,,
130000,河北省,2005,,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,,
130000,河北省,2002,43.88,,,,,,,,,,
130000,河北省,2001,52.5,,,,,,,,,,
130000,河北省,2000,66.37,,,,,,,,,,
140000,山西省,2019,25.7461,,,,,,,,,,
140000,山西省,2018,25.9745,,,,,,,,,,
140000,山西省,2017,21.8136,,,,,,,,,,
140000,山西省,2016,21.4765,,,,,,,,,,
140000,山西省,2015,14.1022,,,,,,,,,,
140000,山西省,2014,15.6411,,,,,,,,,,
140000,山西省,2013,11.9193,,,,,,,,,,
140000,山西省,2012,12.2147,,,,,,,,,,
140000,山西省,2011,5.3639,,,,,,,,,,
140000,山西省,2010,4.7651,,,,,,,,,,
140000,山西省,2009,5.7415,,,,,,,,,,
140000,山西省,2008,7.3487,,,,,,,,,,
140000,山西省,2007,8.9013,,,,,,,,,,
140000,山西省,2006,9.4947,,,,,,,,,,
140000,山西省,2005,,,,,,,,,,,
140000,山西省,2004,,,,,,,,,,,
140000,山西省,2003,,,,,,,,,,,
140000,山西省,2002,5.06,,,,,,,,,,
140000,山西省,2001,3.8,,,,,,,,,,
140000,山西省,2000,6.72,,,,,,,,,,
150000,内蒙古自治区,2019,85.2797,,,,,,,,,,
150000,内蒙古自治区,2018,74.5455,,,,,,,,,,
150000,内蒙古自治区,2017,83.5167,,,,,,,,,,
150000,内蒙古自治区,2016,81.7059,,,,,,,,,,
150000,内蒙古自治区,2015,142.6174,,,,,,,,,,
150000,内蒙古自治区,2014,178.7476,,,,,,,,,,
150000,内蒙古自治区,2013,186.2398,,,,,,,,,,
150000,内蒙古自治区,2012,208.825,,,,,,,,,,
150000,内蒙古自治区,2011,217.8795,,,,,,,,,,
150000,内蒙古自治区,2010,320.5512,,,,,,,,,,
150000,内蒙古自治区,2009,311.8086,,,,,,,,,,
150000,内蒙古自治区,2008,342.3872,,,,,,,,,,
150000,内蒙古自治区,2007,416.6559,,,,,,,,,,
150000,内蒙古自治区,2006,336.8058,,,,,,,,,,
150000,内蒙古自治区,2005,,,,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,,,,
150000,内蒙古自治区,2002,25.68,,,,,,,,,,
150000,内蒙古自治区,2001,25.4,,,,,,,,,,
150000,内蒙古自治区,2000,17.96,,,,,,,,,,
210000,辽宁省,2019,107.0265,,,,,,,,,,
210000,辽宁省,2018,170.9617,,,,,,,,,,
210000,辽宁省,2017,194.4925,,,,,,,,,,
210000,辽宁省,2016,187.0055,,,,,,,,,,
210000,辽宁省,2015,165.9192,,,,,,,,,,
210000,辽宁省,2014,199.9568,,,,,,,,,,
210000,辽宁省,2013,178.2719,,,,,,,,,,
210000,辽宁省,2012,191.4296,,,,,,,,,,
210000,辽宁省,2011,197.5744,,,,,,,,,,
210000,辽宁省,2010,194.6428,,,,,,,,,,
210000,辽宁省,2009,187.0811,,3,,,,,,,,
210000,辽宁省,2008,180.9966,,,,,,,,,,
210000,辽宁省,2007,194.4499,,,,,,,,,,
210000,辽宁省,2006,229.2792,,,,,,,,,,
210000,辽宁省,2005,,,,,,,,,,,
210000,辽宁省,2004,,,,,,,,,,,
210000,辽宁省,2003,,,,,,,,,,,
210000,辽宁省,2002,87.09,,,,,,,,,,
210000,辽宁省,2001,60.19,,,,,,,,,,
210000,辽宁省,2000,58.08,,,,,,,,,,
220000,吉林省,2019,205.0037,,,,,,,,,,
220000,吉林省,2018,165.4636,,,,,,,,,,
220000,吉林省,2017,185.6304,,,,,,,,,,
220000,吉林省,2016,185.2694,,,,,,,,,,
220000,吉林省,2015,287.8718,,,,,,,,,,
220000,吉林省,2014,345.1819,,,,,,,,,,
220000,吉林省,2013,347.4069,,,,,,,,,,
220000,吉林省,2012,344.2643,,,,,,,,,,
220000,吉林省,2011,434.2747,,,,,,,,,,
220000,吉林省,2010,475.8914,,,,,,,,,,
220000,吉林省,2009,395.0642,,,,,,,,,,
220000,吉林省,2008,421.239,,,,,,,,,,
220000,吉林省,2007,419.2862,,,,,,,,,,
220000,吉林省,2006,443.8177,,,,,,,,,,
220000,吉林省,2005,,,,,,,,,,,
220000,吉林省,2004,,,,,,,,,,,
220000,吉林省,2003,,,,,,,,,,,
220000,吉林省,2002,37.25,,,,,,,,,,
220000,吉林省,2001,40.14,,,,,,,,,,
220000,吉林省,2000,42.8,,,,,,,,,,
230000,黑龙江省,2019,154.757,,,,,,,,,,
230000,黑龙江省,2018,70.5775,,,,,,,,,,
230000,黑龙江省,2017,91.1841,,,,,,,,,,
230000,黑龙江省,2016,116.3867,,,,,,,,,,
230000,黑龙江省,2015,156.772,,,,,,,,,,
230000,黑龙江省,2014,212.7877,,,,,,,,,,
230000,黑龙江省,2013,219.6318,,,,,,,,,,
230000,黑龙江省,2012,301.8867,,,,,,,,,,
230000,黑龙江省,2011,336.7888,,,,,,,,,,
230000,黑龙江省,2010,571.4285,,,,,,,,,,
230000,黑龙江省,2009,530.5652,,,,,,,,,,
230000,黑龙江省,2008,549.22,,,,,,,,,,
230000,黑龙江省,2007,550.6084,,,,,,,,,,
230000,黑龙江省,2006,560.1528,,,,,,,,,,
230000,黑龙江省,2005,,,,,,,,,,,
230000,黑龙江省,2004,,,,,,,,,,,
230000,黑龙江省,2003,,,,,,,,,,,
230000,黑龙江省,2002,18.16,,,,,,,,,,
230000,黑龙江省,2001,15.36,,,,,,,,,,
230000,黑龙江省,2000,12.03,,,,,,,,,,
310000,上海市,2019,0.084,,,,,,,,,,
310000,上海市,2018,,,,,,,,,,,
310000,上海市,2017,,,,,,,,,,,
310000,上海市,2016,,,,,,,,,,187,
310000,上海市,2015,,,,,,,,,,184,
310000,上海市,2014,,,,,,,,,,208,
310000,上海市,2013,0.2076,,,,,,,,,184,
310000,上海市,2012,0.319,,,,,,,,,187,
310000,上海市,2011,,,,,,,,,,190,
310000,上海市,2010,,,,,,,,,,,
310000,上海市,2009,,,,,,,,,,214,
310000,上海市,2008,,,,,,,,,,214,
310000,上海市,2007,1.2589,,,,,,,,,160,
310000,上海市,2006,,,,,,,,,,,
310000,上海市,2005,,,,,,,,,,,
310000,上海市,2004,,,,,,,,,,,
310000,上海市,2003,,,,,,,,,,5089,
310000,上海市,2002,0.28,,,,,,,,,231,
310000,上海市,2001,0.78,,,,,,,,,,
310000,上海市,2000,1.1,,,,,,,,,,
320000,江苏省,2019,232.5063,,,,,152,,,,,
320000,江苏省,2018,133.8508,,,,,260,,,,,
320000,江苏省,2017,140.7079,,,,,265,,,,,
320000,江苏省,2016,156.0774,,,,,263,,,,852,
320000,江苏省,2015,131.8172,,,,,,,,,721,
320000,江苏省,2014,141.3303,,,,,299,3,,,7178,
320000,江苏省,2013,144.0965,,,,,62,,3,,3200,
320000,江苏省,2012,173.4054,,,,,61,12,,,3140,
320000,江苏省,2011,166.1386,,,,,4,,,,2794,
320000,江苏省,2010,150.9003,,,,,,,,,4291,
320000,江苏省,2009,99.4448,,,,,174,,,,3887,
320000,江苏省,2008,112.5908,,,,,,,,,3579,
320000,江苏省,2007,79.3455,,,,,5,,,,168,
320000,江苏省,2006,65.8666,,,,,68,,,,538,
320000,江苏省,2005,,,,,,170,9,,,686,
320000,江苏省,2004,,,250,,2,196,,,,1464,
320000,江苏省,2003,,,,,195,16,,,,1001,
320000,江苏省,2002,114.12,,,,11,7,,,,1303,
320000,江苏省,2001,50.47,,,,15,30,,,,1065,
320000,江苏省,2000,136.16,,,,38,38,,,,1279,
330000,浙江省,2019,123.531,,,,,74022,,,,,
330000,浙江省,2018,123.4218,,272,20,178,68523,,,,,
330000,浙江省,2017,95.986,,287,20,168,61039,,,,,
330000,浙江省,2016,108.178,,309,20,161,51421,,,516,159305,
330000,浙江省,2015,123.6791,,616,,152,64353,,,452,160779,
330000,浙江省,2014,136.7679,,895,10,107,58444,,,409,159644,
330000,浙江省,2013,154.3747,,1136,10,87,45681,,,462,140040,
330000,浙江省,2012,156.9275,,2061,,84,61683,,,437,141110,
330000,浙江省,2011,176.2581,,1950,,80,48860,,,451,148810,
330000,浙江省,2010,198.2052,,1416,,72,40301,,,485,149182,
330000,浙江省,2009,196.5568,,992,,68,47048,,,481,126061,
330000,浙江省,2008,302.4411,,1415,2,62,49634,,,423,124383,
330000,浙江省,2007,190.2762,,1773,8,68,43833,80,,525,158441,
330000,浙江省,2006,185.3609,,1647,2,134,38234,97,,753,148800,
330000,浙江省,2005,,,1940,,162,43361,13,,754,142267,
330000,浙江省,2004,,,2119,7,254,34179,86,,1234,160677,
330000,浙江省,2003,,,2697,15,122,33035,94,,1306,147701,
330000,浙江省,2002,323.78,,3695,18,343,32800,54,,1280,141533,
330000,浙江省,2001,317.95,,3574,20,438,30249,88,,1328,126778,
330000,浙江省,2000,342.8,,5352,137,501,32547,287,,1277,119730,
340000,安徽省,2019,509.6565,,,,,94096,,,,,
340000,安徽省,2018,450.5015,,14880,110,1729,97267,,,,,
340000,安徽省,2017,434.1261,,15057,343,1894,85763,,,,,
340000,安徽省,2016,447.2698,,13842,161,1977,81735,95,60,4057,31872,
340000,安徽省,2015,457.9632,,12480,199,2507,78327,118,118,3906,31272,
340000,安徽省,2014,465.5179,,13105,453,2653,71425,118,88,3982,28291,
340000,安徽省,2013,477.5422,,11141,410,2830,63932,106,83,3767,25661,
340000,安徽省,2012,495.6335,,10918,405,2730,55309,120,75,2577,26759,
340000,安徽省,2011,494.8458,,6467,244,2374,31608,180,64,1096,16959,
340000,安徽省,2010,458.1871,,7621,213,3054,25864,121,52,1048,15113,
340000,安徽省,2009,373.7626,,13569,257,2656,29973,146,49,953,14281,
340000,安徽省,2008,405.9077,,10560,260,1945,34069,182,22,1268,14264,
340000,安徽省,2007,408.8716,,8536,491,2831,31816,274,29,1423,15119,
340000,安徽省,2006,397.2107,,7055,238,3549,8204,2511,30,1368,14080,
340000,安徽省,2005,,,5433,220,3208,9743,356,5,1683,15865,
340000,安徽省,2004,,,4351,196,3062,10673,346,12,1877,17027,
340000,安徽省,2003,,,4075,214,2579,8544,423,8,1135,16658,
340000,安徽省,2002,209.58,,4673,179,3345,21667,828,61,1102,16350,114
340000,安徽省,2001,206.12,,5661,202,3123,18269,841,188,1123,21049,
340000,安徽省,2000,263.03,,8851,280,3109,10419,2649,59,1884,18680,
350000,福建省,2019,647.5537,,,,,130330,,,,,
350000,福建省,2018,580.2169,,107635,85,26329,174154,,,,,
