省份编码,省份,年份,乡村从业人员(万人),乡村男性从业人员(万人),乡村女性从业人员(万人),农林牧渔业从业人员(万人)
110000,北京市,2019,,,,
110000,北京市,2018,,,,
110000,北京市,2017,,,,
110000,北京市,2016,,,,
110000,北京市,2015,,,,
110000,北京市,2014,,,,
110000,北京市,2013,,,,
110000,北京市,2012,341.67,184.26,157.41,56.32
110000,北京市,2011,338.26,182.55,155.71,58.05
110000,北京市,2010,347.78,186.36,161.42,60.12
110000,北京市,2009,338.6832,181.8122,156.871,60.8693
110000,北京市,2008,321.3,172.6,148.7,61.83
110000,北京市,2007,313.3501,170.3134,143.0367,61.5296
110000,北京市,2006,316.87,183.65,133.22,65.66
110000,北京市,2005,184.04,95.82,88.22,58.58
110000,北京市,2004,171.39,89.24,82.15,57.9
110000,北京市,2003,169.6,87.91,81.69,59.53
110000,北京市,2002,165.6,85.83,79.77,64.11
110000,北京市,2001,165.34,85.52,79.82,67.87
110000,北京市,2000,165.8,85.3,80.5,69.7
120000,天津市,2019,,,,
120000,天津市,2018,,,,
120000,天津市,2017,,,,
120000,天津市,2016,,,,
120000,天津市,2015,,,,
120000,天津市,2014,,,,
120000,天津市,2013,,,,
120000,天津市,2012,195.95,106.59,89.36,72.32
120000,天津市,2011,193.45,105.48,87.97,73.18
120000,天津市,2010,191.8,104.97,86.83,73.85
120000,天津市,2009,191.7,104.85,86.85,75.7
120000,天津市,2008,186.36,101.83,84.53,76.28
120000,天津市,2007,183.82,100.5,83.32,76.98
120000,天津市,2006,181.16,99.16,82.0,78.265
120000,天津市,2005,178.5,97.82,80.68,79.55
120000,天津市,2004,175.74,95.88,79.86,80.54
120000,天津市,2003,173.77,94.72,79.05,81.16
120000,天津市,2002,168.71,92.2,76.51,80.28
120000,天津市,2001,169.16,92.48,76.68,81.02
120000,天津市,2000,168.07,92.23,75.84,79.65
130000,河北省,2019,,,,
130000,河北省,2018,,,,
130000,河北省,2017,,,,
130000,河北省,2016,,,,
130000,河北省,2015,,,,
130000,河北省,2014,,,,
130000,河北省,2013,,,,
130000,河北省,2012,3023.37,1632.38,1390.99,1419.85
130000,河北省,2011,3003.8294,1621.1106,1382.7188,1433.1681
130000,河北省,2010,2976.55,1602.54,1374.01,1458.33
130000,河北省,2009,2944.3555,1583.4803,1360.8752,1472.4967
130000,河北省,2008,2894.82,1552.24,1342.58,1478.23
130000,河北省,2007,2846.53,1526.75,1319.78,1479.04
130000,河北省,2006,2817.8,1513.34,1304.46,1513.04
130000,河北省,2005,2805.94,1504.13,1301.81,1552.75
130000,河北省,2004,2771.98,1484.13,1287.85,1600.43
130000,河北省,2003,2748.04,1470.79,1277.25,1660.24
130000,河北省,2002,2731.76,1462.07,1269.69,1651.97
130000,河北省,2001,2717.88,1454.03,1263.85,1664.96
130000,河北省,2000,2707.1,1447.7,1259.4,1665.45
140000,山西省,2019,,,,
140000,山西省,2018,,,,
140000,山西省,2017,,,,
140000,山西省,2016,,,,
140000,山西省,2015,,,,
140000,山西省,2014,,,,
140000,山西省,2013,,,,
140000,山西省,2012,1137.7075,631.5139,506.1936,640.6777
140000,山西省,2011,1129.5289,625.2411,504.2878,643.4305
140000,山西省,2010,1100.0088,609.8635,490.1453,632.4384
140000,山西省,2009,1081.85,599.11,482.74,631.62
