省份编码,省份,年份,农村居民家庭拥有生产性固定资产原值(元/户),农村居民家庭拥有农业生产性固定资产原值(元/户),农村居民家庭拥有农业房屋及建筑物原值(元/人),农村居民家庭拥有役畜原值(元/人),农村居民家庭拥大中型铁木农具原值(元/人),农村居民家庭拥有农业机械原值(元/人),农村居民家庭拥有林业生产性固定资产原值(元/户),农村居民家庭拥有林业机械原值(元/人),农村居民家庭拥有牧业生产性固定资产原值(元/户),农村居民家庭拥有牧业房屋及建筑物原值(元/人),农村居民家庭拥有产品畜原值(元/人),农村居民家庭拥有渔业生产性固定资产原值(元/户),农村居民家庭拥有渔业机械原值(元/人),农村居民家庭拥有采矿业生产性固定资产原值(元/户),农村居民家庭拥有制造业生产性固定资产原值(元/户),农村居民家庭拥有制造业房屋及建筑物原值(元/人),农村居民家庭拥有生产设备原值(元/人),农村居民家庭拥有电力煤气与水的生产及供应生产性固定资产原值(元/户),农村居民家庭拥有建筑业生产性固定资产原值(元/户),农村居民家庭拥有交通运输及邮电业生产性固定资产原值(元/户),农村居民家庭拥有批发和零售贸易业生产性固定资产原值(元/户),农村居民家庭拥有住宿和餐饮业生产性固定资产原值(元/户),农村居民家庭拥有社会服务业生产性固定资产原值(元/户),农村居民家庭拥有教育生产性固定资产原值(元/户),农村居民家庭拥有社会保障和福利业生产性固定资产原值(元/户),农村居民家庭拥有文化体育和娱乐业生产性固定资产原值(元/户),农村居民家庭拥有其他生产性固定资产原值(元/户)
110000,北京市,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,北京市,2012,12767.0915,3658.52316666667,,,,,100.5,,1842.7,,,117.1,,,2351,,,,573.333333333333,3205.13333333333,1245.4,1148.8,546.849333333333,,20,,18.0433333333333
110000,北京市,2011,12635.05,3469.02,741.1,14.5,24.1,608.9,88.4,83.6,1829.7,1383.2,377.7,117.1,37.1,3.3,2344.4,1001.1,1232.9,,621.666666666667,3305.96666666667,932.5,1370.7,1868.83,,20,,69.33
110000,北京市,2010,7208.84,2918.3,499.7,5.3,11.7,827.2,85.7,79.1,1160.6,619.6,508.0,328.0,246.7,,280,160.0,120.0,,502.67,1818.0,920.5,554.0,202.0,,,13.3,
110000,北京市,2009,15705.04,2513.7,297.7,5.3,11.7,845.6,72.5,65.8,940.9,492.9,389.2,301.3,140.0,,53.3,13.3,40.0,,236.0,1757.33,619.9,1144.0,9367.47,,,13.3,
110000,北京市,2008,9503.71,3510.91,1228.9,88.0,14.3,763.8,75.9,75.9,961.3,412.7,504.7,368.0,100.0,,53.3,13.3,40.0,,237.07,2672.53,280.5,528.0,1834.67,,,13.3,373.33
110000,北京市,2007,7679.74,3349.26,1239.1,98.7,22.7,715.1,39.9,35.4,865.8,352.7,478.3,368.0,100.0,,53.3,,,,213.07,2233.87,381.5,266.7,779.33,,29.3,,373.33
