省份编码,省份,年份,全社会建设总规模(亿元),全社会在建总规模(亿元),全社会在建净规模(亿元)
110000,北京市,2019,,,
110000,北京市,2018,,,
110000,北京市,2017,,,
110000,北京市,2016,,,
110000,北京市,2015,,,
110000,北京市,2014,36779.21,31689.29,10181.67
110000,北京市,2013,,,
110000,北京市,2012,32474.07,29414.4166,10751.2456
110000,北京市,2011,29149.9954,26433.3272,10700.1726
110000,北京市,2010,27670.9,23721.1,9846.5
110000,北京市,2009,26909.6552,23470.0822,11547.2245
110000,北京市,2008,20893.5644,17573.8579,7394.0334
110000,北京市,2007,18739.196,16295.5737,7298.4284
110000,北京市,2006,15255.6623,13135.2355,6084.526
110000,北京市,2005,11840.99,10118.78,4986.6696
110000,北京市,2004,10669.01,9114.94,4533.42
110000,北京市,2003,,,
110000,北京市,2002,,,
110000,北京市,2001,,,
110000,北京市,2000,,,
120000,天津市,2019,,,
120000,天津市,2018,,,
120000,天津市,2017,,,
120000,天津市,2016,,,
120000,天津市,2015,,,
120000,天津市,2014,32862.34,25601.95,9718.42
120000,天津市,2013,,,
120000,天津市,2012,29619.5204,24945.2034,10732.8267
120000,天津市,2011,25012.2116,21278.3185,10040.5932
120000,天津市,2010,20816.6,16929.0,8229.0
120000,天津市,2009,15698.9382,12557.6947,5847.7253
120000,天津市,2008,11841.8949,10133.6436,5073.0452
120000,天津市,2007,8458.5376,7149.3777,3718.8634
120000,天津市,2006,6570.2101,5058.5291,2555.0611
120000,天津市,2005,6482.7448,5677.1905,3591.7393
120000,天津市,2004,3618.21,2757.18,1388.1
120000,天津市,2003,,,
120000,天津市,2002,,,
120000,天津市,2001,,,
120000,天津市,2000,,,
130000,河北省,2019,,,
130000,河北省,2018,,,
130000,河北省,2017,,,
130000,河北省,2016,,,
130000,河北省,2015,,,
130000,河北省,2014,73334.24,49771.83,24835.05
130000,河北省,2013,,,
130000,河北省,2012,57483.3119,42515.7418,21968.5307
130000,河北省,2011,46893.3551,35616.1204,18546.2735
130000,河北省,2010,38243.0,27861.0,14027.9
130000,河北省,2009,28093.6417,19743.4259,10051.3996
130000,河北省,2008,17996.209,12215.2371,5330.0876
130000,河北省,2007,14901.8097,11183.3912,5221.216
130000,河北省,2006,11290.7728,8491.2722,4071.2017
130000,河北省,2005,8658.5493,6259.8687,3383.3279
130000,河北省,2004,7217.79,5456.65,3084.14
130000,河北省,2003,,,
130000,河北省,2002,,,
130000,河北省,2001,,,
130000,河北省,2000,,,
140000,山西省,2019,,,
140000,山西省,2018,,,
140000,山西省,2017,,,
140000,山西省,2016,,,
140000,山西省,2015,,,
140000,山西省,2014,37897.68,25930.61,11082.96
140000,山西省,2013,,,
140000,山西省,2012,26453.9076,19778.9166,9406.9193
140000,山西省,2011,20870.0137,15947.5131,7552.123
140000,山西省,2010,17918.7,13857.6,6888.5
140000,山西省,2009,13898.1641,10896.1375,5641.3173
140000,山西省,2008,9533.6018,7235.383,3442.7456
140000,山西省,2007,8400.7305,6436.0533,3283.0263
140000,山西省,2006,6361.9481,5123.858,2369.6373
140000,山西省,2005,5070.9414,4114.4562,2116.1239
140000,山西省,2004,4057.69,3536.8,1818.41
140000,山西省,2003,,,
140000,山西省,2002,,,
140000,山西省,2001,,,
140000,山西省,2000,,,
150000,内蒙古自治区,2019,,,
