省份编码,省份,年份,房地产开发企业计划总投资(亿元),房地产开发企业自开始建设至本年底累计完成投资(亿元),房地产开发企业本年完成投资额(亿元),房地产开发企业建筑安装工程本年完成投资额(亿元),房地产开发企业设备工器具购置本年完成投资额(亿元),房地产开发企业其他费用本年完成投资额(亿元)
110000,北京市,2019,27464.365,21700.5943,3838.3805,1289.0764,12.5841,2536.72
110000,北京市,2018,28717.761,22020.8141,3873.3513,1160.5768,12.6991,2700.0754
110000,北京市,2017,27721.0665,21029.6315,3692.5416,1161.5274,22.4343,2508.5799
110000,北京市,2016,25006.5028,19437.3755,4000.5729,1332.2865,20.8036,2647.4828
110000,北京市,2015,23192.2447,18036.5482,4177.0481,1297.8748,22.9668,2856.2065
110000,北京市,2014,21752.369,16381.8478,3715.3341,1601.1781,47.3386,2066.8174
110000,北京市,2013,20668.8496,14529.7619,3483.4045,1509.9942,53.0413,1920.369
110000,北京市,2012,20749.0584,14048.9765,3153.4419,1383.0645,65.6771,1704.7003
110000,北京市,2011,18561.2765,11901.3878,3036.3118,1235.0542,38.4643,1762.7933
110000,北京市,2010,17140.64,11136.25,2901.07,910.8492,46.2805,1943.9389
110000,北京市,2009,17483.0,9675.75,2337.7124,841.5527,45.7246,1450.4351
110000,北京市,2008,13111.06,8099.7,1908.7387,829.5646,48.6324,1030.5417
110000,北京市,2007,11979.3199,7332.1274,1995.8206,1015.2715,58.8899,921.6592
110000,北京市,2006,9535.8584,5851.9657,1719.865,953.1771,55.47,711.2179
110000,北京市,2005,7001.1412,4535.7368,1525.0082,881.8057,42.3215,600.881
110000,北京市,2004,5393.2198,3327.4493,1473.2859,872.1439,35.4306,565.7114
110000,北京市,2003,4592.3798,2760.0786,1202.4763,716.2225,24.2855,461.9683
110000,北京市,2002,,3030.59,989.4132,,,
110000,北京市,2001,,2450.4313,783.8185,,,
110000,北京市,2000,,2043.8837,522.0737,,,
120000,天津市,2019,21370.4306,13557.9252,2727.8199,1024.2017,5.1783,1698.4399
120000,天津市,2018,19152.4869,12310.3667,2424.4892,880.0658,7.3047,1537.1187
120000,天津市,2017,16709.0742,11378.1027,2233.3936,1148.4465,5.8076,1079.1395
120000,天津市,2016,15426.7751,10103.5529,2300.0107,1409.9413,13.1294,876.94
120000,天津市,2015,14094.6108,8957.8113,1871.5464,1328.298,13.0354,530.213
120000,天津市,2014,13190.0916,7914.2783,1699.6496,1180.8766,10.8781,507.8949
120000,天津市,2013,12165.0512,7047.9178,1480.8152,1066.8571,13.3215,400.6366
120000,天津市,2012,10183.8195,5453.8223,1259.9969,882.0207,9.0326,368.9436
120000,天津市,2011,7992.6846,4406.7683,1080.2492,807.3873,10.0843,262.7776
120000,天津市,2010,5687.35,3287.38,866.64,578.024,3.4761,285.1423
120000,天津市,2009,3995.2,2610.86,735.1836,485.2249,5.3831,244.5756
120000,天津市,2008,3328.22,2616.27,653.7248,428.9925,3.5192,221.2131
120000,天津市,2007,2389.5483,1802.4808,505.2956,333.3665,2.6891,169.24
120000,天津市,2006,2055.6582,1226.2428,402.3184,266.0916,5.4786,130.7482
120000,天津市,2005,2728.2178,1133.2715,327.5403,197.7292,5.1975,124.6136
120000,天津市,2004,1220.8701,779.1457,263.9165,160.8581,5.034,98.0244
120000,天津市,2003,718.8352,437.1925,211.3876,132.2478,4.0638,75.076
120000,天津市,2002,,467.72,175.8446,,,
120000,天津市,2001,,422.1317,161.2662,,,
120000,天津市,2000,,317.8666,133.9294,,,
130000,河北省,2019,24879.3248,14673.5631,4347.054,3382.5901,90.4932,873.9707
130000,河北省,2018,21115.3475,13931.817,4476.4037,3797.8118,89.852,588.7399
130000,河北省,2017,21004.4039,14906.2993,4823.9092,4171.4491,113.7265,538.7336
130000,河北省,2016,19475.8856,13701.8882,4695.6333,4045.8974,110.351,539.3849
130000,河北省,2015,17578.5817,12001.9712,4285.271,3591.3544,91.518,602.3986
130000,河北省,2014,16813.5552,11109.0227,4059.7194,3265.7425,90.3655,703.6114
130000,河北省,2013,15121.7144,10074.3237,3445.4155,2867.9609,75.2836,502.171
130000,河北省,2012,12691.2586,7748.5858,3086.5214,2501.536,58.6288,526.3566
130000,河北省,2011,11197.1742,6144.6608,3054.5897,2401.9526,42.1725,610.4646
130000,河北省,2010,7617.69,4290.04,2264.94,1696.9874,27.2486,540.6994
130000,河北省,2009,4385.01,2505.07,1520.0387,1161.2927,17.1274,341.6186
130000,河北省,2008,3199.08,1941.9,1084.4418,799.6507,16.9997,267.7914
130000,河北省,2007,2186.2951,1272.1654,709.2806,508.0232,5.3082,195.9492
130000,河北省,2006,1627.0574,850.7243,481.5829,368.1092,4.4392,109.0345
130000,河北省,2005,1213.0976,547.3368,391.5256,298.8202,3.2897,89.4157
130000,河北省,2004,904.6382,427.0095,315.898,232.3738,2.6796,80.8446
130000,河北省,2003,675.621,409.4826,251.2674,180.8885,3.3498,67.0291
130000,河北省,2002,,273.85,175.0411,,,
130000,河北省,2001,,227.9969,140.7752,,,
130000,河北省,2000,,190.6364,108.3938,,,
140000,山西省,2019,12700.222,7245.9859,1656.5005,1094.9869,20.0297,541.4839
140000,山西省,2018,10685.5056,6411.8598,1376.5885,961.3948,15.5969,399.5968
140000,山西省,2017,9612.972,6236.7128,1166.2833,880.4929,14.5484,271.242
140000,山西省,2016,8892.5779,6111.2272,1597.3532,1293.5171,22.1372,281.6989
140000,山西省,2015,7902.7115,5075.8307,1494.8719,1176.9367,23.8025,294.1327
140000,山西省,2014,6969.7982,4449.4262,1403.5549,1142.9051,22.814,237.8358
140000,山西省,2013,5789.2914,3669.4587,1308.6275,1112.2771,14.3612,181.9892
140000,山西省,2012,4560.9585,2691.8947,1010.4513,808.9569,12.3489,189.1455
140000,山西省,2011,3195.8472,1978.9495,790.1982,636.4928,5.5026,148.2028
140000,山西省,2010,2459.7,1434.71,592.24,446.7206,4.7251,140.7919
140000,山西省,2009,1848.85,987.91,477.2748,365.7216,4.1691,107.3841
140000,山西省,2008,1342.62,738.13,326.7856,231.515,6.2778,88.9928
140000,山西省,2007,917.2104,591.77,258.9251,196.2746,3.6207,59.0298
140000,山西省,2006,715.3578,464.6492,208.6231,170.4075,3.4568,34.7588
140000,山西省,2005,584.6537,322.5399,177.9937,139.6034,2.0364,36.3539
140000,山西省,2004,408.7603,258.1547,125.7891,92.709,2.2256,30.8545
140000,山西省,2003,308.8073,199.984,95.074,70.991,1.6357,22.4473
140000,山西省,2002,,144.58,67.4331,,,
140000,山西省,2001,,102.3354,46.6464,,,
140000,山西省,2000,,80.4516,39.4556,,,
150000,内蒙古自治区,2019,8714.8606,5574.6612,1041.9497,768.3924,12.0768,261.4805
150000,内蒙古自治区,2018,8299.118,5496.0209,882.8479,713.6813,14.9252,154.2414
150000,内蒙古自治区,2017,8396.789,5685.4427,889.7233,773.4565,15.5197,100.7471
150000,内蒙古自治区,2016,8580.2879,5818.5761,1133.4775,1006.3353,14.809,112.3332
150000,内蒙古自治区,2015,8147.1735,5449.2258,1081.0542,959.7024,8.7743,112.5775
150000,内蒙古自治区,2014,7938.8769,5056.7883,1370.8803,1167.851,17.3258,185.7035
150000,内蒙古自治区,2013,7442.1257,4443.2551,1479.0074,1206.7343,19.902,252.3711
150000,内蒙古自治区,2012,6355.9033,3675.5508,1291.4397,1044.7767,19.723,226.94
150000,内蒙古自治区,2011,5021.948,3016.3171,1591.1567,1332.291,13.8756,244.9901
150000,内蒙古自治区,2010,3409.5,2092.96,1119.99,934.8928,7.0278,178.0669
150000,内蒙古自治区,2009,2267.49,1474.34,815.4562,658.7743,9.7968,146.8851
150000,内蒙古自治区,2008,1669.14,1157.86,744.2976,598.3679,3.9362,141.9935
150000,内蒙古自治区,2007,1086.9181,743.7496,500.8862,410.7962,2.2434,87.8466
150000,内蒙古自治区,2006,678.636,434.152,325.0196,254.6533,1.1558,69.2105
150000,内蒙古自治区,2005,396.9413,217.8964,162.1002,126.878,0.4035,34.8187
150000,内蒙古自治区,2004,280.7671,157.3753,111.3775,87.0764,1.368,22.9331
150000,内蒙古自治区,2003,181.4912,122.9686,90.7881,69.9349,0.897,19.9562
150000,内蒙古自治区,2002,,104.49,74.5322,,,
150000,内蒙古自治区,2001,,83.7256,65.6679,,,
150000,内蒙古自治区,2000,,61.5298,45.2181,,,
210000,辽宁省,2019,22277.1855,15876.721,2833.9503,1612.1837,39.0115,1182.7551
210000,辽宁省,2018,21524.4814,15929.3975,2599.2713,1553.2807,31.3131,1014.6775
210000,辽宁省,2017,21644.9974,16242.4015,2289.6691,1871.2988,34.4207,383.9496
210000,辽宁省,2016,21656.1483,15792.2755,2094.8451,1719.9915,41.1201,333.7335
210000,辽宁省,2015,23120.4544,17402.2996,3558.6421,3109.7914,44.1082,404.7425
210000,辽宁省,2014,26088.2757,19313.4053,5301.3051,4524.9782,110.3095,666.0174
210000,辽宁省,2013,25890.1273,17852.6342,6450.7513,5307.5712,131.1337,1012.0464
210000,辽宁省,2012,22729.2321,14538.4135,5455.8196,4261.1906,112.7517,1081.8773
210000,辽宁省,2011,18410.7428,11320.5599,4487.561,3606.7442,119.9549,760.8619
210000,辽宁省,2010,14469.21,8346.44,3465.76,2675.4213,54.3356,735.9993
210000,辽宁省,2009,9185.96,5556.42,2640.5639,2084.8847,35.8489,519.8303
210000,辽宁省,2008,7540.71,4209.76,2060.7952,1570.5901,35.1522,455.0529
210000,辽宁省,2007,5341.2776,2839.694,1497.5793,1166.2016,17.06,314.3177
210000,辽宁省,2006,3650.3869,2227.2502,1142.1948,765.7084,11.3123,365.1741
210000,辽宁省,2005,2677.2808,1381.7096,874.2525,591.2043,13.9201,269.1281
210000,辽宁省,2004,2167.1653,1228.3723,701.1192,482.7201,7.8768,210.5223
210000,辽宁省,2003,1682.5007,1002.3356,486.3947,319.8149,6.8635,159.7163
210000,辽宁省,2002,,808.62,388.3147,,,
210000,辽宁省,2001,,675.4703,323.089,,,
210000,辽宁省,2000,,495.177,264.9062,,,
220000,吉林省,2019,8178.407,5534.5944,1315.522,924.9148,23.2178,367.3894
220000,吉林省,2018,7581.1108,5334.122,1175.8793,871.3849,13.884,290.6104
220000,吉林省,2017,7352.2235,5287.3388,910.1378,743.5523,10.6422,155.9433
220000,吉林省,2016,6917.0262,4771.6435,1016.7618,829.5669,10.1198,177.0751
220000,吉林省,2015,6750.5799,4531.7003,924.2409,717.0884,8.1093,199.0432
220000,吉林省,2014,6332.2686,4152.8239,1030.1285,821.9491,12.8112,195.3682
220000,吉林省,2013,5934.0018,3916.6939,1252.4257,998.2382,12.1506,242.0369
220000,吉林省,2012,5287.9945,3200.8671,1310.0259,990.2288,10.7268,309.0703
220000,吉林省,2011,4013.0225,2568.5002,1195.3911,924.5197,4.0122,266.8592
220000,吉林省,2010,2801.64,1767.27,921.01,743.4156,1.4156,176.1805
220000,吉林省,2009,1781.99,1142.94,756.6737,617.9246,3.6572,135.0919
220000,吉林省,2008,1507.72,1008.15,641.0364,512.7793,6.3314,121.9257
220000,吉林省,2007,1172.6323,679.2458,490.0844,374.148,1.8736,114.0628
220000,吉林省,2006,787.026,435.4072,310.1571,233.6393,0.8446,75.6732
220000,吉林省,2005,497.5366,264.1306,195.7345,147.1281,1.4843,47.1221
220000,吉林省,2004,414.5707,253.383,159.9314,119.1703,1.6862,39.0749
220000,吉林省,2003,352.3764,195.8659,139.2394,105.6394,1.569,32.031
220000,吉林省,2002,,163.46,116.7724,,,
220000,吉林省,2001,,126.6724,92.9705,,,
220000,吉林省,2000,,90.0041,63.5194,,,
230000,黑龙江省,2019,6838.8675,4692.3354,958.0066,626.2318,10.1851,321.5897
230000,黑龙江省,2018,6415.8417,4462.2504,944.4049,727.2759,9.9717,207.1573
230000,黑龙江省,2017,6274.7604,4313.5345,815.5957,692.5813,10.166,112.8484
230000,黑龙江省,2016,5983.4332,4117.6141,864.8391,754.8991,9.8393,100.1007
230000,黑龙江省,2015,6060.524,4287.5259,992.1453,856.943,11.4075,123.7948
230000,黑龙江省,2014,6456.3657,4576.6253,1324.0875,1101.3966,24.9453,197.7456
230000,黑龙江省,2013,5781.0218,3990.9895,1604.833,1341.8518,21.438,241.5432
230000,黑龙江省,2012,5169.8029,3180.9107,1535.8438,1263.5375,12.4052,259.9011
230000,黑龙江省,2011,4059.8254,2153.6691,1227.5672,1006.0375,10.6728,210.8569
230000,黑龙江省,2010,2341.12,1434.82,843.12,675.2877,8.8864,158.9457
230000,黑龙江省,2009,1516.29,1045.13,563.917,427.2536,6.3859,130.2775
230000,黑龙江省,2008,1126.6,743.47,439.8563,304.1451,5.7241,129.9871
230000,黑龙江省,2007,958.0358,659.0127,382.3651,283.8824,5.6278,92.8549
230000,黑龙江省,2006,801.4573,541.5257,321.3152,260.7672,3.2091,57.3389
230000,黑龙江省,2005,682.3515,408.9993,267.6332,210.6481,4.7981,52.187
230000,黑龙江省,2004,567.6636,329.0779,214.0702,153.943,6.698,53.4292
230000,黑龙江省,2003,382.6743,244.784,163.2806,114.0727,3.0641,46.1438
230000,黑龙江省,2002,,210.21,145.7937,,,
230000,黑龙江省,2001,,202.4592,147.0839,,,
230000,黑龙江省,2000,,157.5893,104.0979,,,
310000,上海市,2019,31544.2446,22482.147,4231.3761,2021.1904,31.0622,2179.1235
310000,上海市,2018,30220.3497,22265.9783,4033.1832,1971.7661,25.7476,2035.6695
310000,上海市,2017,28332.9343,20657.7826,3856.5278,2104.8475,28.6635,1723.0168
310000,上海市,2016,25644.9538,18429.5997,3709.0311,2220.8915,21.9386,1466.201
310000,上海市,2015,23212.5607,17110.2125,3468.9415,2212.0352,15.1547,1241.7516
310000,上海市,2014,20617.819,14728.6864,3206.4773,2076.593,17.0492,1112.8351
310000,上海市,2013,18088.7277,12403.5122,2819.5915,1890.6034,13.9695,915.0186
310000,上海市,2012,17703.6307,12244.2333,2381.3574,1701.7827,14.5754,664.9993
310000,上海市,2011,15168.6066,10243.6524,2253.8314,1526.0795,17.1938,710.5581
310000,上海市,2010,12818.48,8530.33,1980.68,1304.485,22.0433,654.1504
310000,上海市,2009,9721.17,6642.47,1462.0724,1032.7191,22.4792,406.8741
310000,上海市,2008,9482.88,6627.51,1435.7349,966.5871,25.859,443.2888
310000,上海市,2007,8124.06,5744.8028,1307.5256,926.1572,27.3455,354.0229
310000,上海市,2006,7117.0405,4690.1351,1275.5938,866.0935,21.1839,388.3164
310000,上海市,2005,6615.3475,4377.1188,1246.856,859.9354,20.8993,366.0213
310000,上海市,2004,5690.2837,4242.8651,1175.4647,727.1257,17.3044,431.0346
310000,上海市,2003,4573.7304,3040.7502,901.2427,557.6117,11.2883,332.3427
310000,上海市,2002,,2530.78,748.892,,,
310000,上海市,2001,,2311.9923,630.7331,,,
310000,上海市,2000,,1916.6805,566.17,,,
320000,江苏省,2019,79586.2868,52045.7913,12009.3475,6917.2979,178.4868,4913.5628
320000,江苏省,2018,71809.7566,48982.6661,10982.3369,6578.5247,147.7697,4256.0425
320000,江苏省,2017,61844.0291,43629.9187,9629.1123,6566.1132,126.172,2936.8271
320000,江苏省,2016,55012.0755,39182.9385,8956.3676,6604.1827,141.6846,2210.5003
320000,江苏省,2015,50613.487,35253.657,8153.6814,6186.2974,118.9279,1848.4561
320000,江苏省,2014,46967.696,30606.8197,8240.2166,6025.8782,129.4105,2084.9279
320000,江苏省,2013,39790.796,25331.5828,7241.4512,5248.8965,171.7019,1820.8528
320000,江苏省,2012,34092.3236,20955.5375,6206.0953,4402.0652,140.4209,1663.6092
320000,江苏省,2011,26999.8512,16324.4768,5567.9439,3748.5961,175.3239,1644.0239
320000,江苏省,2010,21924.85,12808.76,4299.38,2897.2068,41.0852,1361.0866
320000,江苏省,2009,16758.13,10065.64,3338.4976,2472.517,34.1374,831.8432
320000,江苏省,2008,14981.91,8779.33,3304.5589,2247.6795,34.6629,1022.2165
320000,江苏省,2007,10274.6454,6298.4045,2515.9058,1735.8888,19.9984,760.0186
320000,江苏省,2006,7751.5761,4422.5434,1906.713,1334.0835,21.1165,551.513
320000,江苏省,2005,6037.5026,3481.2615,1545.1539,1091.288,12.5331,441.3328
320000,江苏省,2004,4200.6858,2339.199,1269.7793,864.874,10.8721,394.0332
320000,江苏省,2003,2362.3914,1430.5995,809.9636,509.324,6.7256,293.914
320000,江苏省,2002,,913.13,544.1317,,,
320000,江苏省,2001,,762.927,414.3552,,,
320000,江苏省,2000,,644.0341,358.7177,,,
330000,浙江省,2019,54975.5351,37203.4972,10682.9713,4471.2438,76.9487,6134.7788
330000,浙江省,2018,46487.2527,33001.7799,9944.9348,3642.1323,73.6786,6229.1239
330000,浙江省,2017,38684.6961,30288.0484,8226.782,4185.7994,82.4545,3958.5281
330000,浙江省,2016,34950.0408,29107.5926,7469.3683,4165.8108,86.6893,3216.8682
330000,浙江省,2015,33281.8513,26208.7734,7111.9284,3922.5334,62.3803,3127.0147
330000,浙江省,2014,32628.074,23757.7399,7262.3829,3935.0742,67.9946,3259.3141
330000,浙江省,2013,27683.5922,19161.9843,6216.2493,3389.7037,64.7061,2761.8395
330000,浙江省,2012,23184.8901,15151.4839,5226.2667,2744.765,41.5805,2439.9212
330000,浙江省,2011,19049.0223,11562.5472,4137.2525,2325.8701,32.7366,1778.6458
330000,浙江省,2010,13296.39,8420.28,3025.43,1643.4616,30.2807,1351.6827
330000,浙江省,2009,10114.83,6653.03,2254.2664,1328.2754,25.3561,900.6349
330000,浙江省,2008,9372.4,6300.25,2023.1177,1199.5167,24.4823,799.1187
330000,浙江省,2007,7611.9199,5007.9109,1821.669,1021.9453,19.9768,779.7469
330000,浙江省,2006,6420.3513,4237.6952,1574.2756,953.9106,16.7616,603.6034
330000,浙江省,2005,5458.0062,3560.7966,1456.4885,917.0438,12.8675,526.5772
330000,浙江省,2004,4416.1246,2720.0458,1295.2409,779.7295,10.2767,505.2347
330000,浙江省,2003,3247.5777,1896.9121,980.0514,557.6285,7.2256,415.1973
330000,浙江省,2002,,1412.99,728.798,,,
330000,浙江省,2001,,1003.9761,544.9072,,,
330000,浙江省,2000,,733.0908,362.1771,,,
340000,安徽省,2019,40532.8482,27730.6369,6670.4785,4238.5075,106.1346,2325.8364
340000,安徽省,2018,36071.7632,24678.207,5974.1086,4067.4454,80.8684,1825.7948
340000,安徽省,2017,33463.6419,23261.8646,5612.4725,4242.4751,78.9086,1291.0888
340000,安徽省,2016,28041.433,19853.4622,4603.5625,3746.9915,89.3088,767.2622
340000,安徽省,2015,25105.3015,17167.7082,4424.8584,3578.8639,58.4514,787.5431
340000,安徽省,2014,22643.4561,14762.4509,4338.9603,3316.7098,51.6025,970.648
340000,安徽省,2013,19840.9117,12510.7341,3946.2264,3016.1082,44.0124,886.1058
340000,安徽省,2012,15455.2379,9509.1644,3151.6065,2387.0094,39.5858,725.0113
340000,安徽省,2011,11695.4502,7202.5938,2611.5374,1821.9346,27.642,761.9608
340000,安徽省,2010,8956.29,5908.6,2251.8,1561.0189,24.9742,665.8114
340000,安徽省,2009,6454.32,4040.04,1669.8263,1225.0677,25.6639,419.0947
340000,安徽省,2008,4807.41,3022.54,1362.6657,961.4342,21.2038,380.0277
340000,安徽省,2007,3213.5256,1938.2692,892.0678,632.907,12.0983,247.0625
340000,安徽省,2006,2505.189,1347.3705,637.4464,460.404,7.2197,169.8227
340000,安徽省,2005,1930.1096,845.2758,459.4413,310.3339,4.2448,144.8626
340000,安徽省,2004,1448.5374,691.8973,350.2733,230.1945,3.1305,116.9483
