省份编码,省份,年份,房地产开发企业实收资本(亿元),房地产开发企业资产总计(亿元),房地产开发企业累计折旧(亿元),房地产开发企业本年折旧(亿元),房地产开发企业负债合计(亿元),房地产开发企业所有者权益(亿元),房地产开发企业资产负债率(%)
110000,北京市,2019,5651.04602,55227.4674,278.18889,35.27793,44826.98099,10400.48641,81.1679099194036
110000,北京市,2018,5715.0476,57172.58178,297.78061,43.48774,46416.73993,10755.84185,81.2
110000,北京市,2017,6671.80731,59060.19801,413.12546,57.42969,47177.953,11882.24501,79.9
110000,北京市,2016,7089.00649,55693.66067,432.64718,61.21873,43438.16132,12255.49935,78.0
110000,北京市,2015,6510.67924,50542.00253,395.51609,62.20491,39523.99739,11018.00514,78.2
110000,北京市,2014,5875.95727,43921.45109,344.89853,58.024,34375.65756,9545.79353,78.3
110000,北京市,2013,5236.84996,39037.43931,311.0391,59.61671,30649.53064,8387.90867,78.5131688495477
110000,北京市,2012,4454.40773,34126.56263,256.17202,49.63793,26987.4921,7139.07053,79.0806047259967
110000,北京市,2011,3997.21011,29892.15944,217.35768,50.96825,23853.62073,6038.73871,79.7989211113347
110000,北京市,2010,3515.55,26221.03,248.5,48.33,20745.22,5475.77,79.1
110000,北京市,2009,3027.993,20400.7031,204.5388,42.6439,15968.1918,4432.5113,78.3
110000,北京市,2008,2860.8013,17674.3192,189.2522,38.3456,13769.9559,3904.3633,77.9
110000,北京市,2007,2236.1199,15185.0651,132.6659,29.3207,12210.3686,2974.6965,80.4103803282345
110000,北京市,2006,1890.2764,12547.5461,105.7902,23.6296,10075.43,2472.1161,80.2980114175472
110000,北京市,2005,1699.3148,10305.6653,86.9775,19.5749,8155.9153,2149.75,79.1401143213917
110000,北京市,2004,,8752.4068,,,6844.2157,1908.191,78.1980986075739
110000,北京市,2003,831.2715,5703.8522,40.4198,10.1164,4669.1607,1034.6915,81.9
110000,北京市,2002,817.7706,4969.4066,36.6581,9.4959,4037.7375,931.6691,81.3
110000,北京市,2001,684.2801,4122.6891,28.2846,6.4765,3332.9845,789.7046,80.8
110000,北京市,2000,562.8449,3342.6958,20.5486,4.6921,2726.2814,616.4144,81.6
120000,天津市,2019,4298.28417,32666.19144,112.69242,17.33459,26026.30545,6639.88599,79.6735226933452
120000,天津市,2018,4024.6328,29617.38553,100.60119,21.23329,22927.37628,6697.01731,77.4
120000,天津市,2017,3875.94292,28208.74493,92.48119,15.14757,21725.46903,6483.2759,77.0
120000,天津市,2016,3643.13025,25984.12423,128.32396,27.55168,19694.0329,6290.09133,75.8
120000,天津市,2015,3748.05912,22985.16125,69.92879,12.04266,17070.60271,5914.55854,74.3
120000,天津市,2014,3897.91555,20465.66215,68.10349,14.56746,14894.10081,5571.56134,72.8
120000,天津市,2013,3188.66162,18415.30708,69.32256,14.24786,13173.26116,5242.04592,71.5343008008097
120000,天津市,2012,2922.14911,15685.75622,69.32277,16.98891,11137.78012,4547.9761,71.0056943623723
120000,天津市,2011,2331.9536,11204.36219,46.57201,12.93119,8279.10669,2925.2555,73.89181596958
120000,天津市,2010,1962.74,10201.43,58.68,13.15,7323.84,2878.02,71.8
120000,天津市,2009,1133.9388,6154.7074,43.7917,11.1892,4446.2141,1708.4933,72.2
120000,天津市,2008,928.096,5014.3469,32.8611,7.0161,3599.4049,1414.942,71.8
120000,天津市,2007,694.9045,3546.2289,25.272,5.1847,2510.8059,1035.423,70.8021385759955
120000,天津市,2006,581.8466,2812.2235,22.1423,4.338,1997.0644,815.1591,71.0137156595128
120000,天津市,2005,373.5093,2021.3883,18.2235,3.5107,1471.8393,549.549,72.8132887679225
120000,天津市,2004,,1627.9658,,,1196.6566,431.3091,73.5062493327563
120000,天津市,2003,253.511,1118.574,11.4693,2.0143,820.342,298.232,73.3
120000,天津市,2002,233.2381,977.8348,9.6124,1.7113,703.5574,274.2774,72.0
120000,天津市,2001,141.4116,599.0239,5.9984,1.093,444.4903,154.5336,74.2
120000,天津市,2000,163.8557,595.5607,4.6201,0.8893,461.0036,134.5571,77.4
130000,河北省,2019,1983.84975,25290.17869,105.21001,23.74865,21853.6715,3436.50719,86.4116927281386
130000,河北省,2018,1789.73759,22513.55524,112.74524,35.70684,19023.92483,3483.5364,84.5
130000,河北省,2017,1632.30209,18325.10172,79.64015,15.66351,15496.17717,2828.92455,84.6
130000,河北省,2016,1437.68383,15931.78745,77.28959,11.96533,13342.35004,2589.43741,83.7
130000,河北省,2015,1375.00329,14274.34888,65.24454,11.63748,12263.68177,2010.66711,85.9
130000,河北省,2014,1517.32501,13425.34389,69.4555,13.69779,11537.43398,1887.90991,85.9
130000,河北省,2013,1145.13486,11120.84905,67.78899,14.77474,9395.4625,1725.38655,84.4851185170974
130000,河北省,2012,1028.11226,9007.43532,46.79518,11.79139,7453.94401,1553.49131,82.753233802849
130000,河北省,2011,883.41601,7281.31403,38.76583,10.97609,5909.81555,1371.49848,81.164135012592
130000,河北省,2010,590.78,4811.26,34.57,6.93,3942.9,868.36,82.0
130000,河北省,2009,431.8581,3096.394,21.3177,6.1455,2259.4271,836.9669,73.0
130000,河北省,2008,396.3413,2510.1857,22.5915,6.3085,1939.7019,570.4838,77.3
130000,河北省,2007,256.7864,1651.7674,13.5391,3.5731,1217.7236,434.0438,73.7224623757558
130000,河北省,2006,215.5578,1189.3135,11.2292,3.0502,850.0639,339.2496,71.4751745439701
130000,河北省,2005,188.1471,931.7561,13.0276,3.4355,647.7269,284.0292,69.5167866354725
130000,河北省,2004,,776.1168,,,570.4234,205.6934,73.497107651838
130000,河北省,2003,84.2334,431.5288,6.0067,1.8608,333.9524,97.5764,77.4
130000,河北省,2002,64.5692,428.4178,8.0638,2.9138,309.4237,118.9941,72.2
130000,河北省,2001,53.0531,263.5645,3.9422,0.7256,210.6676,52.8969,79.9
130000,河北省,2000,34.5948,214.9814,2.3016,0.5829,177.6614,37.32,82.6
140000,山西省,2019,1180.68326,13676.21215,56.9983,11.86546,12239.32802,1436.88413,89.4935519115942
140000,山西省,2018,1093.99775,12384.4497,53.27031,11.26654,10912.20469,1472.24501,88.1
140000,山西省,2017,918.15497,10358.65666,48.53227,8.06019,9106.81806,1251.8386,87.9
140000,山西省,2016,774.22344,8191.11041,47.02379,7.28386,7260.55027,930.56014,88.6
140000,山西省,2015,707.76401,7052.17899,40.9418,7.08604,6225.96453,826.21446,88.3
140000,山西省,2014,761.91385,6191.65657,33.3478,6.60012,5434.23799,757.41858,87.8
140000,山西省,2013,546.23194,4770.07346,29.42433,7.79629,4175.02654,595.04692,87.5254139167911
140000,山西省,2012,469.10766,3738.46796,23.10783,4.7322,3246.66913,491.79883,86.8449098598133
140000,山西省,2011,397.68534,2874.86453,18.8908,3.72571,2450.9777,423.88683,85.2554154960477
140000,山西省,2010,308.28,1943.75,13.64,2.86,1606.05,337.7,82.6
140000,山西省,2009,326.5865,1558.2701,14.1624,3.0616,1254.0039,304.2662,80.5
140000,山西省,2008,230.5396,1144.8895,13.6427,3.8171,879.6071,265.2824,76.8
140000,山西省,2007,188.9245,850.7465,10.3658,2.3274,639.4033,211.3432,75.1579113167083
140000,山西省,2006,152.3133,691.0291,8.9084,1.92,510.1991,180.83,73.8317821926747
140000,山西省,2005,129.3327,584.37,8.7856,1.8696,419.994,164.376,71.8712459571847
140000,山西省,2004,,415.769,,,294.5051,121.2639,70.8338283999048
140000,山西省,2003,76.1357,288.5712,4.7924,0.8363,206.857,81.7142,71.7
140000,山西省,2002,55.0258,240.0685,3.0926,0.6279,178.9373,61.1312,74.5
140000,山西省,2001,42.0592,195.6291,3.2483,0.6835,148.8872,46.7419,76.1
140000,山西省,2000,15.5705,103.4418,2.4481,0.5188,85.9306,17.5112,83.1
150000,内蒙古自治区,2019,762.77406,8931.27833,39.80727,6.80639,7946.82643,984.4519,88.9774804498787
150000,内蒙古自治区,2018,732.80553,8151.9458,39.34603,7.87257,7052.10053,1099.84527,86.5
150000,内蒙古自治区,2017,747.88384,7741.66351,30.00163,5.0869,6695.93025,1045.73326,86.5
150000,内蒙古自治区,2016,694.7634,7359.25971,31.65005,5.97818,6327.9583,1031.30141,86.0
150000,内蒙古自治区,2015,765.38611,7062.38727,32.97321,5.96724,6120.05093,942.33634,86.7
150000,内蒙古自治区,2014,811.17237,6549.33058,32.56965,6.43783,5412.25192,1137.07866,82.6
150000,内蒙古自治区,2013,631.45329,5820.95534,30.68271,11.08179,4816.48888,1004.46646,82.7439586574804
150000,内蒙古自治区,2012,1020.82392,5065.49563,28.76634,10.24572,4072.86366,992.63197,80.4040504127333
150000,内蒙古自治区,2011,473.32293,3632.73389,15.52901,4.639,2920.69969,712.0342,80.3994946626823
150000,内蒙古自治区,2010,470.77,3995.11,17.07,6.99,3379.01,616.1,84.6
150000,内蒙古自治区,2009,292.8909,1603.0522,9.0995,2.8193,1180.757,422.2952,73.7
150000,内蒙古自治区,2008,255.4366,1360.8172,10.0859,3.4389,996.0054,364.8118,73.2
150000,内蒙古自治区,2007,169.1239,797.1761,5.2276,1.3291,589.0481,208.128,73.8918414638873
150000,内蒙古自治区,2006,105.7132,477.5883,5.5781,1.4881,332.3448,145.2435,69.5881368953134
150000,内蒙古自治区,2005,77.7169,287.8239,3.5264,0.7502,195.0118,92.8121,67.7538592173895
150000,内蒙古自治区,2004,,204.4004,,,138.2094,66.191,67.6169909647926
150000,内蒙古自治区,2003,41.9701,155.7572,2.0856,0.5005,106.3707,49.3865,68.3
150000,内蒙古自治区,2002,32.8341,123.8328,2.6956,0.4416,89.4843,34.3485,72.3
150000,内蒙古自治区,2001,22.7615,88.5324,1.0344,0.2582,65.0281,23.5043,73.5
150000,内蒙古自治区,2000,19.8722,63.7145,0.8534,0.1703,44.4938,19.2207,69.8
210000,辽宁省,2019,3346.6433,21962.62723,123.86934,20.79499,17615.6688,4346.95843,80.2074752511291
210000,辽宁省,2018,3065.71182,22013.5802,138.65693,20.3983,17260.29037,4754.13496,78.4
210000,辽宁省,2017,2887.22472,19546.82429,119.31769,16.46798,15766.85981,3779.96448,80.7
210000,辽宁省,2016,2818.96442,18650.69049,113.82333,18.55035,15142.82057,3507.86992,81.2
210000,辽宁省,2015,3454.82139,18988.13244,105.60554,20.10564,15128.0106,3860.12184,79.7
210000,辽宁省,2014,3419.7877,21307.06129,111.74724,23.51152,16571.58835,4735.47294,77.8
210000,辽宁省,2013,3081.84977,19214.65902,113.50651,30.93926,14876.63166,4338.02736,77.4233445647687
210000,辽宁省,2012,2949.50125,15722.09676,97.7531,22.34567,12131.01059,3591.08617,77.1589869670793
210000,辽宁省,2011,2420.58144,13732.88473,81.17588,18.05915,10715.06145,3017.82328,78.0248408158014
210000,辽宁省,2010,1986.41,9936.17,65.5,17.2,7526.55,2409.62,75.7
210000,辽宁省,2009,1496.0674,7221.3546,61.9941,12.7751,5487.6572,1733.6974,76.0
210000,辽宁省,2008,1333.2814,6023.8752,48.6841,11.6418,4496.7126,1527.1627,74.6
210000,辽宁省,2007,808.6903,4540.1513,36.5734,8.0852,3597.5798,942.5715,79.2392050899273
210000,辽宁省,2006,549.3989,3221.2123,32.9769,7.4437,2573.6192,647.5931,79.8959820189436
210000,辽宁省,2005,751.8959,2826.1273,24.9518,5.9905,1941.3238,884.8035,68.6920153950602
210000,辽宁省,2004,,2167.8342,,,1706.9465,460.8877,78.7397163491562
210000,辽宁省,2003,308.4611,1616.7966,22.7282,4.751,1312.1864,304.6102,81.2
210000,辽宁省,2002,261.2778,1363.3394,22.5024,4.4727,1087.7703,275.5691,79.8
210000,辽宁省,2001,229.42,1115.611,17.2722,3.2535,876.2497,239.3613,78.5
210000,辽宁省,2000,186.6983,1004.9579,15.8829,2.9226,798.2621,206.6958,79.4
220000,吉林省,2019,717.93118,7436.9146,42.81083,8.91894,6298.2099,1138.7047,84.6884795476877
220000,吉林省,2018,755.33034,6868.78646,58.91533,12.46351,5605.94376,1262.8427,81.6
220000,吉林省,2017,680.08868,6387.37223,39.19672,5.5833,5252.2694,1135.10283,82.2
220000,吉林省,2016,812.36242,6361.17544,34.96494,5.77129,5358.86109,1002.31435,84.2
220000,吉林省,2015,766.77899,5692.67573,32.90818,6.03584,4730.67144,962.00429,83.1
220000,吉林省,2014,682.44971,4943.58611,31.48448,8.39111,4164.62995,778.95616,84.2
220000,吉林省,2013,552.23882,4199.56421,26.55783,7.78014,3407.57589,791.98832,81.1411784557522
220000,吉林省,2012,453.7508,3430.0789,44.07206,29.37158,2760.68824,669.39066,80.484686226897
220000,吉林省,2011,372.81934,2620.83044,16.52651,2.93362,2075.39962,545.43082,79.1886261821654
220000,吉林省,2010,347.12,2020.21,16.43,3.54,1570.27,449.94,77.7
220000,吉林省,2009,208.8455,1283.6606,17.3297,4.4539,990.8048,292.8558,77.2
220000,吉林省,2008,207.3117,1067.6068,17.3008,5.9711,802.9243,264.6825,75.2
220000,吉林省,2007,162.3242,869.035,13.1363,2.694,667.9858,201.0492,76.8652355773933
220000,吉林省,2006,124.9539,682.049,7.7718,1.5799,519.1865,162.8625,76.1215836398851
220000,吉林省,2005,99.4137,538.6109,6.7648,1.3375,425.3918,113.2191,78.9794265210749
220000,吉林省,2004,,524.6135,,,402.8783,121.7352,76.7952597483671
220000,吉林省,2003,62.8942,304.2905,4.2229,0.8374,234.0331,70.2574,76.9
220000,吉林省,2002,48.8396,290.1107,4.0269,1.4315,230.0783,60.0324,79.3
220000,吉林省,2001,33.1275,182.4317,3.7111,0.386,142.7126,39.7191,78.2
220000,吉林省,2000,29.4925,147.4387,1.7788,0.6621,118.491,28.9477,80.4
230000,黑龙江省,2019,1045.99356,10136.06148,64.56956,13.00729,7088.66401,3047.39747,69.9350928759363
230000,黑龙江省,2018,1056.75366,9937.70143,73.9154,18.27951,6979.05594,2958.64549,70.2
230000,黑龙江省,2017,1025.01222,9766.40325,54.01948,7.40516,6901.93014,2864.47311,70.7
230000,黑龙江省,2016,1047.26736,9033.68654,64.33912,6.96578,6103.88845,2929.79809,67.6
230000,黑龙江省,2015,1262.30975,8524.68395,43.11579,6.12839,5915.07149,2609.61246,69.4
230000,黑龙江省,2014,1025.08658,10124.10939,40.9813,5.86083,6142.44607,3981.66332,60.7
230000,黑龙江省,2013,973.49125,8489.53983,36.43933,5.94491,5297.713,3191.82683,62.4028287290573
230000,黑龙江省,2012,892.54281,7107.24519,33.14511,6.4116,4331.70952,2775.53567,60.9477991007652
230000,黑龙江省,2011,808.99605,4346.99995,29.53564,6.45234,3148.97508,1198.02487,72.440191309411
230000,黑龙江省,2010,546.98,2587.42,25.42,4.21,1839.83,747.59,71.1
230000,黑龙江省,2009,413.6197,1861.3889,22.1125,4.4428,1267.7221,593.6668,68.1
230000,黑龙江省,2008,406.9573,1462.4206,16.635,3.1003,949.4495,512.9711,64.9
230000,黑龙江省,2007,256.6501,1153.2354,12.2858,2.4327,864.1649,289.0705,74.9339553745922
230000,黑龙江省,2006,222.4235,934.6277,11.1151,2.1243,666.3943,268.2334,71.3005082130564
230000,黑龙江省,2005,176.2182,763.8744,10.2354,1.8073,570.8433,193.0311,74.7299948787392
230000,黑龙江省,2004,,670.3702,,,473.7458,196.6244,70.6692809435742
230000,黑龙江省,2003,118.9064,497.3235,6.5822,1.2201,378.7027,118.6208,76.1
230000,黑龙江省,2002,111.5163,471.4591,7.8207,1.7552,351.0424,120.4167,74.5
230000,黑龙江省,2001,72.4339,364.3378,4.6793,1.0606,290.0599,74.2779,79.6
230000,黑龙江省,2000,72.4032,683.2979,5.8784,1.3822,591.8124,91.4855,86.6
310000,上海市,2019,10546.14024,63917.07433,551.18609,81.00776,43684.76204,20232.31229,68.3459975255723
310000,上海市,2018,9780.15115,59214.53712,453.87679,62.1328,39971.1313,19243.40582,67.5
310000,上海市,2017,9152.62702,55208.52623,422.99946,55.83211,37837.02626,17371.49997,68.5
310000,上海市,2016,8330.30836,48448.89937,384.1018,54.8292,32646.43701,15802.46236,67.4
310000,上海市,2015,7614.08086,43457.64597,343.0883,45.66577,29129.6573,14327.98867,67.0
310000,上海市,2014,7401.7417,41122.87155,422.23139,57.00693,28241.86486,12881.00669,68.7
310000,上海市,2013,6212.58801,36384.17276,398.61574,53.60188,24606.99691,11777.17585,67.6310468079473
310000,上海市,2012,5762.54606,32316.42156,366.79518,52.7068,21612.83742,10703.58414,66.8788076670949
310000,上海市,2011,6273.60813,28986.07006,507.07379,50.93327,19509.47127,9476.59879,67.3063689890219
310000,上海市,2010,4685.77,26121.83,273.51,43.6,17648.79,8473.03,67.6
310000,上海市,2009,3910.9369,20799.4129,232.3869,35.224,13740.4215,7058.9914,66.1
310000,上海市,2008,3889.9261,19318.4877,232.6752,39.7594,12420.439,6898.0487,64.3
310000,上海市,2007,2911.1242,15349.0264,165.0612,40.5659,10175.4493,5173.5771,66.293776783132
310000,上海市,2006,2809.0315,14150.2712,131.2594,26.4665,9575.5011,4574.7701,67.67008889554
310000,上海市,2005,2420.3716,11959.5212,104.0222,20.0743,7961.0683,3998.4529,66.5667811182943
310000,上海市,2004,,12135.9898,,,8345.1203,3790.8695,68.7634089804525
