省份编码,省份,年份,地区生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),批发和零售业增加值(亿元),交通运输、仓储和邮政业增加值(亿元),住宿和餐饮业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元),其他行业增加值(亿元),人均地区生产总值(元/人)
110000,北京市,2019,35445.1,114.4,5667.4,29663.4,116.9,4243.3,1477.4,2867.5,1010.8,538.1,6544.2,2603.8,16043.1,164563
110000,北京市,2018,33106.0,120.6,5477.4,27508.1,122.6,4139.9,1387.8,2824.1,1015.9,515.3,5951.3,2481.5,14667.6,153095
110000,北京市,2017,29883.0,121.9,5049.4,24711.7,124.3,3885.9,1210.9,2703.7,901.0,470.4,5299.6,2420.5,12866.8,137596
110000,北京市,2016,27041.2,129.8,4665.8,22245.7,132.2,3635.5,1074.5,2544.3,790.8,447.0,4784.7,2241.2,11391.1,124516
110000,北京市,2015,24779.1,140.4,4419.8,20218.9,142.8,3458.9,1002.6,2506.7,739.8,441.7,4365.5,1899.2,10222.0,114662
110000,北京市,2014,22926.0,159.2,4433.0,18333.9,161.5,3522.8,952.7,2579.0,724.8,404.4,3736.8,1745.2,9098.9,107472
110000,北京市,2013,21134.6,159.8,4168.3,16806.5,162.0,3336.6,872.0,2483.2,670.6,413.1,3247.5,1731.5,8218.1,101023
110000,北京市,2012,19024.7,148.4,3856.0,15020.3,150.4,3090.1,803.0,2356.3,635.5,408.8,2783.2,1588.1,7209.3,93078
110000,北京市,2011,17188.8,134.5,3563.3,13491.0,136.5,2859.6,738.1,2256.9,637.3,380.6,2421.6,1358.2,6399.9,86365
110000,北京市,2010,14964.0,122.8,3233.1,11608.1,124.6,2607.5,656.9,1995.4,570.4,346.3,2038.1,1261.4,5363.5,78307
110000,北京市,2009,12900.9,116.8,2736.4,10047.7,118.3,2182.6,580.3,1606.6,449.2,285.7,1744.4,1319.1,4614.6,71059
110000,北京市,2008,11813.1,111.4,2526.7,9175.1,112.8,2030.8,520.4,1502.0,408.4,297.7,1648.5,1037.8,4254.6,68541
110000,北京市,2007,10425.5,99.4,2413.4,7912.8,101.3,1989.1,448.5,1155.1,412.5,265.0,1410.2,999.6,3644.3,63629
110000,北京市,2006,8387.0,87.2,2072.1,6227.7,88.8,1713.8,379.4,894.9,373.5,230.2,1036.1,775.0,2895.4,53438
110000,北京市,2005,7149.8,86.9,1907.4,5155.5,88.7,1600.5,326.8,718.9,333.9,190.8,879.9,573.4,2436.9,47182
110000,北京市,2004,6252.5,85.4,1773.7,4393.4,87.4,1483.2,308.9,607.9,303.4,172.9,755.9,508.7,2024.3,42402
110000,北京市,2003,5267.2,84.1,1456.4,3726.7,84.6,1195.1,276.1,542.4,271.1,121.0,683.9,402.3,1690.8,36583
110000,北京市,2002,4525.7,82.4,1235.1,3208.2,82.9,999.6,239.7,485.3,249.2,130.5,600.8,346.3,1391.5,32231
110000,北京市,2001,3861.5,80.8,1127.2,2653.6,81.8,920.2,212.3,442.8,227.6,103.3,519.7,233.6,1120.4,28097
110000,北京市,2000,3277.8,79.3,1023.7,2174.9,81.3,831.0,196.6,387.5,199.5,85.9,449.8,163.2,883.0,25014
120000,天津市,2019,14055.5,185.4,4947.2,8922.9,191.8,4372.3,693.8,1357.3,787.7,169.1,1907.9,1238.5,3337.2,90058
120000,天津市,2018,13362.9,175.3,4835.3,8352.3,181.0,4276.9,674.1,1345.2,748.8,157.9,1838.4,1143.4,2997.2,85757
120000,天津市,2017,12450.6,169.0,4564.1,7717.5,174.0,3942.5,704.0,1313.6,729.8,147.2,1731.8,1124.5,2583.2,79837
120000,天津市,2016,11477.2,168.5,4368.0,6940.8,174.6,3773.0,710.8,1199.1,689.2,123.0,1558.6,1080.3,2168.6,73830
120000,天津市,2015,10879.5,162.3,4489.6,6227.6,167.3,3815.1,695.6,1146.3,669.5,116.6,1455.6,926.8,1886.8,71021
120000,天津市,2014,10640.6,158.8,4615.5,5866.3,163.1,3972.4,677.3,1102.4,685.0,115.2,1351.4,867.4,1706.4,71198
120000,天津市,2013,9945.4,154.8,4407.1,5383.6,158.5,3814.7,625.0,1039.0,681.2,114.9,1192.4,828.4,1491.5,68937
120000,天津市,2012,9043.0,147.9,4134.0,4761.1,147.9,3575.2,558.8,978.5,679.1,134.8,995.3,723.0,1250.4,65346
120000,天津市,2011,8112.5,141.1,3756.3,4215.2,141.1,3231.3,524.9,867.3,650.0,132.3,783.8,672.4,1109.4,61137
120000,天津市,2010,6830.8,131.7,3259.7,3439.3,131.7,2837.3,422.5,689.4,572.1,128.4,546.8,523.7,978.9,54053
120000,天津市,2009,5709.6,119.5,2808.7,2781.3,119.5,2478.7,330.0,540.9,474.7,109.9,443.1,395.1,817.6,47497
120000,天津市,2008,5182.4,116.6,2659.7,2406.1,116.6,2370.2,289.5,483.3,431.9,102.8,349.7,305.9,732.5,45242
120000,天津市,2007,4158.4,107.5,2123.6,1927.3,107.5,1888.6,235.1,403.5,342.8,89.9,283.1,252.2,556.0,37976
120000,天津市,2006,3538.2,103.4,1834.5,1600.3,103.4,1644.6,190.0,371.3,304.5,80.9,174.3,192.8,476.3,33411
120000,天津市,2005,3158.6,112.4,1630.5,1415.7,112.4,1451.3,179.2,326.4,283.5,70.2,140.4,154.1,441.0,30567
120000,天津市,2004,2621.1,105.3,1348.3,1167.5,105.3,1207.2,141.1,283.1,239.0,43.2,131.9,132.5,337.9,25761
120000,天津市,2003,2257.8,89.9,1137.6,1030.3,89.9,1021.3,116.3,273.4,229.6,34.2,102.4,96.6,294.2,22371
120000,天津市,2002,1926.9,84.2,931.5,911.2,84.2,830.5,101.0,238.3,222.9,31.6,73.2,80.4,264.8,19161
120000,天津市,2001,1756.9,78.7,858.8,819.4,78.7,768.6,90.2,212.3,198.2,28.4,64.0,70.3,246.3,17523
120000,天津市,2000,1591.7,73.7,794.8,723.2,73.7,716.7,78.0,185.4,174.9,25.0,56.7,56.7,224.5,16236
130000,河北省,2019,34978.6,3518.4,13393.7,18066.5,3727.5,11310.4,2118.9,2922.5,2886.0,389.0,2411.1,2356.2,6856.8,46182
130000,河北省,2018,32494.6,3338.6,12904.1,16252.0,3522.3,10930.3,2007.9,2722.3,2606.5,354.8,2220.9,2103.4,6026.4,43108
130000,河北省,2017,30640.8,3130.0,12778.0,14732.8,3298.3,11015.7,1796.8,2553.3,2541.9,330.5,2039.9,2023.1,5041.4,40883
130000,河北省,2016,28474.1,3082.5,12332.3,13059.3,3235.1,10755.9,1610.1,2290.0,2410.3,297.2,1720.0,1776.6,4379.0,38233
130000,河北省,2015,26398.4,3100.5,11519.5,11778.4,3240.3,10026.4,1524.4,2153.0,2399.3,274.7,1471.4,1563.6,3745.3,35653
130000,河北省,2014,25208.9,3164.7,11476.9,10567.3,3294.3,10056.3,1452.1,2025.1,2333.5,251.1,1327.9,1318.0,3150.6,34260
130000,河北省,2013,24259.6,3141.9,11178.4,9939.3,3260.8,9847.5,1361.6,1938.8,2291.5,228.6,1124.6,1251.7,2954.5,33187
130000,河北省,2012,23077.5,2914.0,10919.7,9243.8,3021.8,9665.1,1288.8,1839.1,2207.8,219.0,908.1,1159.3,2768.6,31770
130000,河北省,2011,21384.7,2702.8,10275.5,8406.4,2802.9,9132.8,1174.8,1620.3,2078.9,185.9,741.5,1080.7,2566.9,29631
130000,河北省,2010,18003.6,2473.1,8470.5,7060.0,2563.2,7495.1,1001.9,1393.8,1773.3,145.6,611.8,819.2,2199.8,25308
130000,河北省,2009,15306.9,2121.8,7164.4,6020.7,2207.7,6337.5,849.3,1056.9,1514.9,134.1,522.6,716.9,1966.9,21831
130000,河北省,2008,14200.1,1956.8,6981.5,5261.8,2034.9,6296.9,706.4,904.2,1357.8,123.0,423.3,619.9,1733.7,20385
130000,河北省,2007,12152.9,1737.1,5849.5,4566.4,1805.0,5267.4,600.3,766.4,1172.8,113.4,345.7,544.8,1537.0,17561
130000,河北省,2006,10043.0,1401.8,4771.9,3869.3,1462.0,4239.5,547.3,698.4,952.2,103.9,282.5,461.1,1296.1,14609
130000,河北省,2005,8773.4,1345.2,4123.9,3304.2,1400.2,3638.5,498.3,640.9,801.5,93.8,212.3,383.1,1104.7,12845
130000,河北省,2004,7588.6,1333.6,3467.9,2787.1,1370.6,3047.8,430.9,496.1,593.6,77.1,208.0,266.8,1097.7,11178
130000,河北省,2003,6333.6,1064.2,2922.7,2346.8,1064.2,2563.2,359.5,429.2,582.5,67.0,198.8,213.2,856.0,9380
130000,河北省,2002,5518.9,957.0,2467.7,2094.2,957.0,2175.3,292.4,402.5,560.7,63.1,178.7,161.8,727.5,8216
130000,河北省,2001,5062.9,913.9,2293.5,1855.4,913.9,2011.2,282.3,377.5,504.6,59.4,166.5,135.3,612.1,7572
130000,河北省,2000,4628.2,824.7,2146.7,1656.8,824.7,1868.4,278.3,355.2,421.2,56.2,182.9,113.7,527.7,6966
140000,山西省,2019,16961.6,825.3,7466.3,8670.0,875.5,6582.7,894.8,1361.6,1028.2,207.1,1130.6,1066.7,3814.5,45549
140000,山西省,2018,15958.1,740.8,7074.5,8142.9,788.4,6260.2,819.9,1328.3,983.8,193.5,1081.1,1035.7,3467.2,43010
140000,山西省,2017,14484.3,719.2,6635.3,7129.8,764.1,5887.3,752.9,1148.5,853.2,176.8,965.1,956.5,2980.0,39232
140000,山西省,2016,11946.4,724.3,5113.6,6108.5,766.8,4441.2,676.6,1108.1,745.5,165.8,909.4,700.8,2432.2,32526
140000,山西省,2015,11836.4,726.2,5219.7,5890.5,767.1,4597.2,626.2,1117.1,721.3,156.2,849.5,680.3,2321.4,32375
140000,山西省,2014,12094.7,736.6,6378.0,4980.1,775.9,5769.2,612.9,1026.8,644.0,133.3,678.3,636.6,1817.7,33237
140000,山西省,2013,11987.2,697.6,6684.3,4605.3,733.1,6113.9,574.1,1007.6,632.2,121.6,582.3,569.3,1653.2,33111
140000,山西省,2012,11683.1,642.0,6852.7,4188.4,674.7,6330.4,525.0,1027.9,684.6,133.5,476.4,415.5,1415.1,32435
140000,山西省,2011,10894.4,586.6,6750.2,3557.7,616.2,6251.0,500.8,878.1,611.0,116.4,387.2,339.4,1194.4,30400
140000,山西省,2010,8903.9,510.4,5349.6,3043.9,536.7,4923.9,427.4,721.3,528.4,103.2,333.9,278.4,1050.6,25434
140000,山西省,2009,7147.6,443.5,4091.2,2613.0,466.5,3739.8,352.9,578.6,472.8,90.7,269.4,234.5,942.6,20906
140000,山西省,2008,7223.0,373.6,4389.0,2460.5,393.5,4092.3,296.7,498.8,550.4,76.8,236.7,196.7,881.2,21234
140000,山西省,2007,5935.6,303.5,3602.3,2029.8,317.2,3350.9,251.5,398.9,441.4,61.2,192.9,164.0,757.6,17542
140000,山西省,2006,4713.6,256.4,2799.3,1657.9,276.8,2578.9,220.4,327.4,356.3,50.5,150.9,134.6,618.0,14008
140000,山西省,2005,4079.4,247.8,2389.5,1442.1,262.4,2192.3,197.2,280.0,303.0,48.8,130.6,112.8,552.2,12195
140000,山西省,2004,3496.0,262.9,1931.6,1301.5,277.3,1757.8,173.8,280.2,312.4,40.9,108.7,101.2,443.6,10515
140000,山西省,2003,2854.3,215.2,1520.7,1118.3,215.2,1364.0,156.7,233.7,279.1,34.1,117.3,83.8,370.4,8639
140000,山西省,2002,2324.8,197.8,1134.3,992.7,197.8,991.4,142.9,197.4,268.2,28.8,124.1,65.8,308.3,7082
140000,山西省,2001,2029.5,171.1,956.0,902.4,171.1,832.5,123.6,176.0,227.8,25.7,139.2,56.9,276.7,6226
140000,山西省,2000,1845.7,179.9,858.4,807.5,179.9,748.7,109.7,157.2,203.1,22.9,127.7,50.5,246.1,5722
150000,内蒙古自治区,2019,17212.5,1863.3,6763.1,8586.1,1893.5,5458.6,1304.5,1448.3,1202.7,361.5,874.9,892.2,3776.3,67852
150000,内蒙古自治区,2018,16140.8,1750.7,6335.4,8054.7,1779.8,5104.2,1231.2,1370.2,1130.1,330.2,847.0,828.9,3519.2,63772
150000,内蒙古自治区,2017,14898.1,1649.8,5874.3,7374.0,1677.7,4672.0,1202.3,1303.0,1074.2,318.7,809.4,735.3,3105.5,59017
150000,内蒙古自治区,2016,13789.3,1650.6,5579.8,6558.9,1677.0,4357.1,1222.7,1220.5,976.5,302.6,730.1,705.1,2597.7,54816
150000,内蒙古自治区,2015,12949.0,1630.2,5269.5,6049.2,1655.3,4121.2,1148.3,1146.7,936.3,283.8,627.8,664.5,2365.2,51633
150000,内蒙古自治区,2014,12158.2,1638.0,5114.4,5405.8,1661.9,4008.3,1106.1,1073.4,910.2,263.9,547.9,646.2,1940.4,48610
