省份编码,省份,年份,全部地级及以上城市数(个),城市市辖区年末总人口为400万以上的地级及以上城市数(个),城市市辖区年末总人口为200-400万的地级及以上城市数(个),城市市辖区年末总人口为100-200万的地级及以上城市数(个),城市市辖区年末总人口为50-100万的地级及以上城市数(个),城市市辖区年末总人口为20-50万的地级及以上城市数(个),城市市辖区年末总人口为20万以下的地级及以上城市数(个)
110000,北京市,2019,1,1,,,,,
110000,北京市,2018,1,1,,,,,
110000,北京市,2017,1,1,,,,,
110000,北京市,2016,1,1,,,,,
110000,北京市,2015,1,1,,,,,
110000,北京市,2014,1,1,,,,,
110000,北京市,2013,1,1,,,,,
110000,北京市,2012,1,1,,,,,
110000,北京市,2011,1,1,,,,,
110000,北京市,2010,1,1,,,,,
110000,北京市,2009,1,1,,,,,
110000,北京市,2008,1,1,,,,,
110000,北京市,2007,1,1,,,,,
110000,北京市,2006,1,1,,,,,
110000,北京市,2005,1,1,,,,,
110000,北京市,2004,1,1,,,,,
110000,北京市,2003,1,1,,,,,
110000,北京市,2002,1,1,,,,,
110000,北京市,2001,1,1,,,,,
110000,北京市,2000,1,1,,,,,
120000,天津市,2019,1,1,,,,,
120000,天津市,2018,1,1,,,,,
120000,天津市,2017,1,1,,,,,
120000,天津市,2016,1,1,,,,,
120000,天津市,2015,1,1,,,,,
120000,天津市,2014,1,1,,,,,
120000,天津市,2013,1,1,,,,,
120000,天津市,2012,1,1,,,,,
120000,天津市,2011,1,1,,,,,
120000,天津市,2010,1,1,,,,,
120000,天津市,2009,1,1,,,,,
120000,天津市,2008,1,1,,,,,
120000,天津市,2007,1,1,,,,,
120000,天津市,2006,1,1,,,,,
120000,天津市,2005,1,1,,,,,
120000,天津市,2004,1,1,,,,,
120000,天津市,2003,1,1,,,,,
120000,天津市,2002,1,1,,,,,
120000,天津市,2001,1,1,,,,,
120000,天津市,2000,1,1,,,,,
130000,河北省,2019,11,1,3,3,4,,
130000,河北省,2018,11,1,3,2,5,,
130000,河北省,2017,11,1,3,2,5,,
130000,河北省,2016,11,1,3,2,5,,
130000,河北省,2015,11,1,2,2,6,,
130000,河北省,2014,11,1,1,2,7,,
130000,河北省,2013,11,,2,2,6,1,
130000,河北省,2012,11,,2,2,7,,
130000,河北省,2011,11,,2,2,6,1,
130000,河北省,2010,11,,2,2,6,1,
130000,河北省,2009,11,,2,2,6,1,
130000,河北省,2008,11,,2,2,6,1,
130000,河北省,2007,11,,2,2,6,1,
130000,河北省,2006,11,,2,2,5,2,
130000,河北省,2005,11,,2,2,4,3,
130000,河北省,2004,11,,2,1,5,3,
130000,河北省,2003,11,,2,1,5,3,
130000,河北省,2002,11,,2,1,5,3,
130000,河北省,2001,11,,,3,5,2,1
130000,河北省,2000,11,,,3,5,3,
140000,山西省,2019,11,,1,2,6,2,
140000,山西省,2018,11,,1,1,7,2,
140000,山西省,2017,11,,1,1,7,2,
140000,山西省,2016,11,,1,1,7,2,
140000,山西省,2015,11,,1,1,7,2,
140000,山西省,2014,11,,1,1,7,2,
140000,山西省,2013,11,,1,1,7,2,
140000,山西省,2012,11,,1,1,7,2,
140000,山西省,2011,11,,1,1,7,2,
140000,山西省,2010,11,,1,1,7,2,
140000,山西省,2009,11,,1,1,7,2,
140000,山西省,2008,11,,1,1,7,2,
140000,山西省,2007,11,,1,1,7,2,
140000,山西省,2006,11,,1,1,7,2,
140000,山西省,2005,11,,1,1,7,2,
140000,山西省,2004,11,,1,1,7,2,
140000,山西省,2003,11,,1,1,7,2,
140000,山西省,2002,10,,1,1,7,1,
140000,山西省,2001,10,,1,1,6,2,
140000,山西省,2000,10,,1,1,6,2,
150000,内蒙古自治区,2019,9,,,3,2,4,
150000,内蒙古自治区,2018,9,,,3,2,4,
150000,内蒙古自治区,2017,9,,,3,2,4,
150000,内蒙古自治区,2016,9,,,3,2,4,
150000,内蒙古自治区,2015,9,,,3,2,4,
150000,内蒙古自治区,2014,9,,,3,3,3,
150000,内蒙古自治区,2013,9,,,3,3,3,
150000,内蒙古自治区,2012,9,,,3,3,3,
150000,内蒙古自治区,2011,9,,,3,3,3,
150000,内蒙古自治区,2010,9,,,3,3,3,
150000,内蒙古自治区,2009,9,,,3,2,4,
150000,内蒙古自治区,2008,9,,,3,2,4,
150000,内蒙古自治区,2007,9,,,3,2,4,
150000,内蒙古自治区,2006,9,,,3,2,4,
150000,内蒙古自治区,2005,9,,,3,2,4,
150000,内蒙古自治区,2004,9,,,3,2,4,
150000,内蒙古自治区,2003,9,,,3,2,4,
150000,内蒙古自治区,2002,7,,,3,1,3,
150000,内蒙古自治区,2001,7,,,3,1,2,1
150000,内蒙古自治区,2000,5,,,3,1,1,
210000,辽宁省,2019,14,2,,3,8,1,
210000,辽宁省,2018,14,2,,4,8,,
210000,辽宁省,2017,14,1,1,4,7,1,
210000,辽宁省,2016,14,1,1,3,8,1,
210000,辽宁省,2015,14,1,1,2,9,1,
210000,辽宁省,2014,14,1,1,2,9,1,
210000,辽宁省,2013,14,1,1,2,9,1,
210000,辽宁省,2012,14,1,1,2,9,1,
210000,辽宁省,2011,14,1,1,2,9,1,
210000,辽宁省,2010,14,1,1,2,9,1,
210000,辽宁省,2009,14,1,1,2,9,1,
210000,辽宁省,2008,14,1,1,2,9,1,
210000,辽宁省,2007,14,1,1,2,9,1,
210000,辽宁省,2006,14,1,1,2,8,2,
210000,辽宁省,2005,14,1,1,2,8,2,
210000,辽宁省,2004,14,1,1,2,8,2,
210000,辽宁省,2003,14,1,1,2,8,2,
210000,辽宁省,2002,14,1,1,2,8,2,
210000,辽宁省,2001,14,1,1,2,8,2,
210000,辽宁省,2000,14,1,1,2,8,2,
220000,吉林省,2019,8,1,,1,3,3,
220000,吉林省,2018,8,1,,1,3,3,
220000,吉林省,2017,8,1,,1,3,3,
220000,吉林省,2016,8,1,,1,3,3,
220000,吉林省,2015,8,1,,1,3,3,
220000,吉林省,2014,8,,1,1,3,3,
220000,吉林省,2013,8,,1,1,3,3,
220000,吉林省,2012,8,,1,1,4,2,
220000,吉林省,2011,8,,1,1,4,2,
220000,吉林省,2010,8,,1,1,4,2,
220000,吉林省,2009,8,,1,1,4,2,
220000,吉林省,2008,8,,1,1,4,2,
220000,吉林省,2007,8,,1,1,4,2,
220000,吉林省,2006,8,,1,1,4,2,
220000,吉林省,2005,8,,1,1,3,3,
220000,吉林省,2004,8,,1,1,2,4,
220000,吉林省,2003,8,,1,1,2,4,
220000,吉林省,2002,8,,1,1,2,4,
220000,吉林省,2001,8,,1,1,1,5,
220000,吉林省,2000,8,,1,1,1,5,
230000,黑龙江省,2019,12,1,,2,6,2,1
230000,黑龙江省,2018,12,1,,2,6,2,1
230000,黑龙江省,2017,12,1,,2,6,2,1
230000,黑龙江省,2016,12,1,,2,6,2,1
230000,黑龙江省,2015,12,1,,2,6,2,1
230000,黑龙江省,2014,12,1,,2,8,1,
