省份编码,省份,年份,人工煤气生产能力(万立方米/日),人工煤气管道长度(公里),液化石油气管道长度(公里),天然气管道长度(公里),人工煤气供气总量(亿立方米),液化石油气供气总量(万吨),天然气供气总量(亿立方米),人工煤气用气人口(万人),液化石油气用气人口(万人),天然气用气人口(万人)
110000,北京市,2019,,,279.08,29149.9,,43.4286,192.4347,,428.95,1436.05
110000,北京市,2018,,,230.49,28241.28,,48.0641,191.5978,,428.58,1434.82
110000,北京市,2017,,,411.1,26186.42,,49.2288,164.1696,,431.62,1444.98
110000,北京市,2016,,,405.1,23574.58,,50.0213,162.2393,,432.31,1447.29
110000,北京市,2015,,,459.67,21817.69,0,57.630556,144.492426,,431.88,1445.82
110000,北京市,2014,,,414.0,20574.0,,54.6293,113.6874,,434.45,1424.55
110000,北京市,2013,,,414.0,19650.0,,47.298,98.9484,,426.53,1398.57
110000,北京市,2012,,,414.0,18656.0,,41.8156,92.4763,,416.85,1366.85
110000,北京市,2011,,,311.0,17278.26,,44.253496,72.9608,,406.8,1333.9
110000,北京市,2010,,,245.0,15500.0,,32.3104,71.974,,393.99,1291.91
110000,北京市,2009,,,245.0,15313.0,,36.7323,68.2839,,348.6,1143.2
110000,北京市,2008,,,245.0,10550.0,,32.4549,60.1381,,370.98,1068.12
110000,北京市,2007,,,236.0,10425.0,,32.0434,43.3823,,501.39,1000.89
110000,北京市,2006,,,261.0,8630.0,0.9763,41.8256,38.3803,,560.6,956.84
110000,北京市,2005,,115,176.0,7124.0,2.0211,37.4358,31.73967,21.9,340.77,880.0
110000,北京市,2004,,194,292.0,7164.0,1.689,43.1399,27.0213,28.0,418.0,738.0
110000,北京市,2003,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,
120000,天津市,2019,,,,29802.23,,5.444826,57.619659,,52.27,1251.57
120000,天津市,2018,,,,27953.18,,5.73263,50.102995,,54.67,1242.14
120000,天津市,2017,,,,20705.69,,5.756703,42.285955,,35.43,811.47
120000,天津市,2016,,,,18670.84,,5.595356,34.170539,,49.16,890.93
120000,天津市,2015,,,,19356.02,0,5.049438,30.662999,,27.86,847.38
120000,天津市,2014,,,183.57,16107.9,,4.315381,30.09996,,14.94,771.55
120000,天津市,2013,,,183.57,14963.2,,4.949032,28.18852,,12.65,651.01
120000,天津市,2012,,,183.57,13626.9,,4.91045,25.62411,,12.18,637.23
120000,天津市,2011,,,183.57,11730.71,,5.86084,16.973936,,17.4,598.03
120000,天津市,2010,,,181.27,10791.42,,5.33675,16.94525,,41.76,573.53
120000,天津市,2009,,,177.0,10232.84,,5.896321,14.97355,,37.52,569.75
120000,天津市,2008,,,,9826.7,,8.740393,13.863,,50.51,588.48
120000,天津市,2007,,,71.0,9075.71,,2.0502,12.01,,55.53,595.62
120000,天津市,2006,100,2,68.0,8515.0,1.6876,2.1463,9.2561,,84.84,478.21
120000,天津市,2005,185,1461.33,173.87,6750.8,2.880255,6.150285,6.896645,96.48,122.92,411.52
120000,天津市,2004,185,1431.61,184.3,5715.0,2.58,6.9779,6.235,98.46,119.29,404.63
120000,天津市,2003,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,
130000,河北省,2019,11.79,1229.29,142.3,35354.58,4.521777,14.120638,58.167201,47.38,216.8,1657.74
130000,河北省,2018,11.79,1481.11,215.94,27401.86,5.523776,15.666278,51.12236,50.6,240.18,1598.16
130000,河北省,2017,98,1673.48,164.94,23533.26,6.957307,24.123033,48.511269,58.5,266.69,1500.24
130000,河北省,2016,88.1,2494.48,276.04,21894.38,7.329988,17.073687,36.643896,67.32,297.73,1373.54
130000,河北省,2015,88.1,3179.54,271.86,17665.04,5.353826,16.637014,31.423694,159.39,299.55,1213.98
130000,河北省,2014,88.1,3145.33,271.49,12759.75,5.676293,16.192256,25.743929,172.66,334.19,1028.4
130000,河北省,2013,88.1,3215.5,326.28,11766.9,7.10579,18.359051,24.401229,180.94,342.19,1059.01
130000,河北省,2012,88.1,3224.29,345.61,10249.63,8.959483,20.538777,21.445101,187.62,421.51,981.57
130000,河北省,2011,166.1,3566.44,344.83,9113.17,8.463378,22.487349,19.346113,185.15,459.42,918.79
130000,河北省,2010,161.1,3536.42,278.18,8155.03,8.983359,20.500718,10.673976,179.59,502.79,838.82
130000,河北省,2009,95.1,3508.69,216.58,6974.93,6.879345,28.410075,8.906508,191.55,629.62,673.61
130000,河北省,2008,110.1,2664.34,95.08,5399.57,8.595448,25.420614,5.9887,200.86,667.33,568.75
130000,河北省,2007,132.6,3648.23,95.08,3945.83,8.986352,26.455917,4.8408,399.01,677.46,318.82
130000,河北省,2006,175.9,3968,120.0,3143.0,7.0221,27.9802,3.7997,415.93,650.06,193.43
130000,河北省,2005,169.86,3605.9,125.21,2550.14,7.8435,32.729359,2.537418,400.89,704.99,142.0
130000,河北省,2004,169.86,3399.63,128.21,2040.02,7.364699,33.66741,1.71228,378.47,708.83,117.99
130000,河北省,2003,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,
140000,山西省,2019,262,985,134.8,22101.92,6.784529,6.32173,40.471806,40.48,49.17,1071.19
140000,山西省,2018,130,1509.73,150.95,22114.66,5.402677,7.4579,38.067239,66.25,54.6,1018.09
140000,山西省,2017,95.05,851.3,121.25,14773.56,5.98573,9.07917,31.625962,42.72,74.6,1002.72
140000,山西省,2016,50.54,1267.71,145.0,12387.13,3.074182,3.361442,26.105664,61.64,93.18,952.43
140000,山西省,2015,10,3424.95,382.05,11416.83,3.945037,6.616757,24.739656,66.23,118.83,897.2
140000,山西省,2014,10,3951.99,275.0,6520.31,4.685124,6.95574,17.763829,85.24,126.9,826.45
140000,山西省,2013,51.74,4354.86,386.0,6063.96,5.655621,7.43991,23.30507,101.81,145.62,768.7
140000,山西省,2012,92.24,4712.81,411.6,5106.81,8.778653,9.05339,21.350153,236.56,167.16,584.06
