省份编码,省份,年份,蒸汽供热能力(吨/小时),热水供热能力(兆瓦),蒸汽供热总量(万吉焦),热水供热总量(万吉焦),蒸汽管道长度(公里),热水管道长度(公里),供热面积(亿平方米)
110000,北京市,2019,,45730.69,,18994.9,,,6.392777
110000,北京市,2018,,87982.0,,20350.0,,,6.2932
110000,北京市,2017,,123814.0,,25043.0,,,6.5466
110000,北京市,2016,300,42951.0,166,37568.0,44,13545,6.1136
110000,北京市,2015,300,41451.0,166,35857.0,44,12207,5.8465
110000,北京市,2014,300,40445.0,166,35300.0,44,12038,5.6786
110000,北京市,2013,300,38585.0,168,33960.0,44,11192,5.4591
110000,北京市,2012,450,38298.0,289,35222.0,44,11031,5.2555
110000,北京市,2011,450,36805.0,346,35682.0,41,11734,5.0794
110000,北京市,2010,450,35684.0,189,36112.0,48,12224,4.6715
110000,北京市,2009,200,32674.0,325,36015.0,46,12156,4.42396
110000,北京市,2008,200,31772.0,321,30375.0,,11948,4.2501
110000,北京市,2007,620,28989.0,512,14323.0,34,10424,3.7203
110000,北京市,2006,620,30546.0,619,15189.0,35,7013,3.49771
110000,北京市,2005,2297,30115.0,812,15142.0,173,6272,3.17362
110000,北京市,2004,1384,23706.0,1071,12436.0,108,5107,2.815
110000,北京市,2003,,,,,,,
110000,北京市,2002,,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,2445,30404.02,936.83,16750.9,,,5.140951
120000,天津市,2018,2445,29255.94,908.41,16516.94,,,4.945151
120000,天津市,2017,2696,28654.0,1134,14862.0,,,4.75669
120000,天津市,2016,3348,26312.11,1256.92,13634.38,328.08,21823.21,4.183261
120000,天津市,2015,3568,24261.05,1328.85,12303.98,330.79,20714.47,3.767792
120000,天津市,2014,3769,22595.98,1538.31,11253.86,361.53,17352.24,3.423994
120000,天津市,2013,3717,21572.24,1826.53,11284.02,566.37,17423,3.289688
120000,天津市,2012,3463,21062.78,1757.1,10243.51,564.47,16190.05,3.000024
120000,天津市,2011,3025,19325.0,1757,9919.0,563,14715,2.71627
120000,天津市,2010,3167,18055.0,1568,9991.0,622,14073,2.4034
120000,天津市,2009,3579,16158.0,1721,9151.0,532,11958,2.0614
120000,天津市,2008,3469,16011.0,1846,8436.0,530,11093,1.92454
120000,天津市,2007,3620,13866.0,2092,7830.0,496,9842,1.69079
120000,天津市,2006,3325,11753.0,1728,8220.0,346,9057,1.51406
120000,天津市,2005,3294,10563.0,1966,7572.0,415,8290,1.40409
120000,天津市,2004,3407,10111.0,1764,6530.0,402,7636,1.1441
120000,天津市,2003,,,,,,,
120000,天津市,2002,,,,,,,
120000,天津市,2001,,,,,,,
120000,天津市,2000,,,,,,,
130000,河北省,2019,4810,45490.65,6625.08,28396.68,,,8.588177
130000,河北省,2018,5141.92,46799.2,6594.41,27623.9,,,8.318534
130000,河北省,2017,8268,39839.0,7733,21874.0,,,7.44621
130000,河北省,2016,7943.59,35555.92,4462.71,23680.41,1240.85,12190.65,6.806675
130000,河北省,2015,7538.95,32035.2,5154.13,21180.36,1052.99,10935.78,5.875064
130000,河北省,2014,7141.95,29554.37,5684.43,19144.49,1094.3,10040.02,5.229551
130000,河北省,2013,6974.95,27441.17,5598.79,17730.21,1052,10002.3,5.021973
130000,河北省,2012,9243.95,26129.17,6489.51,16197.02,1199.08,9091.61,4.467031
130000,河北省,2011,10357,24535.0,7274,15532.0,1314,8818,4.20494
130000,河北省,2010,11570,23177.0,7068,13780.0,1386,8305,3.86829
130000,河北省,2009,10979,22247.0,7228,11094.0,1262,7543,3.05543
130000,河北省,2008,10594,17787.0,7847,11421.0,1283,6973,2.67359
130000,河北省,2007,10117,16536.0,8530,9546.0,1204,6083,2.19343
130000,河北省,2006,9132,15219.0,8338,8867.0,1100,5599,1.89412
130000,河北省,2005,9290,13917.0,7825,8796.0,1080,5388,1.855219
130000,河北省,2004,8140,12866.0,7616,8440.0,1054,5118,1.722941
130000,河北省,2003,,,,,,,
130000,河北省,2002,,,,,,,
130000,河北省,2001,,,,,,,
130000,河北省,2000,,,,,,,
140000,山西省,2019,16374,25765.89,10218.42,14717.09,,,6.782801
140000,山西省,2018,4434,32941.0,3395,18062.2,,,5.516072
140000,山西省,2017,3920,31035.0,2793,17016.0,,,5.15864
140000,山西省,2016,1262,27388.79,1044.24,16528.7,299.85,9761.95,5.743222
140000,山西省,2015,1385,30990.98,1104.28,19173.73,245.41,10566.26,5.405902
140000,山西省,2014,1225,26411.63,834.22,15066.96,48.72,8338.59,4.291555
140000,山西省,2013,1291,23068.33,941.65,16698.5,55.9,7424.13,3.982616
140000,山西省,2012,2639,20705.54,1766.65,12295.1,342.17,6879.45,3.605613
140000,山西省,2011,2802,18210.0,1436,10798.0,426,5547,3.28414
140000,山西省,2010,2674,17405.0,1462,10189.0,429,4946,2.87387
140000,山西省,2009,2215,12999.0,1091,8697.0,193,4634,2.55125
