省份编码,省份,年份,城镇私营企业和个体就业人员(万人),制造业城镇私营企业和个体就业人员(万人),建筑业城镇私营企业和个体就业人员(万人),交通运输、仓储和邮政业城镇私营企业和个体就业人员(万人),批发和零售业城镇私营企业和个体就业人员(万人),住宿和餐饮业城镇私营企业和个体就业人员(万人),租赁和商务服务业城镇私营企业和个体就业人员(万人),居民服务和其他服务业城镇私营企业和个体就业人员(万人)
110000,北京市,2019,708.5605,15.6437,30.3776,14.0485,129.9284,29.1514,128.8089,13.2968
110000,北京市,2018,750.2835,17.6652,31.8305,15.1473,150.2624,29.6022,135.6926,14.1023
110000,北京市,2017,734.2489,18.234,30.8105,13.3312,157.2967,29.6132,134.78,13.5854
110000,北京市,2016,685.1522,17.5795,32.1769,12.3643,152.8432,28.0504,127.991,13.4097
110000,北京市,2015,638.3978,19.8221,35.882,13.5718,149.4802,27.6146,115.9145,13.6674
110000,北京市,2014,553.3373,20.291,32.219,12.7441,134.6845,25.9156,93.3969,12.5818
110000,北京市,2013,420.534,11.0465,12.9222,6.7426,111.5239,21.6278,77.6356,12.8201
110000,北京市,2012,357.025,9.7468,10.1721,6.5069,93.7274,19.8975,58.8033,12.8144
110000,北京市,2011,340.4479,10.8003,9.5426,6.6972,91.9903,20.6973,52.5126,14.0539
110000,北京市,2010,323.2492,11.5074,8.7185,6.6126,88.7427,21.0179,46.7952,15.4229
110000,北京市,2009,297.0462,11.6811,7.8583,5.9351,82.5356,20.9326,42.4127,14.903
110000,北京市,2008,282.2407,13.6347,7.6721,5.5283,77.3717,19.6282,37.2629,14.5536
110000,北京市,2007,253.6881,13.1263,7.8073,5.1551,71.3767,17.8648,35.2297,14.4411
110000,北京市,2006,269.5866,14.9052,10.7415,5.9492,73.9278,18.889,37.3939,14.2147
110000,北京市,2005,230.7181,15.8246,8.0243,4.99,66.6592,15.7943,30.1746,12.4686
110000,北京市,2004,220.8013,16.1054,16.3984,3.3666,63.2873,12.7572,2.1865,14.3881
110000,北京市,2003,,,,,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,214.2366,33.4984,8.02,6.5166,74.5383,22.342,20.4879,15.6973
120000,天津市,2018,193.8525,33.6584,6.6051,6.014,67.7406,19.2372,17.5716,12.7183
120000,天津市,2017,201.3768,34.8467,8.2777,4.5374,39.4034,43.2487,20.3119,9.9515
120000,天津市,2016,179.059,35.4545,7.6188,4.0102,33.1,36.8337,17.204,8.1154
120000,天津市,2015,158.7179,34.4638,6.7474,3.6825,30.3138,32.7071,13.1134,6.8999
120000,天津市,2014,141.8415,33.2754,6.1557,3.0494,27.4279,29.0769,10.8315,5.8265
120000,天津市,2013,132.3748,32.8396,5.7846,2.4681,24.3592,27.6292,10.1324,5.2245
120000,天津市,2012,130.6949,33.1648,5.5603,5.2676,43.6902,4.701,11.2762,4.8831
120000,天津市,2011,128.9164,33.9975,5.5469,5.3033,42.4031,4.5758,12.385,4.6953
120000,天津市,2010,123.3312,33.3608,5.4284,5.4824,39.8173,4.5883,10.0523,4.6984
120000,天津市,2009,113.9071,32.9431,4.8839,5.0109,36.7843,4.4921,7.4001,4.5601
120000,天津市,2008,116.1628,33.3774,5.0339,5.0616,37.4543,4.3543,7.7334,4.6369
120000,天津市,2007,48.6919,10.4393,2.1634,2.0275,16.8419,1.4941,3.9217,2.0947
120000,天津市,2006,57.5994,11.3892,2.5392,3.0867,20.7748,1.7782,4.5459,2.5641
120000,天津市,2005,54.2585,11.3027,2.2528,2.7757,20.0763,1.7134,3.6565,2.36
120000,天津市,2004,52.3062,11.0646,1.997,2.4002,20.3662,1.8296,3.0228,2.1093
120000,天津市,2003,,,,,,,,
120000,天津市,2002,,,,,,,,
120000,天津市,2001,,,,,,,,
120000,天津市,2000,,,,,,,,
130000,河北省,2019,711.3524,70.5472,27.9977,20.206,328.6279,86.7398,35.4018,62.5973
130000,河北省,2018,638.527,67.366,23.0006,18.2424,299.6536,75.3456,30.711,55.3986
130000,河北省,2017,572.3393,65.1184,19.3122,16.6362,273.1194,63.3923,26.913,47.3546
130000,河北省,2016,510.7297,62.2973,15.2775,15.684,251.6467,51.2473,22.9466,40.097
130000,河北省,2015,429.9485,58.0615,12.0723,14.672,211.376,39.8747,18.7213,32.8936
130000,河北省,2014,373.6612,54.5112,10.1885,13.3208,180.8787,29.2684,14.9387,27.2464
130000,河北省,2013,430.1605,89.9003,8.6315,15.1944,215.8225,28.0609,11.4344,29.0146
130000,河北省,2012,345.2267,66.3305,9.2826,47.7873,137.8429,15.2699,12.3565,22.8099
130000,河北省,2011,349.5512,72.6499,12.5003,10.0041,167.2317,22.3917,9.8257,23.7061
130000,河北省,2010,294.0522,59.4127,9.5852,10.2341,136.1741,20.1713,9.1689,19.5628
130000,河北省,2009,452.3081,56.0912,7.0971,9.9284,302.733,31.3328,6.3694,17.3192
130000,河北省,2008,255.8264,75.9148,12.2021,10.0117,104.5307,14.3379,6.4534,13.4351
130000,河北省,2007,222.1571,59.5686,6.9332,10.7346,95.7338,14.4612,4.7313,12.6974
130000,河北省,2006,187.5874,53.5913,6.3013,10.1792,77.37,12.2271,3.9582,10.6188
130000,河北省,2005,165.7792,47.0035,6.0588,7.9606,66.9199,13.6592,2.2979,10.3596
130000,河北省,2004,150.2837,40.426,4.7592,8.2674,64.7476,11.6001,2.1396,9.4304
130000,河北省,2003,,,,,,,,
130000,河北省,2002,,,,,,,,
130000,河北省,2001,,,,,,,,
130000,河北省,2000,,,,,,,,
140000,山西省,2019,428.8912,40.0407,12.1076,24.2516,195.7428,60.4474,14.1338,44.6941
140000,山西省,2018,393.5336,35.5198,12.1218,21.8807,175.2688,54.0988,14.8394,41.4138
140000,山西省,2017,356.7027,33.7092,11.8106,16.8474,158.8571,45.8219,13.8574,35.8248
140000,山西省,2016,323.0985,30.7613,11.8233,10.4694,153.6315,35.3431,12.3179,29.8272
140000,山西省,2015,272.2699,27.9821,11.9784,6.5195,131.5931,24.9797,11.0795,22.6911
140000,山西省,2014,250.4526,27.1892,12.2139,8.262,122.8551,17.8295,10.6836,16.3306
140000,山西省,2013,232.0945,26.3634,10.3185,8.2818,113.7437,16.1836,8.9851,14.9159
140000,山西省,2012,215.4168,22.13,8.9758,57.7784,65.9916,10.5836,4.2768,9.939
