省份编码,省份,年份,私营工业企业单位数(个),私营工业企业亏损企业单位数(个),私营工业企业实收资本(亿元),私营工业企业国家资本金(亿元),私营工业企业集体资本金(亿元),私营工业企业法人资本金(亿元),私营工业企业个人资本金(亿元),私营工业企业港澳台资本金(亿元),私营工业企业外商资本金(亿元),私营工业企业流动资产合计(亿元),私营工业企业应收账款净额(亿元),私营工业企业存货(亿元),私营工业企业产成品(亿元),私营工业企业固定资产合计(亿元),私营工业企业固定资产原价合计(亿元),私营工业企业累计折旧(亿元),私营工业企业资产总计(亿元),私营工业企业流动负债合计(亿元),私营工业企业应付帐款(亿元),私营工业企业负债合计(亿元),私营工业企业所有者权益合计(亿元),私营工业企业主营业务收入(亿元),私营工业企业主营业务成本(亿元),私营工业企业销售费用(亿元),私营工业企业主营业务税金及附加(亿元),私营工业企业管理费用(亿元),私营工业企业财务费用(亿元),私营工业企业利息支出(亿元),私营工业企业营业利润(亿元),私营工业企业利润总额(亿元),私营工业亏损企业亏损总额(亿元),私营工业企业应交所得税(亿元),私营工业企业本年应交增值税(亿元),私营工业企业工业销售产值(现价)(亿元),私营工业企业出口交货值(亿元)
110000,北京市,2019,1047,,,,,,,,,1356.28,474.57,321.89,122.95,,,,1885.36,,,994.49,,,,114.95,,141.74,10.33,,,105.8,,,,,
110000,北京市,2018,1022,,,,,,,,,1341.3,474.1,292.5,106.4,,,,1911.3,,,1008.4,,,,108.6,,122.9,9.2,,,76.4,,,,,
110000,北京市,2017,1004,160,324.22,0,0,88.25,235.96,0,0,1166.37,403.57,267.28,100.5,195.79,321.79,133.87,1654.72,805.74,303.86,889.77,755.64,1117.56,851.01,88.43,,108.12,9.6,9.34,69.66,79.63,6.92,,,,
110000,北京市,2016,1047,157,312.61,0.02,,84.79,227.73,0.06,,1088.63,377.78,257.42,98.2,194.5,310.86,122.94,1544.72,756.99,301.84,825.21,715.06,1034.14,790.89,76.08,,105.83,7.99,8.5,59.42,79.08,9.97,,,943.62,43.49
110000,北京市,2015,1093,172,292.73,0,0,76.69,215.96,0.06,0.01,1025.21,347.15,255.34,104.05,195.03,299.74,116.41,1444.14,740.49,291.79,793.79,645.33,1016.95,778.7,70.96,,100.61,8.64,9.21,61.74,70.35,7.85,,,916.53,55.37
110000,北京市,2014,1143,153,257.44,0,0,67.81,189.57,0.06,0,928.23,322.06,233.0,98.84,184.05,288.08,107.16,1309.18,696.22,270.01,740.98,567.72,1032.87,812.64,67.35,4.64,90.02,8.1,8.55,59.82,67.04,6.58,10.55,31.48,956.94,44.25
110000,北京市,2013,1079,130,215.97,0,0,60.0,155.9,0.06,0,783.47,269.71,202.44,74.28,164.63,250.83,93.48,1116.67,586.13,225.29,634.45,482.12,946.22,753.31,61.15,4.0,81.56,7.54,7.32,43.84,53.76,4.82,9.08,28.96,888.37,38.53
110000,北京市,2012,1043,123,205.13836,,,73.11973,132.01863,,,652.31467,217.16807,175.08852,64.39193,143.59556,211.77893,76.73293,942.36841,494.22479,193.74634,529.38256,412.57821,821.66196,655.63487,50.24054,3.44047,69.29242,5.76976,5.84159,41.45086,49.97903,5.26161,8.45428,24.96146,789.70242,45.06787
110000,北京市,2011,1046,114,161.37088,,,41.49922,119.66906,0.0228,0.1798,560.27211,171.22691,161.31769,61.15234,128.73964,183.74884,64.4995,800.23018,429.61739,166.62103,464.02785,336.20233,782.73532,636.35201,44.32015,2.57727,58.41894,4.83831,4.72378,41.34806,46.72154,4.38617,8.2156,21.88824,770.47901,42.60721
110000,北京市,2010,2465,337,207.44433,,,53.6101,153.79723,0.037,,653.65056,192.45422,188.04086,64.09607,172.87124,221.50344,75.37659,915.6563,510.99125,191.88173,546.69011,368.96619,845.06327,696.6075,43.33649,3.24294,64.5672,3.86313,3.15522,38.93052,45.81439,4.02806,7.88669,22.92306,798.12344,42.55895
110000,北京市,2009,2354,389,176.30475,,,46.67226,129.18215,0.16902,0.28132,538.60499,150.55228,174.37102,67.79119,158.46653,199.0032,65.78992,778.72349,449.54632,168.63098,484.46956,294.25393,686.39147,565.54136,36.68978,2.88113,54.78573,3.84507,3.28768,26.66692,33.09479,4.97964,5.64228,19.53933,659.60864,35.56355
110000,北京市,2008,2354,481,158.70559,,0.08686,41.63593,116.94564,,0.03716,481.2944,134.79961,167.77583,68.15889,150.76055,179.68472,56.62572,703.07399,409.74912,146.17165,434.66358,268.41041,664.43257,552.88989,37.14108,2.87986,51.62186,4.70968,4.07642,20.21732,23.96816,6.4593,4.15589,17.6281,633.88486,39.67437
110000,北京市,2007,1958,314,129.44515,,,41.1393,88.27885,,0.027,353.43243,95.31602,122.27119,48.46832,132.94087,156.0598,47.41391,535.61429,294.71743,103.30791,320.11733,215.49696,549.01276,461.65584,28.46393,1.92123,36.18875,3.43301,2.79509,20.01471,23.87657,3.43145,4.41418,15.83043,525.60613,33.62146
110000,北京市,2006,1666,323,105.02594,0.0205,,33.3111,71.48634,,0.208,284.16207,70.75417,98.79702,38.72566,118.66247,136.80109,38.83471,441.81028,246.43422,80.67499,263.71567,178.09461,435.88792,368.43166,23.51631,1.46917,29.31596,2.78591,2.44304,12.35823,15.39116,2.81914,3.07527,12.54196,411.76662,33.08928
110000,北京市,2005,1504,302,88.29316,0.0016,,26.55539,61.57035,,0.16582,233.51807,55.8752,79.55,31.0846,103.0964,120.17256,31.2783,372.58462,202.67692,62.68294,216.85016,155.73446,337.52183,280.31592,20.71606,1.25392,23.48705,2.31968,1.88113,10.8473,13.50901,3.419,2.91096,10.04272,320.87003,23.67373
110000,北京市,2004,1706,348,94.37286,0.13388,0.36529,19.95072,73.034,0.3828,0.50617,229.79427,55.17711,77.25206,30.73382,105.33016,114.72881,26.17108,369.64177,189.9904,63.03558,205.28596,164.35581,334.94477,274.30171,19.11071,1.45512,24.25296,2.15753,1.74794,15.0094,17.33957,2.77109,2.82081,10.56496,325.54311,21.80844
110000,北京市,2003,556,83,35.05607,0.21917,0.72129,11.5938,22.29351,0.2283,,86.501,21.14402,29.47861,11.07447,42.25534,44.68659,8.83449,139.94075,74.56322,24.3637,81.5511,58.38965,146.43191,119.40181,8.75364,0.66882,9.40105,1.08738,0.77808,7.66487,8.38533,0.747,1.55814,4.54773,145.34522,6.42111
110000,北京市,2002,513,68,27.76976,0.11812,0.44691,11.12616,15.97736,0.08185,0.01936,64.08529,13.29963,23.28438,9.53598,31.65569,33.20206,5.9709,102.65723,52.47349,,57.93195,44.72528,112.01378,90.58675,6.87765,0.59864,7.16438,0.87916,0.57847,6.38446,7.06551,0.66299,1.15993,3.22548,113.90671,3.11117
110000,北京市,2001,344,54,17.78331,0.06444,0.389,6.04446,10.93184,0.25071,0.10286,37.08607,7.75319,14.93067,5.22589,16.91126,17.74774,3.62869,59.61617,29.49293,,32.05367,27.5625,66.13396,53.34823,3.99766,0.25982,4.53242,0.41706,0.30914,3.74383,3.97447,0.36578,0.64784,2.01718,66.03081,2.59376
110000,北京市,2000,184,25,9.37634,0.015,0.59253,3.72482,5.04399,,,21.94244,5.38003,8.55558,3.2594,9.98423,11.18655,1.99713,34.40587,16.78636,,18.76565,15.64022,34.17718,25.11138,3.9235,0.1653,2.24563,0.27553,0.18577,2.52242,2.78757,0.10309,0.38667,1.50898,33.09502,1.09164
120000,天津市,2019,2366,,,,,,,,,1772.71,493.6,380.69,163.07,,,,3055.09,,,1844.19,,,,70.05,,156.87,17.66,,,102.82,,,,,
120000,天津市,2018,1837,,,,,,,,,1458.1,409.6,329.7,126.1,,,,2210.6,,,1312.6,,,,52.1,,110.9,14.8,,,89.8,,,,,
120000,天津市,2017,1826,318,717.13,3.2,3.02,380.11,330.1,0,0.69,1415.29,385.52,309.16,124.84,410.8,675.78,253.27,2144.93,1199.45,328.33,1291.19,853.55,2589.28,2340.71,49.97,,99.99,16.86,13.24,89.68,110.04,14.19,,,,
120000,天津市,2016,2458,254,719.44,0.77,0.62,213.46,504.36,0.18,0.05,1798.6,461.7,332.38,135.24,1107.37,1689.68,660.79,3411.53,1570.73,366.3,2002.01,1747.62,6859.76,5980.43,64.62,,146.89,32.04,21.68,622.28,621.65,15.65,,,6841.46,390.36
120000,天津市,2015,2574,321,593.78,0.07,1.31,146.89,445.47,0.01,0.04,1716.94,417.08,321.84,130.26,771.17,1086.6,394.09,3220.17,1566.06,339.79,2067.44,1148.96,6037.66,5255.32,60.98,,121.86,27.54,20.7,561.56,562.34,15.71,,,6105.5,247.6
120000,天津市,2014,2500,318,721.08,1.79,2.57,132.78,379.86,2.31,0.64,1562.43,374.85,341.51,141.05,720.19,983.19,334.13,2716.37,1390.19,276.26,1599.42,1013.22,5291.24,4633.04,61.95,21.57,110.87,31.19,25.58,437.27,433.79,20.49,35.83,137.25,5049.01,228.22
120000,天津市,2013,2436,278,569.04,0.32,5.37,105.71,456.66,0.67,0.25,1418.93,318.73,307.54,108.24,749.66,1007.58,312.87,2465.47,1256.74,221.49,1456.74,996.98,4369.28,3825.7,51.47,15.79,100.42,28.75,20.77,377.67,361.39,13.35,30.54,123.63,4186.24,213.14
120000,天津市,2012,2246,231,411.85121,0.17044,0.333,122.03485,287.12715,0.427,1.00777,1280.45371,272.0365,268.59934,94.27119,480.4664,657.25131,233.72479,1984.78279,1085.87676,220.03716,1257.62351,721.11388,3624.45698,3121.25585,41.65613,15.42171,85.71183,25.45457,22.1996,380.30416,359.6488,9.72107,29.9023,97.50172,3547.1044,181.78026
120000,天津市,2011,2006,182,451.95584,0.19182,7.14717,113.33072,330.05979,0.14921,1.28371,1003.85027,211.85111,209.45268,84.42716,380.29806,510.067,171.43101,1567.74427,878.34241,185.42018,958.54899,601.18561,2889.39591,2509.11213,34.64987,7.81763,62.91655,18.69936,17.11649,290.96584,294.2562,7.85007,25.78654,67.33204,2880.20215,154.56888
120000,天津市,2010,3676,376,321.32338,0.22459,3.78187,74.80776,241.02232,0.28564,1.2012,940.22107,201.98731,236.51456,85.74981,357.1005,524.32542,189.92684,1521.93976,872.62332,193.55295,954.76174,567.1778,2464.82408,2170.5104,30.24125,6.12243,62.97024,13.43687,10.5333,204.01176,200.88205,5.19625,10.86494,47.73528,2420.21014,161.88986
120000,天津市,2009,3756,472,307.40765,1.86217,2.66329,83.8764,210.67618,5.64859,2.68102,752.84803,161.81358,203.17996,71.42356,309.43803,381.85749,108.1824,1162.1664,695.40464,178.06589,734.56718,427.59922,1807.47301,1640.55067,25.09899,8.7605,47.02586,21.42247,10.08265,91.87318,93.81646,6.24381,7.1773,26.96056,1791.76203,143.91467
