省份编码,省份,年份,建筑业企业自有施工机械设备年末总台数(台),建筑业企业自有施工机械设备年末总功率(万千瓦),建筑业企业自有施工机械设备年末净值(万元),建筑业企业技术装备率(元/人),建筑业企业动力装备率(千瓦/人)
110000,北京市,2019,86534,519.9586,2555798.7,46597.2,9.5
110000,北京市,2018,83295,443.0,1145390.0,21647.4016843315,8.37251848379927
110000,北京市,2017,93752,364.3186,1054024.8,17507.5833957601,6.05141195171741
110000,北京市,2016,99195,366.795,1017195.4,17494.3872207154,6.30837866610714
110000,北京市,2015,99250,375.5437,1021393.8,17439.1240432242,6.41197662248524
110000,北京市,2014,129366,458.0188,1106104.0,22088.0202727394,9.14627244788536
110000,北京市,2013,,,,,
110000,北京市,2012,123269,373.7115,1013060.2,20898.99967199,7.7095087892297
110000,北京市,2011,148294,376.7502,1032398.0,21064.1024071558,7.68686571914748
110000,北京市,2010,160650,429.3,987518.0,16630.0,7.2
110000,北京市,2009,201744,503.0933,1001208.7,17950.0,9.0
110000,北京市,2008,176653,496.6302,809966.1,17459.0,10.7
110000,北京市,2007,201943,397.7494,683295.4,12829.8628192466,7.46832224896823
110000,北京市,2006,,,,11759.5446239321,6.49016651024476
110000,北京市,2005,,,,11877.5618964358,6.69163232341982
110000,北京市,2004,,,,,
110000,北京市,2003,,392.54,,12554.0,8.98
110000,北京市,2002,,262.9,,10731.0,6.7
110000,北京市,2001,,257.5,,8956.0,5.98
110000,北京市,2000,,248.9,,7781.0,5.97
120000,天津市,2019,79372,408.7604,1223461.2,15127.9,5.1
120000,天津市,2018,80469,362.7,1783524.0,27821.5265677574,5.65782556675751
120000,天津市,2017,100436,485.4749,1825329.3,31092.9861767637,8.26966638560271
120000,天津市,2016,102521,521.614,3087462.7,41928.0295828739,7.08356645825751
120000,天津市,2015,142701,478.4102,2134982.0,27140.4872108115,6.08168402104645
120000,天津市,2014,115392,442.663406,1751444.03,52503.9954074398,13.2699629777297
120000,天津市,2013,,,,,
120000,天津市,2012,110530,501.4617,2941739.3,91231.432665112,15.55170756215
120000,天津市,2011,118300,391.2139,1864455.2,57697.8842053469,12.1066005242294
120000,天津市,2010,128467,418.5,1980061.0,41391.0,8.7
120000,天津市,2009,116658,440.6359,1722188.1,41368.0,10.6
120000,天津市,2008,101576,316.8512,1103985.3,30390.0,8.7
120000,天津市,2007,91955,293.1597,853180.8,24484.1847891592,8.41296038018493
120000,天津市,2006,,,,25443.3486477341,9.66222961189057
120000,天津市,2005,,,,26048.8177336205,9.22829259873481
120000,天津市,2004,,,,,
120000,天津市,2003,,163.52,,24308.0,9.51
120000,天津市,2002,,173.3,,19328.0,8.1
120000,天津市,2001,,134.18,,12868.0,9.43
120000,天津市,2000,,121.0,,10715.0,7.74
130000,河北省,2019,500134,1084.3092,1642190.6,18369.3,12.1
130000,河北省,2018,487061,1179.0,7596815.0,61143.4842413057,9.48926200262866
130000,河北省,2017,641135,1183.1646,2190915.6,15708.9677928659,8.48334577336485
130000,河北省,2016,534662,1028.7838,1727109.3,13195.6445668252,7.86022364705451
130000,河北省,2015,530520,1250.5469,2088391.4,16008.8384728836,9.58623145300508
130000,河北省,2014,638376,1604.0932,1821214.0,15960.1053015326,14.057379520184
130000,河北省,2013,,,,,
130000,河北省,2012,545557,1470.8278,1872058.5,13914.750289324,10.932458336957
130000,河北省,2011,548138,1194.1967,1864282.7,15527.5372096316,9.94641729758543
130000,河北省,2010,966857,1034.0,1810127.0,14090.0,8.0
130000,河北省,2009,469494,842.874,1381584.7,11729.0,7.2
130000,河北省,2008,463274,775.8386,1287086.1,11139.0,6.7
