省份编码,省份,年份,建筑业企业签订合同总额(万元),建筑业企业上年结转合同额(万元),建筑业企业本年新签合同额(万元),建筑业企业直接从建设单位承揽工程完成的产值(万元),建筑业企业自行完成施工产值(万元),建筑业企业分包出去工程的产值(万元),建筑业企业从建设单位以外承揽工程完成的产值(万元)
110000,北京市,2019,398697577.3,226222365.0,172475212.3,123141287.7,101453281.6,21688006.1,18540329.0
110000,北京市,2018,365420853.6,205420499.4,160000354.2,111409553.9,91563045.9,19846508.0,17834534.9
110000,北京市,2017,317686030.4,162626053.8,155059976.6,98966457.6,82819461.1,16146996.5,14547675.0
110000,北京市,2016,263645469.6,128753108.9,134892360.7,91202806.7,75463489.1,15739317.6,12948415.5
110000,北京市,2015,232156197.6,124266424.6,107889773.0,84839055.5,73522434.5,11316621.0,10844861.7
110000,北京市,2014,212299193.4,107910394.9,104388798.5,84112592.0,71048412.2,13064179.8,11049544.5
110000,北京市,2013,181250763.5,86348887.8,94901875.7,74001824.3,65317170.1,8684654.2,8753688.6
110000,北京市,2012,161985453.7,78786341.0,83199112.7,64856940.8,57363217.5,7493723.3,8519735.6
110000,北京市,2011,149841698.8,73315327.0,76526371.8,61047912.5,51905918.0,9141994.5,8556264.3
110000,北京市,2010,120812991.0,51122793.0,69690197.0,53877575.0,45419450.0,8458125.0,6540722.0
110000,北京市,2009,92655639.4,36296491.1,56359148.3,42137411.1,36179966.8,5957444.3,4417056.5
110000,北京市,2008,63241159.5,28125794.7,35115364.8,30919849.1,27404778.5,3515070.6,3256920.3
110000,北京市,2007,52645352.1,22115987.8,30529364.3,25417314.0,23378763.4,2038550.6,2388928.1
110000,北京市,2006,46116683.5,19183518.3,26933165.2,21551480.9,20310593.3,1240887.6,1368629.5
110000,北京市,2005,39096753.0,15874092.5,23222660.5,18819079.6,17996146.0,822933.6,944289.8
110000,北京市,2004,,,,,,,
110000,北京市,2003,,,,,,,
110000,北京市,2002,,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,130680550.7,70154456.9,60526093.8,40283036.1,37687501.6,2595534.5,3277457.9
120000,天津市,2018,119216001.6,64144834.9,55071166.7,38978139.4,35728202.2,3249937.2,2182820.3
120000,天津市,2017,119879038.7,57296367.4,62582671.3,41848666.3,40500233.3,1348433.0,2123241.2
120000,天津市,2016,109285459.3,51459054.2,57826405.1,48821028.5,47118208.5,1702820.0,1799893.5
120000,天津市,2015,89001834.6,41942893.0,47058941.6,44252270.2,42733334.6,1518935.6,2155696.6
120000,天津市,2014,89762422.3,42354811.8,47407610.5,41384736.9,39547818.6,1836918.3,1687043.8
120000,天津市,2013,70491196.2,30096476.8,40394719.4,36839149.1,34971182.9,1867966.2,1734144.5
120000,天津市,2012,65491128.3,30254271.3,35236857.0,33150580.2,30774589.7,2375990.5,1811111.7
120000,天津市,2011,57315988.4,22872706.7,34443281.7,29934894.4,28033400.4,1901494.0,1831144.7
120000,天津市,2010,47203350.0,19669598.0,27533752.0,24102201.0,22491391.0,1610810.0,1753542.0
120000,天津市,2009,39480321.0,14878695.1,24601625.9,19352936.4,17522815.2,1830121.2,1591937.4
120000,天津市,2008,29821782.6,9760327.7,20061454.9,15006795.4,13645935.3,1360860.1,891919.1
120000,天津市,2007,22910132.2,7969649.6,14940482.6,12445667.5,11472927.1,972740.4,746491.7
120000,天津市,2006,17181488.9,7053426.9,10128062.0,9986324.1,9406108.2,580215.9,433211.3
120000,天津市,2005,14091015.7,4931365.0,9159650.7,7679721.0,7234703.5,445017.5,308998.3
120000,天津市,2004,,,,,,,
120000,天津市,2003,,,,,,,
120000,天津市,2002,,,,,,,
120000,天津市,2001,,,,,,,
120000,天津市,2000,,,,,,,
130000,河北省,2019,132194430.8,62617155.8,69577275.0,57525114.8,56466516.7,1058598.1,2013134.2
130000,河北省,2018,125850972.1,59069589.9,66781382.2,56767819.9,55793597.3,974222.6,1608895.8
130000,河北省,2017,115749340.9,51342174.0,64407166.9,55951478.5,55192020.5,759458.0,1367586.2
130000,河北省,2016,95787608.0,39184422.2,56603185.8,54298322.1,54018449.5,279872.6,1158470.7
130000,河北省,2015,90410854.4,38594244.3,51816610.1,51580624.2,51339536.7,241087.5,1186148.7
130000,河北省,2014,92625468.3,37216346.8,55409121.5,54961813.6,54683242.1,278571.5,1574217.6
130000,河北省,2013,83718858.9,32613269.7,51105589.2,50970823.2,50756380.8,214442.4,1282841.9
130000,河北省,2012,82026042.2,30676586.4,51349455.8,47797705.6,47602806.4,194899.2,1048100.5
130000,河北省,2011,67655929.4,24797532.6,42858396.8,39296539.4,39006298.1,290241.3,720322.0
130000,河北省,2010,53600924.0,18328709.0,35272215.0,31870899.0,31804929.0,65970.0,509704.0
130000,河北省,2009,41201313.5,14445607.0,26755706.5,24756898.5,24729468.8,27429.7,520992.2
130000,河北省,2008,31608370.8,10325836.6,21282534.2,20127842.5,20034733.5,93109.0,413393.6
130000,河北省,2007,23888325.1,8038025.8,15850299.3,15909651.5,15879054.9,30596.6,267854.0
130000,河北省,2006,20540268.7,7096852.6,13443416.1,14191508.8,14078081.7,113427.1,409239.3
130000,河北省,2005,18040286.3,5806190.0,12234096.3,12747101.5,12622391.9,124709.6,230538.9
130000,河北省,2004,,,,,,,
130000,河北省,2003,,,,,,,
130000,河北省,2002,,,,,,,
130000,河北省,2001,,,,,,,
130000,河北省,2000,,,,,,,
140000,山西省,2019,104566460.3,41652058.3,62914402.0,45668960.2,45420068.7,248891.5,1112722.2
140000,山西省,2018,90490380.6,40123364.6,50367016.0,40184773.7,39942556.2,242217.5,772082.6
140000,山西省,2017,85892827.2,36495241.8,49397585.4,35536522.2,35267099.5,269422.7,398632.3
140000,山西省,2016,74495455.3,32761633.2,41733822.1,32904944.3,32718369.6,186574.7,466369.7
140000,山西省,2015,63330057.9,30736400.4,32593657.5,29210101.7,29139963.0,70138.7,172664.2
140000,山西省,2014,59955207.2,27881138.5,32074068.7,30874075.6,30796853.4,77222.2,238064.8
140000,山西省,2013,57229512.5,26409160.5,30820352.0,29758011.2,29680452.4,77558.8,157633.9
140000,山西省,2012,52406278.8,23499735.3,28906543.5,26543045.3,26434555.6,108489.7,247123.4
140000,山西省,2011,47020360.0,23831468.6,23188891.4,23166302.4,23092998.0,73304.4,156110.3
140000,山西省,2010,45730067.0,19633834.0,26096233.0,21454568.0,21302145.0,152423.0,132446.0
140000,山西省,2009,36509351.5,15691958.3,20817393.2,18156707.2,17978950.7,177756.5,282089.2
140000,山西省,2008,26729667.1,10754289.2,15975377.9,13463274.9,13395422.9,67852.0,158991.8
140000,山西省,2007,19745379.0,8703739.1,11041639.9,10602924.3,10479558.8,123365.5,127482.1
140000,山西省,2006,15598085.4,6214228.1,9383857.3,9409805.4,9288308.1,121497.3,108429.1
140000,山西省,2005,16462214.0,5734832.2,10727381.8,8497506.9,8317073.5,180433.4,175091.9
140000,山西省,2004,,,,,,,
140000,山西省,2003,,,,,,,
140000,山西省,2002,,,,,,,
140000,山西省,2001,,,,,,,
140000,山西省,2000,,,,,,,
150000,内蒙古自治区,2019,29500396.8,12868663.9,16631732.9,10749787.2,10695866.2,53921.0,164725.8
150000,内蒙古自治区,2018,25018116.2,12104702.0,12913414.2,10320682.0,10275271.4,45410.6,125961.4
150000,内蒙古自治区,2017,22346664.9,9040239.5,13306425.4,11172565.2,11142885.4,29679.8,79046.5
150000,内蒙古自治区,2016,21033686.0,8723624.3,12310061.7,12138758.5,12101604.5,37154.0,106484.8
150000,内蒙古自治区,2015,19814325.2,9087809.2,10726516.0,11179934.7,11168420.7,11514.0,66289.4
150000,内蒙古自治区,2014,22260023.8,9705824.3,12554199.5,13931657.9,13914216.3,17441.6,115127.2
150000,内蒙古自治区,2013,25192682.1,11655706.2,13536975.9,15287223.8,15259031.4,28192.4,145738.9
150000,内蒙古自治区,2012,24238358.4,10772382.1,13465976.3,14221136.1,14207158.2,13977.9,202811.1
150000,内蒙古自治区,2011,22787185.9,6776980.5,16010205.4,13864314.9,13821890.5,42424.4,124889.2
150000,内蒙古自治区,2010,16311525.0,4763704.0,11547821.0,11174503.0,11167301.0,7202.0,88471.0
150000,内蒙古自治区,2009,13384732.8,3468657.1,9916075.7,9592238.6,9561952.3,30286.3,85302.2
150000,内蒙古自治区,2008,10281414.2,2750724.5,7530689.7,7709626.0,7699356.9,10269.1,101138.2
150000,内蒙古自治区,2007,9041793.3,2184480.1,6857313.2,6773520.2,6769442.2,4078.0,41596.1
150000,内蒙古自治区,2006,6267384.9,1452487.9,4814897.0,4631705.5,4631525.8,179.7,38524.0
150000,内蒙古自治区,2005,5308017.3,1754064.1,3553953.2,3765824.0,3739940.1,25883.9,73104.4
150000,内蒙古自治区,2004,,,,,,,
150000,内蒙古自治区,2003,,,,,,,
150000,内蒙古自治区,2002,,,,,,,
150000,内蒙古自治区,2001,,,,,,,
150000,内蒙古自治区,2000,,,,,,,
210000,辽宁省,2019,72766891.9,30349290.1,42417601.8,34889083.2,34199872.8,689210.4,1344586.1
210000,辽宁省,2018,73307714.3,35658356.6,37649357.7,34003559.2,33617138.7,386420.5,1666996.5
210000,辽宁省,2017,77912689.8,35122031.0,42790658.8,36863731.7,36366465.8,497265.9,516790.8
210000,辽宁省,2016,79506539.8,37699499.6,41807040.2,39217942.4,38753477.1,464465.3,513655.8
210000,辽宁省,2015,96653705.6,44844858.6,51808847.0,53892576.7,53480021.8,412554.9,657600.9
210000,辽宁省,2014,122125223.1,45357794.2,76767428.9,78118755.0,77719895.1,398859.9,791352.7
210000,辽宁省,2013,127347556.5,42668155.7,84679400.8,86890798.7,86459348.8,431449.9,974318.6
210000,辽宁省,2012,108841492.8,35599792.4,73241700.4,75220722.2,74634806.0,585916.2,839092.4
210000,辽宁省,2011,95883793.9,29484767.5,66399026.4,61999906.2,61668470.1,331436.1,506756.1
210000,辽宁省,2010,73624581.0,20910663.0,52713918.0,46800540.0,46451345.0,349196.0,451786.0
210000,辽宁省,2009,49470549.3,15641837.3,33828712.0,33777393.9,33542047.3,235346.6,304428.5
210000,辽宁省,2008,39661991.0,12992062.5,26669928.5,24907821.6,24800344.9,107476.7,251347.3
210000,辽宁省,2007,31989566.1,9915515.6,22074050.5,21027844.5,20868845.4,158999.1,131556.7
210000,辽宁省,2006,25998929.4,8169369.2,17829560.2,17758095.6,17602948.9,155146.7,146904.4
210000,辽宁省,2005,22074151.0,6570754.0,15503397.0,14733089.0,14616140.4,116948.6,200387.8
210000,辽宁省,2004,,,,,,,
210000,辽宁省,2003,,,,,,,
210000,辽宁省,2002,,,,,,,
210000,辽宁省,2001,,,,,,,
210000,辽宁省,2000,,,,,,,
220000,吉林省,2019,38929767.8,17138732.9,21791034.9,18113681.5,18046949.9,66731.6,584082.8
220000,吉林省,2018,37274808.4,15966807.3,21308001.1,21424165.9,21264922.1,159243.8,571402.3
220000,吉林省,2017,36692575.0,13473480.0,23219095.0,21988525.2,21710725.5,277799.7,472976.8
220000,吉林省,2016,35860143.7,14176438.8,21683704.9,22687817.4,22496475.3,191342.1,339150.9
220000,吉林省,2015,34644553.7,14029813.9,20614739.8,21838899.2,21745009.1,93890.1,418133.3
220000,吉林省,2014,40615532.2,17176786.7,23438745.5,24932420.6,24820517.8,111902.8,389471.8
220000,吉林省,2013,34340665.9,13156263.0,21184402.9,22017230.1,21800553.9,216676.2,200947.8
220000,吉林省,2012,31248327.3,12451462.8,18796864.5,19801519.9,19689164.3,112355.6,215086.7
220000,吉林省,2011,24344216.8,8812040.3,15532176.5,16224885.9,16100597.0,124288.9,165887.7
220000,吉林省,2010,21297071.0,7418813.0,13878258.0,13431531.0,13338306.0,93225.0,149479.0
220000,吉林省,2009,17939553.9,4926694.2,13012859.7,11398096.4,11357898.7,40197.7,70519.5
220000,吉林省,2008,14531875.0,4852335.6,9679539.4,9852118.6,9791077.8,61040.8,155433.7
220000,吉林省,2007,11152357.3,4516661.9,6635695.4,7378459.8,7321384.1,57075.7,62006.7
220000,吉林省,2006,9116809.6,3088253.5,6028556.1,6066362.9,6033279.4,33083.5,43643.1
220000,吉林省,2005,8048088.8,3118827.2,4929261.6,4822076.9,4809864.1,12212.8,45956.2
220000,吉林省,2004,,,,,,,
220000,吉林省,2003,,,,,,,
220000,吉林省,2002,,,,,,,
220000,吉林省,2001,,,,,,,
220000,吉林省,2000,,,,,,,
230000,黑龙江省,2019,25397706.3,11629261.6,13768444.7,11918734.6,11727775.0,190959.6,85700.1
230000,黑龙江省,2018,23570712.1,9522226.8,14048485.3,12095795.2,11836455.3,259339.9,106383.6
230000,黑龙江省,2017,26157993.4,9203505.2,16954488.2,15595595.0,15440179.5,155415.5,160490.3
230000,黑龙江省,2016,25923452.9,9095375.4,16828077.5,17220616.0,16974758.9,245857.1,191311.4
230000,黑龙江省,2015,25113722.4,8835869.3,16277853.1,16929621.4,16778230.7,151390.7,25697.2
230000,黑龙江省,2014,32457483.3,12105100.3,20352383.0,21605821.6,21456781.5,149040.1,50705.2
230000,黑龙江省,2013,33640728.4,11318055.8,22322672.6,24524701.3,24407333.9,117367.4,98381.1
230000,黑龙江省,2012,34462932.7,13902506.0,20560426.7,23934556.3,23696113.1,238443.2,43493.3
230000,黑龙江省,2011,31916336.9,11691747.9,20224589.0,20253152.8,20159880.1,93272.7,131723.6
230000,黑龙江省,2010,26237834.0,7437944.0,18799890.0,17606550.0,17572523.0,34027.0,124446.0
230000,黑龙江省,2009,18625331.6,5361070.7,13264260.9,13477405.9,13299899.7,177506.2,123956.6
230000,黑龙江省,2008,12655533.7,3339049.8,9316483.9,10369723.9,10295065.3,74658.6,72459.5
230000,黑龙江省,2007,10153392.8,2992109.1,7161283.7,8759853.1,8566850.1,193003.0,191927.7
230000,黑龙江省,2006,8708015.8,2680487.7,6027528.1,7015726.6,6900651.3,115075.3,97703.0
230000,黑龙江省,2005,7410680.2,2005863.3,5404816.9,5722191.2,5658197.6,63993.6,70758.2
230000,黑龙江省,2004,,,,,,,
230000,黑龙江省,2003,,,,,,,
230000,黑龙江省,2002,,,,,,,
230000,黑龙江省,2001,,,,,,,
230000,黑龙江省,2000,,,,,,,
310000,上海市,2019,264302406.3,138996980.8,125305425.5,81259460.6,69165278.4,12094182.2,8959397.6
310000,上海市,2018,228079395.1,111513134.0,116566261.1,73134754.5,63171714.3,9963040.2,7550391.4
310000,上海市,2017,204932265.2,100288230.3,104644034.9,66404813.4,57238334.1,9166479.3,7025843.5
