省份编码,省份,年份,建筑业总产值(亿元),内资企业建筑业总产值(亿元),国有建筑业总产值(亿元),集体建筑业总产值(亿元),港澳台商投资企业建筑业总产值(亿元),港澳台商独资企业建筑业总产值(亿元),外商投资企业建筑业总产值(亿元),外商独资企业建筑业总产值(亿元)
110000,北京市,2019,11999.36106,11893.45785,2903.32599,70.11978,55.9077,16.09427,49.99551,12.06209
110000,北京市,2018,10939.75808,10834.11533,1941.77443,77.36219,53.97404,16.08757,51.66871,11.46069
110000,北京市,2017,9736.71361,9636.88047,1837.4545,125.35738,63.52997,20.26837,36.30317,10.19454
110000,北京市,2016,8841.19046,8733.55015,1646.52667,140.19538,69.27773,17.58929,38.36258,10.4374
110000,北京市,2015,8436.73,8340.32575,1519.53172,136.85639,56.2622,14.34077,40.14167,13.84172
110000,北京市,2014,8209.79567,8105.00844,1276.88286,175.57077,65.3094,19.50904,39.47783,9.92242
110000,北京市,2013,7464.36084,7237.10131,1321.59814,173.52596,120.04653,23.62645,49.93803,13.5461
110000,北京市,2012,6588.29531,6437.89715,1131.95778,157.27707,99.09302,27.98714,51.30514,11.26554
110000,北京市,2011,6046.21823,5896.80428,1003.11485,171.10543,103.43789,27.67719,45.97606,7.94094
110000,北京市,2010,5196.01725,5053.9861,982.4275,147.8952,91.5315,24.6212,50.4996,4.2877
110000,北京市,2009,4059.70233,3941.93197,924.15722,125.32101,60.15863,18.66492,57.61173,4.31519
110000,北京市,2008,3066.16988,2945.57807,653.4241,105.54713,63.8552,26.98803,56.73661,4.77528
110000,北京市,2007,2576.76915,2473.52372,703.33648,111.25213,49.05226,17.02339,54.19317,5.33297
110000,北京市,2006,2167.92228,2086.13749,676.23841,112.00424,37.7831,13.12292,44.00169,5.72204
110000,北京市,2005,1894.0436,1838.71883,650.69881,123.97408,22.96153,4.70205,32.36322,2.29491
110000,北京市,2004,1656.9591,1461.3702,445.3845,128.8148,,,,
110000,北京市,2003,1269.8521,1238.1683,468.777,155.3928,10.3388,0.0254,21.345,
110000,北京市,2002,1055.0535,1027.6719,385.27,160.79,9.9917,0.0932,17.3899,
110000,北京市,2001,887.9099,859.66712,358.17218,118.78018,12.61602,,15.62674,
110000,北京市,2000,727.4774,702.57211,340.49418,157.98417,10.09702,,14.80828,
120000,天津市,2019,4096.49595,4088.04962,734.39929,43.0439,3.25821,0.48494,5.18812,
120000,天津市,2018,3791.10225,3785.5823,702.86733,41.23224,2.97537,0.13018,2.54458,
120000,天津市,2017,4262.34745,4249.84207,860.20176,68.65448,5.09244,0.21782,7.41294,2.30731
120000,天津市,2016,4891.8102,4879.35653,690.78684,158.68416,4.69663,0.24893,7.75704,2.01511
120000,天津市,2015,4488.9,4480.29579,509.71098,189.19228,2.0831,0.13603,6.52423,1.54637
120000,天津市,2014,4123.48624,4112.02436,571.33337,226.96333,4.69176,0.19908,6.77012,0.79503
120000,天津市,2013,3694.43619,3658.7697,944.5344,336.89591,5.27377,0.36367,6.48927,
120000,天津市,2012,3258.57014,3251.73947,869.51778,261.09202,5.13457,0.0545,1.6961,
120000,天津市,2011,2986.45451,2972.82822,737.29877,178.36526,4.86537,0.35571,8.76092,0.23785
120000,天津市,2010,2424.49331,2406.4454,769.2711,115.509,10.3704,1.3902,7.6775,0.1334
120000,天津市,2009,1911.47526,1896.26847,613.12273,83.87627,8.18659,1.44558,7.0202,0.19866
120000,天津市,2008,1453.78544,1443.01833,488.91744,54.48872,3.16357,0.43812,7.60354,0.06138
120000,天津市,2007,1221.94188,1205.05206,390.52941,34.47803,6.00206,1.64903,10.88776,0.03909
120000,天津市,2006,983.93195,967.38348,307.52897,35.54298,4.44012,1.26443,12.10835,0.29261
120000,天津市,2005,754.3702,739.74438,282.77295,41.03067,7.9607,0.24703,6.6651,0.10435
120000,天津市,2004,653.70678,642.17,223.17,43.19,,,,
120000,天津市,2003,520.8402,514.6992,197.6613,56.6917,4.1028,,2.0382,
120000,天津市,2002,406.1628,400.2271,158.11,51.23,3.7165,,2.2192,
120000,天津市,2001,288.6808,286.3533,170.16967,33.95917,1.95654,,0.37096,
120000,天津市,2000,238.0991,235.77212,167.567,34.24887,1.22126,,1.10575,
130000,河北省,2019,5847.96509,5844.03391,975.56115,90.01352,3.86289,,0.06829,
130000,河北省,2018,5740.24931,5735.94186,849.17297,97.33186,4.30745,,,
130000,河北省,2017,5655.96067,5651.27869,763.04509,128.35955,3.90001,,0.78197,
130000,河北省,2016,5517.69202,5513.60555,721.23693,128.70489,3.72997,,0.3565,
130000,河北省,2015,5252.57,5249.5109,728.45202,117.18208,2.69399,,0.36365,
130000,河北省,2014,5625.74597,5622.39631,844.25226,129.5342,2.78255,,0.56711,
130000,河北省,2013,5244.90104,5197.04831,1005.36683,137.09238,3.12254,,3.75142,
130000,河北省,2012,4865.09069,4859.74207,946.23304,136.19911,3.6371,,1.71152,
130000,河北省,2011,3972.66201,3968.90642,830.95785,97.58133,3.5418,,0.21379,
130000,河北省,2010,3231.46321,3226.3179,692.1428,85.6309,2.8333,,2.312,
130000,河北省,2009,2525.0461,2521.20369,590.76087,61.22877,2.38354,,1.45887,
130000,河北省,2008,2044.81271,2041.07442,448.6906,48.8748,2.52454,,1.21375,
130000,河北省,2007,1614.69089,1612.86268,517.64703,58.69284,1.81321,,0.015,
130000,河北省,2006,1448.7321,1446.5079,448.71804,85.33894,2.13594,,0.08826,
130000,河北省,2005,1285.2931,1284.66628,451.88204,70.47815,0.47856,,0.14824,
130000,河北省,2004,1004.03925,998.99389,270.7329,61.34448,,,,
130000,河北省,2003,779.9313,779.4134,238.3363,89.1609,0.0673,0.0204,0.4506,
130000,河北省,2002,711.1712,710.4376,247.14,115.74,0.0814,0.0006,0.6522,
130000,河北省,2001,614.501,613.65613,245.49426,131.83802,0.44062,0.01095,0.40421,
130000,河北省,2000,492.1005,490.85913,263.66476,138.11823,0.63788,0.12644,0.60348,
140000,山西省,2019,4653.27909,4652.60206,630.50618,28.53438,0.52379,,0.15324,
140000,山西省,2018,4071.46388,4066.82437,488.70166,33.7375,0.6743,,3.96521,
140000,山西省,2017,3566.57318,3563.46697,514.31426,40.39149,0.54485,,2.56136,0.15643
140000,山西省,2016,3318.47393,3313.16763,488.73653,40.85038,0.801,,4.5053,
140000,山西省,2015,2931.26,2925.07241,492.76098,43.61438,1.51534,,4.67497,
140000,山西省,2014,3103.49182,3093.15879,560.84171,51.85697,6.06345,,4.26958,
140000,山西省,2013,3034.36562,2974.87862,787.12529,52.82941,3.9962,,4.93381,0.602
140000,山西省,2012,2668.1679,2658.70197,694.10382,45.01621,3.92107,,5.54486,0.69
140000,山西省,2011,2324.91083,2318.19094,652.25395,48.35687,1.57797,,5.14192,2.0848
140000,山西省,2010,2143.45913,2134.2925,530.4175,43.8991,6.1323,,3.0343,
140000,山西省,2009,1826.10399,1818.00772,432.37613,39.38449,4.69836,,3.39791,
140000,山西省,2008,1355.44147,1348.04401,391.336,32.25911,3.91486,,3.4826,
140000,山西省,2007,1060.70409,1057.09564,326.95296,37.88916,1.61899,,1.98946,
140000,山西省,2006,939.67372,937.72922,311.49586,31.89904,1.0156,,0.9289,
140000,山西省,2005,849.2165,847.13469,363.66162,28.9417,1.01249,,1.06936,
140000,山西省,2004,712.57499,709.2449,249.9812,25.9733,,,,
140000,山西省,2003,540.1279,537.838,177.943,30.8499,1.4418,,0.8481,
140000,山西省,2002,446.9457,444.449,252.13,26.57,1.5203,0.4269,0.9764,
140000,山西省,2001,311.439,310.60975,207.02238,23.97094,0.80535,0.51185,0.02391,
140000,山西省,2000,239.3974,238.73806,196.65303,24.29677,0.62374,0.19003,0.03565,
150000,内蒙古自治区,2019,1086.0592,1086.0592,185.02008,5.87957,,,,
150000,内蒙古自治区,2018,1040.12328,1040.12328,124.44708,6.60955,,,,
150000,内蒙古自治区,2017,1122.19319,1122.19319,149.81953,10.95915,,,,
150000,内蒙古自治区,2016,1220.80893,1220.80893,140.21826,17.94311,,,,
150000,内蒙古自治区,2015,1123.47,1123.47101,109.03231,18.79818,,,,
150000,内蒙古自治区,2014,1402.93435,1402.93435,122.14591,16.23024,,,,
150000,内蒙古自治区,2013,1571.16187,1540.47703,129.86196,13.35467,,,,
150000,内蒙古自治区,2012,1440.99693,1440.99693,125.8556,12.8095,,,,
150000,内蒙古自治区,2011,1394.67797,1394.44526,109.08181,9.63698,,,0.23271,
150000,内蒙古自治区,2010,1125.57715,1125.5772,112.1594,13.1274,,,,
150000,内蒙古自治区,2009,964.72545,964.64015,105.22996,13.94219,,,0.0853,
150000,内蒙古自治区,2008,780.04951,779.83989,102.36743,9.8064,,,0.20962,
150000,内蒙古自治区,2007,681.10383,681.01747,76.63803,2.53068,,,0.08636,
150000,内蒙古自治区,2006,467.00498,466.96355,40.14182,3.20681,,,0.04143,
150000,内蒙古自治区,2005,381.3045,381.2917,38.77421,3.0967,,,0.01275,
150000,内蒙古自治区,2004,354.50909,,29.42,2.44,,,,
150000,内蒙古自治区,2003,257.6575,257.1697,36.3435,6.9186,0.3678,0.002,0.12,
150000,内蒙古自治区,2002,220.0194,219.5393,50.53,13.68,0.3945,0.0431,0.0856,
150000,内蒙古自治区,2001,178.2561,177.9677,61.11837,15.78031,0.28842,0.09,,
150000,内蒙古自治区,2000,136.7309,136.31182,48.68663,21.45486,0.26899,0.075,0.1501,
210000,辽宁省,2019,3554.44589,3508.71875,394.19079,73.50022,41.08945,37.86567,4.63769,0.11714
210000,辽宁省,2018,3528.41352,3484.31807,373.49408,80.50413,37.59887,31.70414,6.49658,2.12884
210000,辽宁省,2017,3688.32566,3646.86967,488.80399,105.51792,33.54497,27.7327,7.91102,0.58824
210000,辽宁省,2016,3926.71329,3851.17105,421.6468,135.34943,65.49284,54.40501,10.0494,1.46511
210000,辽宁省,2015,5413.76,5307.63628,515.72562,187.47072,84.91071,71.01221,21.21528,4.09353
210000,辽宁省,2014,7851.12478,7802.52818,757.8298,335.89943,20.90086,1.2023,27.69574,6.39583
210000,辽宁省,2013,8629.19084,8670.77611,1106.46045,425.22899,21.6132,0.08261,50.97743,4.17899
210000,辽宁省,2012,7547.38984,7494.23826,1039.44234,391.87432,17.17443,0.088,35.97715,6.57872
210000,辽宁省,2011,6217.52262,6085.06537,920.99922,346.53525,71.16077,59.01655,61.29648,6.81974
210000,辽宁省,2010,4690.31305,4637.5388,775.3036,249.8857,7.0678,1.2357,45.7065,3.5339
210000,辽宁省,2009,3384.64758,3333.22854,661.84187,193.01142,8.77625,0.8046,42.64279,5.44414
210000,辽宁省,2008,2505.16922,2457.48846,555.47234,157.89334,9.83494,0.01451,37.84582,8.40102
210000,辽宁省,2007,2100.04021,2038.77267,475.83334,146.06066,10.66178,0.03359,50.60576,0.79823
210000,辽宁省,2006,1774.98533,1716.65511,437.72372,179.98559,16.79552,0.0786,41.5347,1.14564
210000,辽宁省,2005,1481.6528,1446.93849,412.43508,138.72899,6.2411,0.25038,28.47323,0.49254
210000,辽宁省,2004,1245.14813,,323.7,104.3,,,,
210000,辽宁省,2003,1017.0794,981.7204,309.5257,149.3295,6.5716,,28.7874,0.1022
210000,辽宁省,2002,839.3428,819.9065,283.35,157.92,10.1368,,9.2995,0.2594
210000,辽宁省,2001,761.1747,743.20887,288.00535,162.92625,11.47549,0.05,6.49033,
210000,辽宁省,2000,598.0933,584.91469,265.39444,176.25869,7.69508,,5.48357,0.17974
220000,吉林省,2019,1863.10327,1861.10606,132.59801,13.73978,1.99721,0.30529,,
220000,吉林省,2018,2183.63244,2177.63724,72.98676,14.79831,5.89254,0.61288,0.10266,0.10266
220000,吉林省,2017,2218.37023,2208.12706,149.15079,16.80661,10.13317,0.12815,0.11,
220000,吉林省,2016,2283.56262,2273.32766,155.21953,16.35183,9.89046,,0.3445,
220000,吉林省,2015,2216.31,2199.52476,154.04417,19.93024,15.21528,,1.5742,
220000,吉林省,2014,2520.99896,2501.26529,159.26004,21.10823,18.32244,,1.41123,
220000,吉林省,2013,2211.44076,2182.42444,168.25532,26.88668,17.72573,,,
220000,吉林省,2012,1990.4251,1973.06505,157.26343,31.46807,17.36005,,,
220000,吉林省,2011,1626.64847,1622.62654,137.27854,54.26299,4.02193,,,
220000,吉林省,2010,1348.77851,1345.1709,144.4562,12.7566,3.6076,,,
220000,吉林省,2009,1142.84182,1135.13451,167.53889,22.05438,5.51651,,2.1908,
220000,吉林省,2008,994.65115,991.63724,127.89002,24.11989,1.15061,,1.8633,
220000,吉林省,2007,738.33908,735.06066,125.58612,34.46653,1.59842,,1.68,
220000,吉林省,2006,607.69225,606.14363,106.0767,28.11279,1.04538,,0.50324,
220000,吉林省,2005,485.582,481.54393,160.95868,20.84232,1.42543,,2.61267,
220000,吉林省,2004,411.11063,,,,,,,
220000,吉林省,2003,346.9281,344.8325,134.0345,26.7291,0.7785,0.062,1.3171,0.0153
220000,吉林省,2002,292.6017,290.0261,122.69,26.36,1.0788,0.45,1.4968,0.0205
220000,吉林省,2001,274.0726,271.34781,124.42258,44.22931,0.52991,,2.19488,
220000,吉林省,2000,239.184,239.12934,168.02143,33.26496,0.03031,0.00542,0.02438,0.02438
230000,黑龙江省,2019,1181.34751,1179.95584,241.12701,24.16671,0.33,,1.06167,
230000,黑龙江省,2018,1194.28389,1192.32835,161.37862,57.90687,0.07544,,1.8801,
230000,黑龙江省,2017,1560.06698,1558.57115,360.51935,129.31958,0.62393,,0.8719,
230000,黑龙江省,2016,1716.60703,1708.36113,426.53423,107.306,0.15418,,8.09172,
230000,黑龙江省,2015,1680.39,1675.38921,460.49333,109.91138,0.2487,,4.75488,
230000,黑龙江省,2014,2150.74867,2137.65766,563.45547,184.59615,0.13735,,12.95366,0.4798
230000,黑龙江省,2013,2471.9359,2433.87431,636.31463,216.21575,0.2459,,16.45129,0.38834
230000,黑龙江省,2012,2373.96064,2371.18924,701.89572,184.1978,0.06465,,2.70675,0.1712
230000,黑龙江省,2011,2029.16037,2023.47609,673.35634,123.87629,0.29829,,5.38599,3.983
230000,黑龙江省,2010,1769.69689,1768.5825,601.7667,95.8099,0.3443,,0.7701,0.6967
230000,黑龙江省,2009,1342.38563,1333.26729,506.02251,77.3477,8.1417,,0.97664,0.9127
230000,黑龙江省,2008,1036.75248,1030.28515,439.12944,63.50253,5.40878,,1.05855,1.03591
230000,黑龙江省,2007,875.87778,869.05718,314.37132,55.41112,5.46639,,1.35421,
230000,黑龙江省,2006,699.83543,697.84114,213.08804,55.14213,1.84741,,0.14688,
230000,黑龙江省,2005,572.8956,568.69968,161.85961,47.72815,0.08909,,4.10681,
230000,黑龙江省,2004,515.9832,511.23,128.6,42.37,,,,
230000,黑龙江省,2003,440.1878,435.3777,120.7479,51.8959,0.1088,0.09,4.7013,
230000,黑龙江省,2002,407.9097,405.8759,110.38,60.13,1.7351,0.12,0.2987,
230000,黑龙江省,2001,372.3204,370.54181,161.59977,69.08122,1.48067,0.10612,0.29792,
230000,黑龙江省,2000,334.0903,332.00125,180.63219,76.74393,1.89213,0.08427,0.19695,0.01299
310000,上海市,2019,7812.4676,7638.01958,2331.15214,22.81899,81.85555,27.0634,92.59247,56.82228
310000,上海市,2018,7072.21057,6896.18394,2020.39352,16.83787,74.66877,25.17033,101.35786,62.07035
310000,上海市,2017,6426.41776,6272.95215,1056.08701,21.04516,70.78876,23.30618,82.67685,45.39921
310000,上海市,2016,6046.19477,5882.9161,898.69744,26.38426,70.52074,18.43006,92.75793,45.18372
310000,上海市,2015,5652.47,5470.00176,834.2576,30.17167,87.58142,17.50685,94.88503,52.29172
310000,上海市,2014,5499.9411,5285.92792,819.74592,28.78147,90.44984,20.74465,123.56334,54.68216
310000,上海市,2013,5205.92161,4883.97668,761.56232,52.62156,101.38916,27.34049,117.47137,42.9132
310000,上海市,2012,4843.4396,4578.54224,672.32066,64.31486,129.52471,27.12824,135.37265,62.31531
310000,上海市,2011,4298.27735,4071.14429,647.12978,58.0835299999997,118.60402,27.53217,108.52904,59.21366
310000,上海市,2010,4300.1906,4079.0341,689.798,79.7197,122.5749,22.4782,98.5816,41.2894
310000,上海市,2009,3830.5439,3672.75369,635.26948,72.93708,79.4023,16.46619,78.38791,30.26373
310000,上海市,2008,3245.77159,3077.53527,543.62958,66.65695,77.09874,27.46173,91.13758,43.98169
310000,上海市,2007,2524.18014,2374.61932,402.11766,76.31063,52.77453,9.29967,96.78629,42.58686
310000,上海市,2006,2285.38472,2181.65948,464.02946,99.81164,42.72206,7.83013,61.00318,29.88034
310000,上海市,2005,1889.2463,1782.45283,401.10075,78.44378,36.55701,1.81195,70.23641,29.63176
310000,上海市,2004,1688.80023,1646.86,323.36,74.14,,,,
310000,上海市,2003,1195.8034,1146.2516,230.3917,130.4581,34.2481,0.0028,15.3037,
310000,上海市,2002,822.273,784.6028,168.79,99.86,20.3977,0.3343,17.2725,
310000,上海市,2001,721.5808,688.6395,222.725,97.1006,17.1786,0.1985,15.7627,0.2374
310000,上海市,2000,622.3565,591.2418,202.9338,72.9844,19.8171,0.8201,11.2976,0.573
320000,江苏省,2019,33099.18116,32934.75409,1428.18794,89.53412,33.48259,12.38131,130.94448,96.06138
320000,江苏省,2018,30846.66063,30644.42941,888.08488,94.20107,42.10344,12.45843,160.12778,115.83848
320000,江苏省,2017,27956.71048,27836.86915,947.05686,129.96607,50.73176,9.37778,69.10957,41.64875
320000,江苏省,2016,25791.76048,25693.66085,851.68906,138.89178,49.10345,6.30406,48.99618,34.17125
320000,江苏省,2015,24785.81,24692.81458,828.79193,151.44445,47.43902,3.95545,45.55976,27.08196
320000,江苏省,2014,24592.93172,24492.19654,805.39593,157.53499,47.15069,3.67222,53.58449,35.80973
320000,江苏省,2013,21993.60985,21604.09013,1001.68987,428.78756,48.75373,5.84751,59.31354,36.19482
320000,江苏省,2012,18423.55122,18324.06658,851.58431,370.47332,47.09572,4.32727,52.38892,30.87527
320000,江苏省,2011,15122.84503,15042.46547,698.92038,337.22942,37.56155,3.90288,42.81801,23.88404
320000,江苏省,2010,12405.91674,12343.4599,682.5035,330.9182,24.3428,7.9575,38.1141,21.846
320000,江苏省,2009,10265.10972,10147.63087,610.95952,396.30329,37.09416,18.72131,80.38469,15.9321
320000,江苏省,2008,8601.51197,8521.2516,470.88185,518.98502,28.07622,7.37084,52.18415,21.74424
320000,江苏省,2007,7010.57244,6928.77695,407.53304,533.7169,26.2975,7.52843,55.49799,25.11985
320000,江苏省,2006,5424.84842,5374.78483,376.97211,436.72854,16.67585,1.74681,33.38774,17.47271
320000,江苏省,2005,4368.9494,4309.4593,360.83335,363.21338,22.84109,10.52011,36.64897,10.05564
320000,江苏省,2004,3655.61626,,436.4,134.09,,,,
320000,江苏省,2003,2794.9354,2767.7315,359.3289,442.3057,11.1385,,16.0654,0.6617
320000,江苏省,2002,2199.5164,2178.9774,503.76,483.81,11.0109,0.2262,9.5281,
320000,江苏省,2001,1821.8039,1800.45378,415.93259,533.2529,11.39087,,9.95921,0.0014
320000,江苏省,2000,1538.8416,1518.73981,378.19485,697.04592,9.86832,,10.23345,
330000,浙江省,2019,20390.20329,20135.32628,314.14119,118.40885,198.13708,15.72583,56.73993,2.10426
330000,浙江省,2018,28756.19628,28389.13572,285.70101,323.6834,235.76502,41.82141,131.29554,0.14722
330000,浙江省,2017,27235.82593,27008.93387,259.76983,271.77571,130.07753,38.26408,96.81453,5.80652
330000,浙江省,2016,24989.37003,24827.23135,249.07093,264.62519,78.976,0.15507,83.16268,
330000,浙江省,2015,23980.59,23823.65326,300.36543,235.54042,76.37983,0.16486,80.55851,0.01036
330000,浙江省,2014,22668.1864,22520.31525,364.84879,201.48593,76.01731,0.21779,71.85384,0.015
330000,浙江省,2013,20200.02418,19936.3226,366.97991,240.33717,67.59388,0.36953,62.50043,0.08132
330000,浙江省,2012,17332.74487,17231.84667,330.42475,215.27332,66.435,0.29531,34.4632,0.18512
330000,浙江省,2011,14907.41909,14804.06676,288.70622,162.82799,49.69435,0.23456,53.65798,0.36606
330000,浙江省,2010,12007.88571,11925.6173,190.9917,135.401,38.5429,0.2426,43.7256,1.05
330000,浙江省,2009,9588.72136,9538.18542,204.11372,120.21873,16.62345,0.08639,33.91249,
330000,浙江省,2008,8156.0602,8104.15615,216.12924,116.84499,21.79902,0.1654,30.10503,
330000,浙江省,2007,6971.7052,6925.92006,215.53617,109.95129,9.53959,0.09637,36.24555,
330000,浙江省,2006,5655.60538,5621.03694,192.00723,138.39657,11.75532,0.06193,22.81312,
330000,浙江省,2005,4718.7431,4669.73903,192.85399,177.77875,11.27988,0.06062,37.72416,
330000,浙江省,2004,3895.6437,3858.9259,147.63,139.51,,,,
330000,浙江省,2003,3127.2779,3103.7435,179.3672,270.199,11.7623,0.0183,11.7721,0.2297
330000,浙江省,2002,2282.9906,2255.9539,160.12,275.84,11.0752,0.0377,15.9615,0.5636
330000,浙江省,2001,1768.449,1749.0272,139.59441,274.5263,9.9654,0.14948,9.45644,0.07336
330000,浙江省,2000,1383.7658,1365.4417,163.90801,396.91766,11.28362,0.38918,7.04046,0.09616
340000,安徽省,2019,8503.25833,8496.53066,1157.97595,84.40632,6.70116,4.82083,0.02651,
340000,安徽省,2018,7888.45399,7886.84322,1262.54272,66.83956,1.51339,,0.09738,
340000,安徽省,2017,6829.67019,6824.7114,1201.4182,92.49244,1.41604,1.15117,3.54275,1.90802
340000,安徽省,2016,6047.28994,6043.47754,1016.07649,88.82704,0.70259,0.49615,3.10981,2.13284
340000,安徽省,2015,5695.94,5689.90356,935.32514,91.70283,1.17995,1.09994,4.85182,1.63854
340000,安徽省,2014,5482.92595,5476.68266,1021.6594,89.17101,1.95285,0.98462,4.29044,0.36403
340000,安徽省,2013,4965.51485,4962.74114,1117.29728,100.94606,2.1101,0.91452,5.48612,0.48386
340000,安徽省,2012,4230.44122,4222.18984,947.97971,94.03256,2.70197,1.68331,5.54941,0.33427
340000,安徽省,2011,3597.26211,3589.9283,887.15562,79.99705,2.75094,1.67876,4.58287,0.453
340000,安徽省,2010,2864.96187,2858.3665,894.0053,74.3385,3.253,2.1358,3.3424,0.2206
340000,安徽省,2009,2239.57274,2233.44466,679.98162,77.73434,2.64693,1.73943,3.48115,0.42749
340000,安徽省,2008,1854.64162,1849.49073,575.81798,76.72139,2.20056,1.56143,2.95033,0.6908
340000,安徽省,2007,1516.97723,1507.92039,437.62539,58.25236,6.23128,4.51009,2.82556,
340000,安徽省,2006,1168.23654,1162.38683,349.41378,62.39187,4.02534,2.56449,1.82437,
340000,安徽省,2005,963.541,959.94704,267.89242,81.582,2.52562,1.83655,1.06832,0.22
340000,安徽省,2004,788.75577,785.7732,213.7019,105.1197,,,,
340000,安徽省,2003,622.7073,620.3736,185.1883,124.7544,1.4496,0.5895,0.8841,0.0467
340000,安徽省,2002,528.2183,525.9807,162.73,137.8,1.3098,0.3114,0.9278,0.0189
340000,安徽省,2001,421.55,419.5109,161.30653,129.38695,0.74347,0.20455,1.2956,0.01269
340000,安徽省,2000,302.824,301.65368,134.90496,113.0019,0.55865,0.06,0.61165,
350000,福建省,2019,13164.41864,13114.54632,706.78534,169.28554,32.60543,6.94735,17.26689,14.29288
350000,福建省,2018,11548.81941,11517.78211,636.22788,127.95019,26.91032,4.56749,4.12698,2.08224
350000,福建省,2017,9993.64793,9892.74491,596.35463,98.38876,95.46473,4.26475,5.43829,
350000,福建省,2016,8531.44771,8440.72826,515.14507,98.82031,87.20169,3.93063,3.51776,
