省份编码,省份,年份,批发业企业资产总计(亿元),批发业流动资产合计(亿元),批发业固定资产合计(亿元),批发业负债合计(亿元),批发业所有者权益合计(亿元)
110000,北京市,2019,44844.4819,32247.7899,,31450.3787,13394.1031
110000,北京市,2018,41125.4,30327.3,700.2,29174.2,11951.2
110000,北京市,2017,38737.6709,28374.5507,698.987,27353.4806,11384.1902
110000,北京市,2016,35212.4222,24040.132,659.7508,23185.2197,12027.2025
110000,北京市,2015,31916.2344,23103.5868,653.5935,22582.8161,9333.4183
110000,北京市,2014,31544.5296,23208.2878,643.7802,22588.5105,8956.0243
110000,北京市,2013,27933.0467,20399.8636,597.254,19931.4685,8001.5782
110000,北京市,2012,24387.8,18110.1,532.3,17252.8,7135.0
110000,北京市,2011,22100.1,16557.9,520.3,15578.0,6522.1
110000,北京市,2010,18159.9,13587.3,577.2,12324.5,5835.4
110000,北京市,2009,15139.3,10891.4,496.9,9878.6,5260.6
110000,北京市,2008,13229.2,9476.0,516.2,8629.9,4599.3
110000,北京市,2007,8776.3,6078.7,429.8,6159.6,2616.6
110000,北京市,2006,6559.8,4479.5,336.56,4494.6,2065.2
110000,北京市,2005,5071.7,3633.6,214.2,3616.2,1455.4
110000,北京市,2004,4670.15384,3424.03548,193.11879,3272.78157,1397.37227
110000,北京市,2003,2923.1,2217.8,167.1,2170.2,752.8
110000,北京市,2002,2486.7214,1828.4688,156.2067,1820.5677,666.1538
110000,北京市,2001,2562.3722,1649.0921,168.4351,1710.1008,
110000,北京市,2000,2385.0357,1599.8595,177.4905,1702.0747,
120000,天津市,2019,14306.4092,12123.4743,,11673.7395,2631.3498
120000,天津市,2018,14490.9,12435.3,217.4,11950.7,2537.7
120000,天津市,2017,13089.9214,11055.9972,238.957,10808.5512,2281.0147
120000,天津市,2016,13006.5281,10729.7814,277.8707,10506.2576,2501.2099
120000,天津市,2015,11136.1756,9053.508,236.6342,8820.6725,2313.3031
120000,天津市,2014,10356.2088,8551.7733,224.2756,8139.3639,2216.8449
120000,天津市,2013,8387.5288,6957.3703,225.1358,6677.0929,1710.436
120000,天津市,2012,6662.2,5600.7,197.4,5225.4,1436.8
120000,天津市,2011,5099.5,4303.7,169.5,3876.1,1223.5
120000,天津市,2010,3399.3,2944.5,144.5,2641.2,758.1
120000,天津市,2009,2521.9,2128.0,124.7,1919.9,602.0
120000,天津市,2008,2191.5,1836.6,144.9,1640.6,550.9
120000,天津市,2007,1446.3,1228.0,102.6,1088.6,357.8
120000,天津市,2006,1122.6,947.3,85.0,837.9,284.6
120000,天津市,2005,1088.6,897.1,64.6,821.0,267.6
120000,天津市,2004,1003.24634,874.16884,56.85769,810.42215,192.82419
120000,天津市,2003,552.1,449.3,59.7,449.5,102.6
120000,天津市,2002,473.8693,379.6706,58.1706,388.3815,85.4878
120000,天津市,2001,441.3648,331.2955,53.0396,346.0074,
120000,天津市,2000,358.7773,278.8268,45.1334,323.6738,
130000,河北省,2019,4631.4688,3623.3046,,3251.5891,1375.3221
130000,河北省,2018,3611.0,3029.4,201.7,2731.7,879.4
130000,河北省,2017,3471.0338,2897.6762,345.0604,2669.4028,801.631
130000,河北省,2016,3653.3926,2921.0114,226.5385,2837.0161,816.3765
130000,河北省,2015,3311.1225,2638.7398,180.7672,2512.8808,798.2417
130000,河北省,2014,3582.4327,2831.4515,233.8848,2753.0305,829.8678
130000,河北省,2013,3437.8757,2660.6919,292.2142,2458.6825,979.1932
130000,河北省,2012,3044.5,2285.9,189.7,2168.1,876.4
130000,河北省,2011,2254.5,1830.1,173.5,1668.7,585.8
130000,河北省,2010,1681.1,1343.5,151.6,1144.8,477.2
130000,河北省,2009,1121.0,849.5,123.5,754.6,343.0
130000,河北省,2008,919.2,641.1,176.4,641.3,287.8
130000,河北省,2007,552.0,380.0,122.2,394.2,157.3
130000,河北省,2006,462.7,314.8,118.3,348.8,115.0
130000,河北省,2005,446.6,288.0,88.2,345.7,100.9
130000,河北省,2004,444.71767,295.56435,91.56601,366.5567,78.16097
130000,河北省,2003,369.5,259.3,83.3,304.0,65.4
130000,河北省,2002,377.1744,248.0472,93.5824,311.6235,65.551
130000,河北省,2001,376.434,254.6601,81.9645,322.0506,
130000,河北省,2000,361.9063,261.4689,67.0927,323.8071,
140000,山西省,2019,5207.7542,3964.5459,,3978.0634,1230.6681
140000,山西省,2018,4615.2,3229.2,318.1,3480.1,1135.1
140000,山西省,2017,4146.6716,2888.5358,383.9792,3093.6309,1053.0407
140000,山西省,2016,3779.251,2568.1705,341.2953,2832.9367,946.3143
140000,山西省,2015,3766.3649,2708.2312,292.9548,2879.5565,886.8084
140000,山西省,2014,3749.757,2882.0336,206.0782,3011.5029,738.254
140000,山西省,2013,3569.6229,2835.3217,183.7736,2892.1044,677.5185
140000,山西省,2012,3110.1,2467.6,167.5,2470.3,639.8
140000,山西省,2011,2398.7,1836.8,151.6,1794.4,604.3
140000,山西省,2010,1911.5,1481.5,176.3,1538.5,373.0
140000,山西省,2009,1293.4,957.1,135.1,992.1,301.3
140000,山西省,2008,981.8,735.7,153.7,721.3,260.5
140000,山西省,2007,766.9,542.7,139.2,541.4,225.4
140000,山西省,2006,678.0,476.6,144.1,484.7,193.3
140000,山西省,2005,547.5,367.0,79.5,398.6,148.9
140000,山西省,2004,521.85013,360.73079,73.53787,387.0282,134.82193
140000,山西省,2003,230.2,165.8,48.8,175.1,55.1
140000,山西省,2002,237.6483,143.9586,81.884,188.8679,48.7805
140000,山西省,2001,181.6431,123.23,34.4787,157.018,
140000,山西省,2000,174.8562,120.4668,40.8916,156.8813,
150000,内蒙古自治区,2019,2190.605,1593.7499,,1603.8388,586.7387
150000,内蒙古自治区,2018,1757.9,1389.3,130.2,1306.8,451.2
150000,内蒙古自治区,2017,1741.0314,1313.1841,141.579,1328.267,412.7644
150000,内蒙古自治区,2016,1755.011,1245.4861,178.438,1311.9414,443.0696
150000,内蒙古自治区,2015,1718.1457,1202.9693,158.7194,1284.2416,433.9041
150000,内蒙古自治区,2014,1560.9976,1151.2465,135.5356,1143.0254,417.9722
150000,内蒙古自治区,2013,1396.7888,1004.4014,113.5468,988.7683,408.0204
150000,内蒙古自治区,2012,1192.8,844.2,106.6,798.2,394.6
150000,内蒙古自治区,2011,925.8,659.4,141.4,601.8,324.0
150000,内蒙古自治区,2010,539.2,378.1,74.8,373.2,166.0
150000,内蒙古自治区,2009,456.4,317.2,77.4,323.6,132.8
150000,内蒙古自治区,2008,435.5,293.0,94.4,295.9,139.7
150000,内蒙古自治区,2007,366.0,256.6,49.9,236.6,129.4
150000,内蒙古自治区,2006,315.0875,231.6,63.1,210.1375,106.0
150000,内蒙古自治区,2005,312.1,234.2,36.5,182.5,129.5
150000,内蒙古自治区,2004,210.08365,152.62283,26.20791,131.68474,79.32409
150000,内蒙古自治区,2003,103.6,78.2,18.9,82.3,21.3
150000,内蒙古自治区,2002,98.7729,71.0369,28.7215,81.8264,16.9466
150000,内蒙古自治区,2001,86.7266,56.9976,17.392,72.1764,
150000,内蒙古自治区,2000,101.5742,71.1458,16.7294,87.8989,
210000,辽宁省,2019,7024.5787,6078.8866,,5858.4733,1149.2758
210000,辽宁省,2018,4927.9,4224.3,202.3,4028.3,883.7
210000,辽宁省,2017,4140.6123,3457.7066,251.3926,3270.0175,862.1105
210000,辽宁省,2016,3913.4324,3254.9769,205.3371,3212.7358,685.6283
210000,辽宁省,2015,3841.3755,3132.0817,308.4044,2950.8236,877.602
210000,辽宁省,2014,4545.327,3591.9343,399.9938,3426.6041,1107.1583
210000,辽宁省,2013,4917.7923,4047.6234,312.581,3848.0805,1056.0621
210000,辽宁省,2012,3471.0,2753.4,179.2,2581.1,887.7
210000,辽宁省,2011,2935.1,2362.8,182.1,2189.5,745.6
210000,辽宁省,2010,2329.0,1905.4,138.0,1732.5,584.0
210000,辽宁省,2009,2003.7,1569.5,149.1,1486.5,508.1
210000,辽宁省,2008,1786.0,1439.7,192.2,1325.4,455.2
210000,辽宁省,2007,1256.5,1017.6,138.7,974.0,277.3
210000,辽宁省,2006,1096.8,880.2,122.8,844.6,245.5
210000,辽宁省,2005,1046.9,826.6,103.1,905.6,141.7
210000,辽宁省,2004,1098.55607,828.61163,108.21234,947.68279,175.39811
210000,辽宁省,2003,762.0,643.3,113.1,664.0,98.0
210000,辽宁省,2002,791.5587,573.5642,123.7656,687.6436,103.9152
210000,辽宁省,2001,719.285,535.7286,109.6157,622.5918,
210000,辽宁省,2000,683.9473,492.9574,113.7232,589.7644,
220000,吉林省,2019,1357.0086,1126.1085,,1078.2694,266.4504
220000,吉林省,2018,1255.8,1062.6,106.8,950.2,304.6
220000,吉林省,2017,1316.3775,1142.5229,99.4764,1070.8346,245.5429
220000,吉林省,2016,1330.1976,1146.1712,87.9205,1064.5571,265.6405
220000,吉林省,2015,1103.6531,937.0357,78.0612,873.2218,230.4313
220000,吉林省,2014,982.7458,824.7053,93.8345,735.7516,246.9942
220000,吉林省,2013,853.5177,726.5119,74.5808,588.8831,264.6346
220000,吉林省,2012,681.1,534.1,76.7,462.6,218.4
220000,吉林省,2011,524.0,410.2,62.7,339.0,185.1
220000,吉林省,2010,447.4,319.6,61.4,327.0,120.5
220000,吉林省,2009,348.9,247.9,50.0,247.8,101.1
220000,吉林省,2008,524.7,375.3,102.7,423.8,101.0
220000,吉林省,2007,258.8,172.5,55.6,211.2,47.6
220000,吉林省,2006,230.1,157.1,45.28,177.1,53.0
220000,吉林省,2005,378.1,334.5,34.2,350.4,28.0
220000,吉林省,2004,592.54127,492.28604,60.72489,579.50985,22.77823
220000,吉林省,2003,246.2,191.9,33.8,236.8,9.4
220000,吉林省,2002,240.4546,194.1119,34.1449,234.4046,6.0501
220000,吉林省,2001,221.4323,174.708,33.7003,211.5366,
220000,吉林省,2000,216.2076,170.3224,35.73,214.3126,
230000,黑龙江省,2019,2331.9576,1959.3377,,1909.2371,421.9432
230000,黑龙江省,2018,1828.3,1576.6,113.5,1520.4,308.0
230000,黑龙江省,2017,1738.1127,1434.7202,136.7032,1433.708,301.1173
230000,黑龙江省,2016,2427.1837,2019.366,139.6063,2054.9843,364.3292
230000,黑龙江省,2015,2233.6689,1953.901,129.7798,1890.8631,332.3971
230000,黑龙江省,2014,2059.8358,1792.6247,106.0978,1728.5029,331.0693
230000,黑龙江省,2013,1581.6708,1332.6336,103.4981,1313.2162,268.4546
230000,黑龙江省,2012,1521.8,1314.3,90.2,1255.1,266.7
230000,黑龙江省,2011,1203.3,1048.8,82.3,993.0,210.2
230000,黑龙江省,2010,931.2,797.8,65.9,758.0,173.3
230000,黑龙江省,2009,695.7,592.6,59.6,539.3,156.3
230000,黑龙江省,2008,680.2,550.8,101.5,555.3,124.9
230000,黑龙江省,2007,453.6,371.6,79.5,355.7,97.9
230000,黑龙江省,2006,416.4,329.625,79.3,318.105,98.3
230000,黑龙江省,2005,445.3,353.9,63.7,360.1,85.2
230000,黑龙江省,2004,445.23018,339.68929,56.2335,370.19434,75.03584
230000,黑龙江省,2003,292.4,252.8,51.2,240.9,51.5
230000,黑龙江省,2002,248.9957,199.1756,41.4727,218.0506,30.9451
230000,黑龙江省,2001,198.4366,152.9401,34.8713,181.0455,
230000,黑龙江省,2000,332.2177,270.9272,46.2716,311.9428,
310000,上海市,2019,37144.5637,30017.552,,26018.1276,11126.4427
310000,上海市,2018,29459.1,23730.6,600.9,20678.5,8780.8
310000,上海市,2017,28370.7583,22419.5803,579.3961,20122.4624,8248.8183
310000,上海市,2016,23761.7355,18650.8044,517.3662,16879.5619,6882.1736
310000,上海市,2015,20751.1434,16612.1002,518.1911,14912.828,5838.3154
310000,上海市,2014,19317.3279,15630.0222,480.9471,14211.5786,5105.7494
310000,上海市,2013,16360.3213,13608.7237,488.4354,11804.0001,4556.3212
310000,上海市,2012,13571.9,11132.5,411.2,9813.0,3758.8
310000,上海市,2011,11824.6,9924.4,391.8,8586.9,3237.7
310000,上海市,2010,8724.1,7120.2,301.5,6173.2,2550.9
310000,上海市,2009,6615.9,5372.6,248.7,4585.9,2030.1
310000,上海市,2008,7217.5,5979.2,425.4,5005.6,2211.9
310000,上海市,2007,3698.2,3024.0,245.3,2601.6,1096.6
310000,上海市,2006,3225.3,2609.6,251.7,2223.4,1001.9
