省份编码,省份,年份,出版物发行机构数(处),国有书店及国有发行点数(处),供销社数(处),出版社数(处),网上书店数(处),文化教育广电邮政系统数(处),新华书店系统外批发网点数(处),集体个体零售数(处),新华书店系统出版社自办发行从业人数(人),国有书店及国有发行点从业人数(人)
110000,北京市,2019,,,,,,,,,,
110000,北京市,2018,11858,95,,18,,2347,2543,6855,3531,3019
110000,北京市,2017,8922,93,,18,,2347,1960,4504,3645,3133
110000,北京市,2016,8953,124,,18,,2347,1960,4504,5146,4634
110000,北京市,2015,8953,124,,18,,2347,1960,4504,5146,4634
110000,北京市,2014,9555,124,,18,,2347,1960,5106,5146,4634
110000,北京市,2013,9232,124,,18,602,2347,1865,4276,5146,4634
110000,北京市,2012,8998,124,,17,538,2053,1773,4493,498,3951
110000,北京市,2011,8773,124,,17,62,2400,1418,4752,4766,4263
110000,北京市,2010,8429,188,,,131,2483,1194,4433,5439,3805
110000,北京市,2009,,,,,,,,,,
110000,北京市,2008,,,,,,,,,,
110000,北京市,2007,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,
120000,天津市,2019,,,,,,,,,,
120000,天津市,2018,2477,67,,12,,521,275,1602,1195,1028
120000,天津市,2017,2477,67,,12,,521,275,1602,1195,1028
120000,天津市,2016,2383,68,,13,,,189,2113,1343,1237
120000,天津市,2015,2383,68,,13,,,189,2113,1343,1237
120000,天津市,2014,2415,63,,13,,,170,2169,1402,1292
120000,天津市,2013,2807,67,,13,,,160,2567,1525,1402
120000,天津市,2012,3060,71,,13,,,158,2818,126,1703
120000,天津市,2011,2962,79,,13,,,160,2710,1894,1780
120000,天津市,2010,2689,104,,24,,,154,2407,2132,1924
120000,天津市,2009,,,,,,,,,,
120000,天津市,2008,,,,,,,,,,
120000,天津市,2007,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,
130000,河北省,2019,,,,,,,,,,
130000,河北省,2018,8923,299,,9,,2434,236,5945,7480,6587
130000,河北省,2017,8222,469,,9,,2460,225,5059,7316,6415
130000,河北省,2016,7426,469,,9,,1965,203,4780,7289,6415
130000,河北省,2015,7002,462,,9,,1455,194,4882,7292,6377
130000,河北省,2014,7273,376,,8,,2107,214,4568,7593,6796
130000,河北省,2013,7272,376,,7,,2107,214,4568,7579,6796
130000,河北省,2012,7272,376,,7,,2107,214,4568,783,7585
130000,河北省,2011,5234,340,,7,,874,381,3632,3356,2573
130000,河北省,2010,6025,250,,7,,1436,215,4117,3008,2883
130000,河北省,2009,,,,,,,,,,
130000,河北省,2008,,,,,,,,,,
130000,河北省,2007,,,,,,,,,,
130000,河北省,2006,,,,,,,,,,
130000,河北省,2005,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,
140000,山西省,2019,,,,,,,,,,
140000,山西省,2018,3012,530,,7,,335,187,1953,4676,4027
140000,山西省,2017,2888,422,,7,,340,162,1957,4648,3997
140000,山西省,2016,2975,397,,7,,302,143,2126,5993,5320
140000,山西省,2015,3053,408,,7,,329,133,2176,6172,5500
140000,山西省,2014,2832,392,,7,,309,147,1977,6085,5468
140000,山西省,2013,2830,396,6,7,,363,136,1922,5920,5483
140000,山西省,2012,2945,396,12,,,445,123,1969,,5579
140000,山西省,2011,3225,412,26,,,445,122,2220,5880,5850
140000,山西省,2010,2908,409,30,,,535,117,1817,6086,6053
140000,山西省,2009,,,,,,,,,,
140000,山西省,2008,,,,,,,,,,
140000,山西省,2007,,,,,,,,,,
140000,山西省,2006,,,,,,,,,,
140000,山西省,2005,,,,,,,,,,
140000,山西省,2004,,,,,,,,,,
140000,山西省,2003,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,
150000,内蒙古自治区,2019,,,,,,,,,,
150000,内蒙古自治区,2018,2638,229,,7,,,1080,1322,2066,2000
150000,内蒙古自治区,2017,1317,96,,7,,,63,1151,2150,2010
150000,内蒙古自治区,2016,1171,96,,7,,,56,1012,2138,2006
150000,内蒙古自治区,2015,1242,96,,7,,,59,1080,2030,1901
150000,内蒙古自治区,2014,1329,179,,7,,,60,1083,1263,1191
150000,内蒙古自治区,2013,1707,179,,7,,,71,1450,2398,2342
150000,内蒙古自治区,2012,1942,227,,7,,,49,1659,59,2121
150000,内蒙古自治区,2011,1946,227,,7,,,49,1663,2132,2072
150000,内蒙古自治区,2010,2180,227,,7,,,45,1901,2567,2510
150000,内蒙古自治区,2009,,,,,,,,,,
150000,内蒙古自治区,2008,,,,,,,,,,
150000,内蒙古自治区,2007,,,,,,,,,,
