省份编码,省份,年份,博物馆机构数(个),博物馆从业人员(人),博物馆文物藏品(件/套),本年博物馆从有关部门接收文物数(件/套),本年博物馆修复文物数(件/套),博物馆考古发掘项目(个),博物馆基本陈列(个),博物馆举办展览(个),博物馆参观人次(万人次)
110000,北京市,2019,81,3786,2033344,,,,,,2488.843
110000,北京市,2018,82,4433,2020881,,,,,,2374.804
110000,北京市,2017,71,4000,1940011,,,,,,1833.294
110000,北京市,2016,41,1196,1235102,,,,,,648.904
110000,北京市,2015,40,1260,1229829,,,,,,579.291
110000,北京市,2014,41,1222,1251584,,,,,,497.826
110000,北京市,2013,41,1101,1142291,1,574,,70,131,501.0
110000,北京市,2012,41,1171,1140193,5,3304,28,103,158,528.772
110000,北京市,2011,41,1239,1140379,,2480,28,103,167,533.27
110000,北京市,2010,41,1162,1138476,8,457,,95,129,499.5
110000,北京市,2009,40,,,,,,,,
110000,北京市,2008,37,,,,,,,,
110000,北京市,2007,34,,,,,,,,
110000,北京市,2006,33,,,,,,,,
110000,北京市,2005,34,,,,,,,,
110000,北京市,2004,31,,,,,,,,
110000,北京市,2003,28,,,,,,,,
110000,北京市,2002,24,,,,,,,,
110000,北京市,2001,27,,,,,,,,
110000,北京市,2000,25,,,,,,,,
120000,天津市,2019,68,1465,711945,,,,,,1486.904
120000,天津市,2018,65,1473,704279,,,,,,1400.377
120000,天津市,2017,62,1406,707276,,,,,,1279.371
120000,天津市,2016,22,760,635938,,,,,,1013.377
120000,天津市,2015,22,783,673291,,,,,,1002.663
120000,天津市,2014,22,747,669665,,,,,,925.779
120000,天津市,2013,20,669,688456,,80,,60,50,546.0
120000,天津市,2012,20,717,688715,691,1174,2,64,78,493.882
120000,天津市,2011,19,698,685386,146,102,2,73,64,405.89
120000,天津市,2010,18,719,579740,,74,1,60,67,400.7
120000,天津市,2009,18,,,,,,,,
120000,天津市,2008,18,,,,,,,,
120000,天津市,2007,18,,,,,,,,
120000,天津市,2006,19,,,,,,,,
120000,天津市,2005,18,,,,,,,,
120000,天津市,2004,17,,,,,,,,
120000,天津市,2003,17,,,,,,,,
120000,天津市,2002,15,,,,,,,,
120000,天津市,2001,14,,,,,,,,
120000,天津市,2000,14,,,,,,,,
130000,河北省,2019,136,4017,395093,,,,,,3407.052
130000,河北省,2018,134,4016,390913,,,,,,3289.214
130000,河北省,2017,122,3925,369705,,,,,,2991.492
130000,河北省,2016,111,3764,427332,,,,,,2723.868
130000,河北省,2015,107,3519,406132,,,,,,2645.598
130000,河北省,2014,105,3318,375522,,,,,,2494.047
130000,河北省,2013,103,3126,271992,448,1056,,190,289,2480.0
130000,河北省,2012,75,2152,252073,57,260,9,127,293,1666.773
