省份编码,省份,年份,图书出版种数(种),图书新出版种数(种),图书总印数(亿册),图书总印张数(亿印张),期刊出版种数(种),期刊每期出版平均印数(万册),期刊出版总印数(亿册),期刊出版总印张数(亿印张),报纸出版种数(种),报纸每期出版平均印数(万册),报纸出版总印数(亿份),报纸出版总印张数(亿印张)
110000,北京市,2019,12350,5923,2.2,,174,,0.3,,33,,3.8,
110000,北京市,2018,13759,7075,2.6742,,174,,0.275078,,34,,4.851074,
110000,北京市,2017,14411,6875,2.7,,175,,0.3,,34,,5.8,
110000,北京市,2016,13712,7310,2.8144,,174,,0.337073,,35,,7.230807,
110000,北京市,2015,11907,7118,2.2446,,172,,0.367301,,35,,7.905974,
110000,北京市,2014,10802,6474,1.6746,,172,,0.379243,,35,,9.464,
110000,北京市,2013,9830,5672,1.2857,13.40869,170,187.0793,0.374877,2.7181875,35,405.9,10.8986,67.16981
110000,北京市,2012,9431,5611,1.3154,13.36633,170,194.3708,0.373315,2.7217911,37,505.35,12.7571,81.42594
110000,北京市,2011,167942,96689,22.5969,243.05272,3044,5991.4679,10.194606,76.7423467,254,3452.95,83.065,293.71811
110000,北京市,2010,155209,90817,21.3,251.1,3063,5519.0,10.1,69.6,262,3405.0,77.5,275.6
110000,北京市,2009,144211,84382,21.0412,220.20754,3030,5374.0,9.6964,59.34648,260,3232.05,71.6301,232.50131
110000,北京市,2008,136284,74677,20.81,219.97,2898,5392.0,9.49999999999999,55.5,259,3328.0,73.2000000000001,241.3
110000,北京市,2007,125412,69594,18.63,195.28,2809,5340.0,9.09999999999999,54.4,256,3454.0,73.3,218.8
110000,北京市,2006,113232,95286,17.4,186.2,2809,5077.0,8.4,47.4,256,3650.39999999999,74.0,240.4
110000,北京市,2005,,,,,,,,,,,,
110000,北京市,2004,,,15.2181,,,,7.9718,,,,70.3991,
110000,北京市,2003,85244,51198,14.1,140.8,2382,5702.0,8.22999999999999,34.76,250,3391.0,72.3,190.6
110000,北京市,2002,73836,44846,12.2,127.7,2377,5708.0,8.19,34.38,247,3364.12,70.65,169.9
110000,北京市,2001,63928,39356,10.2729,105.07514,2374,5761.0,8.0954,32.62981,243,3338.96,69.3883,153.15783
110000,北京市,2000,57821,36804,9.6188,92.97428,2352,5909.0,7.9465,33.0117,240,3343.24,68.6699,152.58116
