省份编码,省份,年份,儿童读物出版种数(种),课本出版种数(种),儿童读物出版总印数(万册),课本出版总印数(万册),儿童读物出版总印张(千印张),课本出版总印张(千印张)
110000,北京市,2019,2514,723,5304,1622,429509,145282
110000,北京市,2018,2765,872,5739,1011,496219,92213
110000,北京市,2017,2649,1050,5519,1911,488352,166368
110000,北京市,2016,2947,885,7310,2059,585405,205094
110000,北京市,2015,2271,730,4393,1801,362922,140680
110000,北京市,2014,1906,758,2569,1794,214314,156512
110000,北京市,2013,2036,579,2480,1207,203300,97343
110000,北京市,2012,2458,748,3093,1398,250248,115972
110000,北京市,2011,4988,48265,8178,104543,457718,10477323.0
110000,北京市,2010,792,980,1226,1175,86559,105662
110000,北京市,2009,575,845,1053,1337,94129,127374
110000,北京市,2008,557,736,1114,1221,92942,97162
110000,北京市,2007,589,517,1049,800,101249,60948
110000,北京市,2006,478,669,800,1024,66292,73672
110000,北京市,2005,517,441,678,814,35380,51726
110000,北京市,2004,319,839,360,1252,26597,96161
110000,北京市,2003,193,450,181,399,13326,50044
110000,北京市,2002,119,256,85,190,3902,26100
110000,北京市,2001,205,422,260,1360,11151,112611
110000,北京市,2000,264,374,247,2481,15223,142060
120000,天津市,2019,1078,385,2454,1570,128101,120346
120000,天津市,2018,964,339,2274,1147,113332,85930
120000,天津市,2017,1046,421,2075,1365,95070,101293
120000,天津市,2016,958,591,1688,1422,79565,117983
120000,天津市,2015,993,763,1263,883,71499,82065
120000,天津市,2014,687,975,918,1195,54146,107901
120000,天津市,2013,680,705,872,1953,45972,156594
120000,天津市,2012,652,667,804,1501,39889,117421
120000,天津市,2011,385,645,628,1480,42285,124501
120000,天津市,2010,412,418,675,1210,41061,101900
120000,天津市,2009,291,701,462,1567,29627,130287
120000,天津市,2008,144,618,255,1535,20499,125343
120000,天津市,2007,192,562,235,1732,14773,143138
120000,天津市,2006,136,695,155,2066,7688,175036
120000,天津市,2005,208,566,252,2133,14366,166393
120000,天津市,2004,247,571,350,3366,24208,224128
120000,天津市,2003,253,608,334,2317,19792,167558
120000,天津市,2002,211,582,197,2351,9149,178873
120000,天津市,2001,239,814,250,3933,11376,289589
120000,天津市,2000,189,597,570,3737,18732,262949
130000,河北省,2019,916,277,1793,15164,83884,1027106
130000,河北省,2018,908,317,1587,13222,78055,885387
130000,河北省,2017,886,303,1694,12291,77127,824210
