省份编码,省份,年份,结婚登记(万对),内地居民登记结婚(万对),内地居民初婚登记(万人),内地居民再婚登记(万人),涉外及港澳台居民登记结婚(万对),离婚登记(万对),粗离婚率(‰)
110000,北京市,2019,12.8959,12.8205,14.1528,11.639,0.0754,8.3796,3.89097325408618
110000,北京市,2018,13.7818,13.6971,16.9157,10.6479,0.0847,7.4125,3.42782492080742
110000,北京市,2017,15.15,15.05,17.93,12.36,0.09,8.06,3.71183241252302
110000,北京市,2016,16.6207,16.5195,20.075,13.1664,0.1012,10.5805,4.8932824604
110000,北京市,2015,16.6018,16.5,22.9546,10.249,0.1018,8.2194,3.7859972363
110000,北京市,2014,17.0027,16.8878,25.3774,8.628,0.1149,6.5623,3.0762703919
110000,北京市,2013,16.3676,16.2606,25.1636,7.5716,0.107,6.4614,3.06
110000,北京市,2012,17.41,17.29,28.74,6.08,0.12,4.86,2.35
110000,北京市,2011,17.32,17.2,28.84,5.81,0.13,4.35,3.45
110000,北京市,2010,13.8,13.7,22.2,5.4,0.1,4.4,2.36756436815626
110000,北京市,2009,18.1771,18.0595,30.5803,5.7739,0.1176,4.1299,
110000,北京市,2008,14.7516,14.6351,24.6309,4.8723,0.1165,3.7619,
110000,北京市,2007,11.7926,11.6935,19.3387,4.2465,0.0991,3.6622,
110000,北京市,2006,17.1,17.0,29.4,4.8,0.12,3.6,
110000,北京市,2005,9.7,9.6,15.9,3.4,0.09,3.4,
110000,北京市,2004,12.6436,12.5462,21.4443,3.6481,0.0974,3.3,
110000,北京市,2003,9.4,9.3,15.9,2.7,0.08,3.1,
110000,北京市,2002,7.6,7.6,12.6,2.5,0.06,2.8,
110000,北京市,2001,7.9385,7.8512,13.3259,2.3765,0.0873,2.7683,
110000,北京市,2000,,7.9516,13.562,2.3412,,2.6616,
120000,天津市,2019,9.6424,9.6114,14.1071,5.1777,0.031,7.4683,4.78176241972558
120000,天津市,2018,9.7486,9.7207,14.9558,4.5414,0.0279,6.4064,4.11114676249759
120000,天津市,2017,9.51,9.48,15.4,3.61,0.03,5.89,3.77544084642514
120000,天津市,2016,9.8164,9.7848,16.1474,3.4854,0.0316,6.522,4.2365367189
120000,天津市,2015,10.1238,10.0898,17.4859,2.7617,0.034,5.1931,3.3568842922
120000,天津市,2014,9.9394,9.9031,17.3945,2.4843,0.0363,4.45,2.9775645529
120000,天津市,2013,10.2574,10.2201,16.9871,3.5277,0.0373,4.5266,3.07
120000,天津市,2012,10.14,10.1,17.47,2.81,0.04,3.63,2.57
120000,天津市,2011,10.41,10.37,17.33,3.5,0.04,3.21,3.24
120000,天津市,2010,8.7,8.6,13.8,3.6,,3.0,2.37393420245702
120000,天津市,2009,10.4028,10.362,17.3558,3.4498,0.0408,2.7556,
120000,天津市,2008,8.9316,8.8838,15.1874,2.6758,0.0478,2.3973,
120000,天津市,2007,7.5714,7.5308,12.4919,2.6509,0.0406,2.2106,
120000,天津市,2006,8.4,8.3,14.3,2.4,0.05,2.1,
120000,天津市,2005,6.4,6.3,10.3,2.4,0.04,1.9,
120000,天津市,2004,7.695,7.6589,13.1569,2.1609,0.0361,1.8,
120000,天津市,2003,6.3,6.3,10.9,1.6,0.03,1.4,
120000,天津市,2002,5.4,5.4,9.3,1.5,0.03,1.2,
120000,天津市,2001,5.7922,5.7649,10.0417,1.4881,0.0273,1.3131,
120000,天津市,2000,,6.1416,10.7228,1.5604,,1.3356,
130000,河北省,2019,42.1314,41.9967,55.1369,29.1259,0.1347,25.5742,3.36858549230305
130000,河北省,2018,45.8718,45.7499,64.516,27.2276,0.1219,23.4494,3.11086229472095
130000,河北省,2017,50.49,50.39,75.05,25.93,0.1,23.24,3.10054703135424
130000,河北省,2016,55.1896,55.0919,85.1411,25.2381,0.0977,22.0153,2.9642650366
130000,河北省,2015,60.9442,60.8863,98.7465,23.1419,0.0579,19.9048,2.6807811448
130000,河北省,2014,66.1326,66.0732,109.9881,22.2771,0.0594,18.5721,2.5240072953
130000,河北省,2013,74.0757,74.026,126.6237,21.5277,0.0497,17.8798,2.44
130000,河北省,2012,74.53,74.49,130.3,18.76,0.05,17.12,2.35
130000,河北省,2011,77.72,77.67,137.0,18.43,0.05,15.63,2.14
130000,河北省,2010,75.0,75.0,135.6,14.5,,14.5,2.03823446724768
130000,河北省,2009,71.9961,71.9547,130.0578,13.9344,0.0414,12.6726,
130000,河北省,2008,66.3144,66.2756,120.3515,12.2773,0.0388,11.2191,
130000,河北省,2007,60.3901,60.3581,109.385,11.3952,0.032,9.8819,
130000,河北省,2006,55.5,55.5,100.4,10.6,,9.2,
130000,河北省,2005,53.8,53.8,97.5,10.1,0.03,8.3,
130000,河北省,2004,57.4838,57.4611,104.1641,10.7581,0.0227,7.7,
130000,河北省,2003,52.4,52.4,95.3,9.5,0.02,5.8,
130000,河北省,2002,47.1,47.0,85.2,8.9,0.02,5.3,
130000,河北省,2001,44.5606,44.5421,81.6272,7.457,0.0185,5.161,
130000,河北省,2000,,47.5153,88.1891,6.8415,,5.334,
140000,山西省,2019,25.5043,25.4897,42.6325,8.3761,0.0146,9.1186,2.44532046124966
140000,山西省,2018,27.8525,27.8154,47.5647,8.1403,0.0371,8.7513,2.3588409703504
140000,山西省,2017,28.77,28.76,50.3,7.25,0.02,8.22,2.22673347778982
140000,山西省,2016,30.0121,29.9966,53.0845,6.9397,0.0155,7.652,2.0878695109
140000,山西省,2015,34.6789,34.6642,62.3132,7.0446,0.0147,7.2207,1.9707150655
140000,山西省,2014,35.0711,35.0557,63.7477,6.3945,0.0154,6.5583,1.8022853186
140000,山西省,2013,38.4006,38.386,71.0324,5.7688,0.0146,6.1027,1.68
140000,山西省,2012,36.28,36.27,67.7,4.86,0.01,5.28,1.46
140000,山西省,2011,33.96,33.95,63.36,4.56,0.01,4.75,1.37
140000,山西省,2010,36.1,36.0,67.6,4.5,,4.3,1.22831269327625
140000,山西省,2009,34.364,34.3518,63.2905,5.4375,0.0122,3.8906,
140000,山西省,2008,28.7435,28.7324,52.8128,4.6742,0.0111,3.2779,
140000,山西省,2007,23.853,23.8429,44.352,3.354,0.0101,3.2416,
140000,山西省,2006,20.2,20.2,37.7,2.7,,3.0,
140000,山西省,2005,19.0,19.0,35.4,2.6,0.01,2.9,
140000,山西省,2004,16.152,16.1424,30.2448,2.04,0.0096,2.7,
140000,山西省,2003,14.5,14.5,27.3,1.7,0.006,2.3,
140000,山西省,2002,15.4,15.4,29.2,1.5,0.01,2.3,
140000,山西省,2001,14.6187,14.6095,27.7117,1.5073,0.0092,2.2944,
140000,山西省,2000,,16.4639,31.3195,1.6083,,2.3788,
150000,内蒙古自治区,2019,16.1767,16.153,20.7027,11.6507,0.0237,9.9782,3.92910582935627
150000,内蒙古自治区,2018,17.6866,17.666,23.4829,11.8903,0.0206,9.8789,3.90240530280586
150000,内蒙古自治区,2017,18.7,18.68,26.32,11.08,0.02,10.09,3.99786096256684
150000,内蒙古自治区,2016,19.8392,19.8191,28.0929,11.5855,0.0201,9.8364,3.9150318213
150000,内蒙古自治区,2015,21.7857,21.7668,33.0999,10.4715,0.0189,9.1883,3.6592194345
150000,内蒙古自治区,2014,21.6787,21.6596,33.6032,9.7542,0.0191,8.8421,3.5351289976
