省份编码,省份,年份,城市居民最低生活保障人数(万人),农村居民最低生活保障人数(万人),农村集中供养五保人数(万人),农村分散供养五保人数(万人),农村传统救济人数(万人)
110000,北京市,2019,6.5423,3.7671,0.1587,0.3751,
110000,北京市,2018,6.7,3.8,0.1608,0.2991,
110000,北京市,2017,7.8,4.4,0.2,0.3,
110000,北京市,2016,8.1882,4.6779,0.1711,0.2763,
110000,北京市,2015,8.486,4.885,0.1837,0.2614,
110000,北京市,2014,8.9135,5.1324,0.1964,0.223,
110000,北京市,2013,10.3682,5.9575,0.2039,0.2037,
110000,北京市,2012,11.0,6.3,0.2,0.2,
110000,北京市,2011,11.7,7.0,0.2,0.2,0.1
110000,北京市,2010,,,,,
110000,北京市,2009,,,,,
110000,北京市,2008,,,,,
110000,北京市,2007,,,,,
110000,北京市,2006,,,,,
110000,北京市,2005,,,,,
110000,北京市,2004,,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,7.5775,6.5194,0.0911,0.9436,
120000,天津市,2018,8.0,6.2,0.0886,0.9075,
120000,天津市,2017,10.7,9.1,0.1,1.0,
120000,天津市,2016,12.1684,10.16,0.1073,1.0505,
120000,天津市,2015,13.0705,10.3701,0.1166,1.0894,
120000,天津市,2014,13.576,10.1447,0.1241,1.1043,
120000,天津市,2013,16.037,10.7444,0.1399,1.1243,
120000,天津市,2012,16.6,10.1,0.1,1.1,
120000,天津市,2011,18.0,9.8,0.2,1.2,
120000,天津市,2010,,,,,
120000,天津市,2009,,,,,
120000,天津市,2008,,,,,
120000,天津市,2007,,,,,
120000,天津市,2006,,,,,
120000,天津市,2005,,,,,
120000,天津市,2004,,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,19.4699,157.4256,2.9462,23.1376,
130000,河北省,2018,23.7,122.2,2.9652,22.084,
130000,河北省,2017,35.5,160.2,3.2,20.0,
130000,河北省,2016,47.5772,189.4573,3.8359,19.6131,
130000,河北省,2015,55.0471,205.7594,4.8215,17.9772,
130000,河北省,2014,62.5264,209.894,6.6791,16.4153,
130000,河北省,2013,72.7646,221.8981,8.8768,14.9602,0.5671
130000,河北省,2012,77.3,208.0,9.3,14.3,0.7
130000,河北省,2011,88.1,208.4,10.0,14.7,0.7
130000,河北省,2010,,,,,
130000,河北省,2009,,,,,
130000,河北省,2008,,,,,
130000,河北省,2007,,,,,
130000,河北省,2006,,,,,
130000,河北省,2005,,,,,
130000,河北省,2004,,,,,
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,28.0415,96.1434,1.4924,11.8152,
140000,山西省,2018,35.8,100.5,1.5533,12.1436,
140000,山西省,2017,46.0,111.2,1.8,12.9,
140000,山西省,2016,53.0928,118.5256,1.9844,13.065,
140000,山西省,2015,59.9298,122.4701,2.235,13.1261,
140000,山西省,2014,72.6305,140.7031,2.5313,13.5007,
140000,山西省,2013,85.0298,149.7629,2.8026,13.6512,0.7506
140000,山西省,2012,89.0,150.6,2.9,13.9,0.9
140000,山西省,2011,91.7,136.8,2.8,14.1,1.4
140000,山西省,2010,,,,,
140000,山西省,2009,,,,,
140000,山西省,2008,,,,,
140000,山西省,2007,,,,,
140000,山西省,2006,,,,,
140000,山西省,2005,,,,,
140000,山西省,2004,,,,,
140000,山西省,2003,,,,,
140000,山西省,2002,,,,,
140000,山西省,2001,,,,,
140000,山西省,2000,,,,,
150000,内蒙古自治区,2019,33.888,128.8734,0.9872,7.4025,
150000,内蒙古自治区,2018,38.8,125.2,1.022,7.217,
150000,内蒙古自治区,2017,43.0,119.9,1.1,7.3,
150000,内蒙古自治区,2016,49.1401,112.7626,1.0816,7.5533,
150000,内蒙古自治区,2015,60.2708,116.4224,1.2874,7.4761,
150000,内蒙古自治区,2014,70.5833,122.1501,2.491,6.4049,
150000,内蒙古自治区,2013,78.3744,125.3151,2.7875,5.9811,2.7742
150000,内蒙古自治区,2012,80.8,123.5,2.4,6.5,3.2
150000,内蒙古自治区,2011,84.8,116.5,2.8,6.3,1.5
150000,内蒙古自治区,2010,,,,,
150000,内蒙古自治区,2009,,,,,
150000,内蒙古自治区,2008,,,,,
150000,内蒙古自治区,2007,,,,,
150000,内蒙古自治区,2006,,,,,
150000,内蒙古自治区,2005,,,,,
150000,内蒙古自治区,2004,,,,,
150000,内蒙古自治区,2003,,,,,
150000,内蒙古自治区,2002,,,,,
150000,内蒙古自治区,2001,,,,,
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,39.1521,60.2876,2.119,10.5854,
210000,辽宁省,2018,45.5,59.9,2.2437,10.4095,
210000,辽宁省,2017,53.8,73.0,2.4,10.7,
210000,辽宁省,2016,62.0121,77.882,2.7447,10.8177,
210000,辽宁省,2015,71.8132,79.4627,3.1778,10.6838,
210000,辽宁省,2014,80.2412,80.6706,3.3672,10.4777,
210000,辽宁省,2013,96.0553,88.3982,3.4701,10.3955,0.7238
210000,辽宁省,2012,107.0,91.9,3.7,10.5,0.8
210000,辽宁省,2011,118.6,93.6,3.8,10.5,0.8
210000,辽宁省,2010,,,,,
210000,辽宁省,2009,,,,,
210000,辽宁省,2008,,,,,
210000,辽宁省,2007,,,,,
210000,辽宁省,2006,,,,,
210000,辽宁省,2005,,,,,
210000,辽宁省,2004,,,,,
210000,辽宁省,2003,,,,,
210000,辽宁省,2002,,,,,
210000,辽宁省,2001,,,,,
210000,辽宁省,2000,,,,,
220000,吉林省,2019,43.8036,51.5838,1.2519,6.3966,
220000,吉林省,2018,50.9,59.4,1.9469,8.6015,
220000,吉林省,2017,59.2,70.3,2.0,8.8,
220000,吉林省,2016,67.8281,78.678,2.1193,9.044,
220000,吉林省,2015,72.5269,82.2267,2.3978,9.0811,
220000,吉林省,2014,75.8758,79.0473,2.3942,9.1679,
220000,吉林省,2013,85.0056,80.9162,2.9539,9.3064,2.5047
220000,吉林省,2012,90.5,77.0,3.5,9.4,0.2
220000,吉林省,2011,115.6,97.9,3.5,9.6,0.2
220000,吉林省,2010,,,,,
220000,吉林省,2009,,,,,
220000,吉林省,2008,,,,,
220000,吉林省,2007,,,,,
220000,吉林省,2006,,,,,
220000,吉林省,2005,,,,,
220000,吉林省,2004,,,,,
220000,吉林省,2003,,,,,
220000,吉林省,2002,,,,,
220000,吉林省,2001,,,,,
220000,吉林省,2000,,,,,
230000,黑龙江省,2019,59.7948,80.2115,1.5288,7.983,
230000,黑龙江省,2018,74.1,89.3,1.753,8.5216,
230000,黑龙江省,2017,95.4,105.2,2.3,9.0,
230000,黑龙江省,2016,111.1158,120.9362,2.9196,9.2956,
230000,黑龙江省,2015,119.9994,118.1589,4.2718,9.0149,
230000,黑龙江省,2014,127.3447,117.2767,5.0949,8.5927,
230000,黑龙江省,2013,143.7744,121.535,6.9442,7.6882,1.373
230000,黑龙江省,2012,152.4,119.4,6.8,7.7,1.4
230000,黑龙江省,2011,155.6,121.4,6.8,7.7,1.4
230000,黑龙江省,2010,,,,,
230000,黑龙江省,2009,,,,,
230000,黑龙江省,2008,,,,,
230000,黑龙江省,2007,,,,,
230000,黑龙江省,2006,,,,,
230000,黑龙江省,2005,,,,,
230000,黑龙江省,2004,,,,,
230000,黑龙江省,2003,,,,,
230000,黑龙江省,2002,,,,,
230000,黑龙江省,2001,,,,,
230000,黑龙江省,2000,,,,,
310000,上海市,2019,14.847,3.1463,0.0772,0.1355,
310000,上海市,2018,15.4,3.5,0.0859,0.1421,
310000,上海市,2017,15.7,3.5,0.1,0.1,
310000,上海市,2016,16.8225,3.3778,0.1017,0.1479,
310000,上海市,2015,17.565,3.0867,0.1085,0.1514,
310000,上海市,2014,18.729,2.9763,0.1144,0.157,
310000,上海市,2013,20.4843,3.2796,0.1211,0.1648,
310000,上海市,2012,22.3,3.4,0.1,0.2,
310000,上海市,2011,32.4,6.7,0.2,0.2,
310000,上海市,2010,,,,,
310000,上海市,2009,,,,,
310000,上海市,2008,,,,,
310000,上海市,2007,,,,,
310000,上海市,2006,,,,,
310000,上海市,2005,,,,,
310000,上海市,2004,,,,,
310000,上海市,2003,,,,,
310000,上海市,2002,,,,,
310000,上海市,2001,,,,,
310000,上海市,2000,,,,,
320000,江苏省,2019,12.2551,68.8625,4.7511,15.6217,
320000,江苏省,2018,14.5,74.8,4.9579,15.2014,
320000,江苏省,2017,20.5,97.2,6.4,13.7,
320000,江苏省,2016,24.8442,109.891,7.0762,12.7189,
320000,江苏省,2015,27.981,114.7947,8.4427,11.3396,
320000,江苏省,2014,30.6793,119.0956,10.2125,9.6185,
320000,江苏省,2013,33.75,130.1395,11.6809,8.4635,7.7733
320000,江苏省,2012,37.0,138.1,12.9,7.5,12.9
320000,江苏省,2011,40.9,141.7,13.6,7.3,6.5
320000,江苏省,2010,,,,,
320000,江苏省,2009,,,,,
320000,江苏省,2008,,,,,
320000,江苏省,2007,,,,,
320000,江苏省,2006,,,,,
320000,江苏省,2005,,,,,
320000,江苏省,2004,,,,,
320000,江苏省,2003,,,,,
320000,江苏省,2002,,,,,
320000,江苏省,2001,,,,,
320000,江苏省,2000,,,,,
330000,浙江省,2019,19.434,46.0688,1.8702,0.743,
330000,浙江省,2018,22.0,50.6,2.3473,0.2676,
330000,浙江省,2017,22.2,59.2,2.6,0.1,
330000,浙江省,2016,10.8937,71.3704,3.1237,0.1306,
330000,浙江省,2015,7.322,56.7628,3.3385,0.1142,
330000,浙江省,2014,6.428,50.778,3.4841,0.0843,
330000,浙江省,2013,7.1831,55.1355,3.6458,0.0921,0.5299
330000,浙江省,2012,7.8,56.7,3.9,0.1,1.1
330000,浙江省,2011,8.8,58.1,4.1,0.1,0.1
330000,浙江省,2010,,,,,
330000,浙江省,2009,,,,,
330000,浙江省,2008,,,,,
330000,浙江省,2007,,,,,
330000,浙江省,2006,,,,,
330000,浙江省,2005,,,,,
330000,浙江省,2004,,,,,
330000,浙江省,2003,,,,,
330000,浙江省,2002,,,,,
330000,浙江省,2001,,,,,
330000,浙江省,2000,,,,,
340000,安徽省,2019,36.6838,178.3789,5.7128,29.8675,
340000,安徽省,2018,42.7,180.6,6.5841,31.1105,
340000,安徽省,2017,47.9,155.5,9.1,30.7,
340000,安徽省,2016,54.4104,149.8194,12.2079,28.7737,
340000,安徽省,2015,64.6672,196.3293,14.9949,27.2548,
340000,安徽省,2014,72.4051,208.9224,16.0969,26.9618,
340000,安徽省,2013,78.2663,216.0542,16.6392,26.9984,4.9361
340000,安徽省,2012,81.9,214.6,16.3,28.8,5.1
340000,安徽省,2011,84.2,216.6,15.7,30.1,5.1
340000,安徽省,2010,,,,,
340000,安徽省,2009,,,,,
340000,安徽省,2008,,,,,
340000,安徽省,2007,,,,,
340000,安徽省,2006,,,,,
340000,安徽省,2005,,,,,
340000,安徽省,2004,,,,,
340000,安徽省,2003,,,,,
340000,安徽省,2002,,,,,
340000,安徽省,2001,,,,,
340000,安徽省,2000,,,,,
350000,福建省,2019,6.1852,41.4534,0.8828,5.421,
350000,福建省,2018,6.1,37.8,0.6362,5.8721,
350000,福建省,2017,6.8,39.1,0.6,6.1,
350000,福建省,2016,8.5879,46.1493,0.8382,6.7196,
350000,福建省,2015,12.9477,71.6811,0.9145,7.0971,
350000,福建省,2014,14.6613,73.9188,0.9245,7.5325,
350000,福建省,2013,15.7694,73.6542,0.9546,7.8045,0.3821
350000,福建省,2012,16.9,73.5,0.9,8.2,0.5
350000,福建省,2011,18.1,72.7,0.6,8.6,0.5
350000,福建省,2010,,,,,
350000,福建省,2009,,,,,
350000,福建省,2008,,,,,
350000,福建省,2007,,,,,
350000,福建省,2006,,,,,
350000,福建省,2005,,,,,
350000,福建省,2004,,,,,
350000,福建省,2003,,,,,
350000,福建省,2002,,,,,
350000,福建省,2001,,,,,
350000,福建省,2000,,,,,
360000,江西省,2019,35.9408,142.2597,4.7919,7.9558,
360000,江西省,2018,69.0,167.8,10.8542,9.4454,
360000,江西省,2017,83.3,175.7,11.5,9.6,
360000,江西省,2016,89.5682,180.0571,12.539,9.6022,
360000,江西省,2015,92.4083,169.2827,12.3294,9.6756,
360000,江西省,2014,98.3274,170.1223,12.0629,10.8605,
360000,江西省,2013,97.8048,160.6531,11.9411,10.9069,3.0629
360000,江西省,2012,98.0,150.3,12.0,10.9,2.8
360000,江西省,2011,98.1,150.1,11.9,11.0,2.9
360000,江西省,2010,,,,,
360000,江西省,2009,,,,,
360000,江西省,2008,,,,,
360000,江西省,2007,,,,,
360000,江西省,2006,,,,,
360000,江西省,2005,,,,,
360000,江西省,2004,,,,,
360000,江西省,2003,,,,,
360000,江西省,2002,,,,,
360000,江西省,2001,,,,,
360000,江西省,2000,,,,,
370000,山东省,2019,13.2837,117.7686,5.5984,18.5458,
370000,山东省,2018,15.9,117.1,5.561,16.807,
370000,山东省,2017,23.8,181.6,6.2,14.9,
370000,山东省,2016,30.8575,217.6628,12.3262,8.7332,
370000,山东省,2015,37.2321,237.4164,14.2652,6.9572,
370000,山东省,2014,44.6119,258.2089,16.7909,5.8105,
370000,山东省,2013,48.7176,259.8685,17.1187,5.6872,0.2188
370000,山东省,2012,53.0,250.7,17.3,6.0,0.1
370000,山东省,2011,60.6,239.3,18.1,5.9,
370000,山东省,2010,,,,,
370000,山东省,2009,,,,,
370000,山东省,2008,,,,,
370000,山东省,2007,,,,,
370000,山东省,2006,,,,,
370000,山东省,2005,,,,,
370000,山东省,2004,,,,,
370000,山东省,2003,,,,,
370000,山东省,2002,,,,,
370000,山东省,2001,,,,,
370000,山东省,2000,,,,,
410000,河南省,2019,44.0656,272.5942,7.3373,41.8781,
410000,河南省,2018,50.1,257.8,7.7084,41.9293,
410000,河南省,2017,67.8,288.1,7.7,41.2,
410000,河南省,2016,82.1176,328.0238,10.8239,37.1245,
410000,河南省,2015,107.9085,392.9062,16.5289,32.0905,
410000,河南省,2014,118.9092,397.9447,18.6919,30.0354,
410000,河南省,2013,130.9834,390.9196,19.7384,27.9581,2.3663
410000,河南省,2012,133.4,373.0,19.9,27.7,2.4
