省份编码,省份,年份,出入境货物检验检疫批次(批),出入境货物检验检疫不合格批次(批),出入境货物检验检疫货值(万美元),出入境货物检验检疫不合格货值(万美元),出入境工业品检验检疫批次(批),出入境工业品检验检疫不合格批次(批),出入境工业品检验检疫货值(万美元),出入境工业品检验检疫不合格货值(万美元),出入境动物及动物产品检验检疫批次(批),出入境动物及动物产品检验检疫不合格批次(批),出入境动物及动物产品检验检疫货值(万美元),出入境动物及动物产品检验检疫不合格货值(万美元),出入境植物及植物产品检验检疫批次(批),出入境植物及植物产品检验检疫不合格批次(批),出入境植物及植物产品检验检疫货值(万美元),出入境植物及植物产品检验检疫不合格货值(万美元),出入境食品及化妆品检验检疫批次(批),出入境食品及化妆品检验检疫不合格批次(批),出入境食品及化妆品检验检疫货值(万美元),出入境食品及化妆品检验检疫不合格货值(万美元)
110000,北京市,2019,,,,,,,,,,,,,,,,,,,,
110000,北京市,2018,174456,1157,1145202.0707,4554.505,,,,,,,,,,,,,,,,
110000,北京市,2017,166295,3723,1227098.0,10691.0,,,,,,,,,,,,,,,,
110000,北京市,2016,185295,4406,1362518.0,12588.0,,,,,,,,,,,,,,,,
110000,北京市,2015,189627,3636,1230297.0,12648.0,,,,,,,,,,,,,,,,
110000,北京市,2014,200107,5058,1480317.0,23874.0,,,,,,,,,,,,,,,,
110000,北京市,2013,232121,3443,1946190.78917429,11347.40479808,,,,,,,,,,,,,,,,
110000,北京市,2012,240605,1946,1875524.57678176,5676.13127507,,,,,,,,,,,,,,,,
110000,北京市,2011,233136,2234,1870194.89655851,5622.28771396,185329,1380,1688657.57897921,3379.98013275,14189,352,35488.755306,298.0006,11118,298,31086.45846758,1844.83951187,22500,204,114962.103805723,99.46746934
110000,北京市,2010,183467,946,1671053.1601,7422.7527,145998,323,1545187.3447,4488.454,11154,228,26424.5756,1364.129,8656,270,21253.6261,1370.831,17659,125,78187.6137,199.3387
