省份编码,省份,年份,能源工业投资(亿元),煤炭采选业投资(亿元),石油和天然气开采业投资(亿元),电力、蒸汽、热水生产和供应业投资(亿元),石油加工及炼焦业投资(亿元),煤气生产和供应业投资(亿元)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,417.6647,,,414.1024,3.5623,69.9
110000,北京市,2016,222.6925,,,221.0039,1.6886,33.1183
110000,北京市,2015,181.1211,0.1244,,179.985,1.0117,11.25
110000,北京市,2014,258.3327,1.2854,0.6106,252.2543,4.1824,21.3092
110000,北京市,2013,230.0275,2.39,1.1075,215.1444,11.3856,38.1352
110000,北京市,2012,192.2751,,,183.6179,8.6572,23.8616
110000,北京市,2011,140.5936,2.7013,0.1409,131.034,6.7174,16.98
110000,北京市,2010,133.6,2.6,0.1,125.0,5.8,15.1044
110000,北京市,2009,157.5002,1.9229,13.161,133.8438,8.5725,9.7239
110000,北京市,2008,137.5599,0.7143,18.1562,114.2351,4.4543,7.8752
110000,北京市,2007,171.9732,0.6565,4.6199,149.208,6.8486,10.6402
110000,北京市,2006,103.6373,0.4321,0.0273,77.207,15.0807,10.8902
110000,北京市,2005,116.8557,0.4268,0.0271,92.9197,12.3662,11.1159
110000,北京市,2004,66.0309,0.32,0.0639,42.4721,3.8845,6.5605
110000,北京市,2003,35.0754,0.1292,,22.1579,1.377,11.4113
110000,北京市,2002,51.8232,0.1206,,35.2019,2.4822,14.0185
110000,北京市,2001,42.0828,0.221,,27.241,3.3007,11.3201
110000,北京市,2000,57.7931,0.2076,,38.42,6.6661,12.4994
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,492.8054,0.7001,169.6145,305.2097,17.2811,29.03
120000,天津市,2016,422.1129,0.7375,101.1287,293.2476,26.9991,31.8804
120000,天津市,2015,590.8477,,261.702,308.3333,20.8124,58.97
120000,天津市,2014,595.8164,,303.8182,251.0241,40.9741,65.392
120000,天津市,2013,590.6212,,286.5658,269.8719,34.1835,44.3401
120000,天津市,2012,446.9768,,172.0248,248.4929,26.4591,22.8432
120000,天津市,2011,430.7307,3.7443,219.7659,192.6824,14.5381,18.06
120000,天津市,2010,546.0,,306.4,188.6,51.0,15.6982
120000,天津市,2009,756.2739,,393.1621,245.1272,117.9846,11.7358
120000,天津市,2008,585.6808,,268.2457,187.4915,129.9436,7.2317
120000,天津市,2007,375.2323,,179.0641,144.7735,45.4722,5.9225
120000,天津市,2006,269.6527,0.205,182.1905,70.2096,14.3491,2.6985
120000,天津市,2005,178.4199,0.0,123.411,40.4971,8.306,6.2058
120000,天津市,2004,160.5499,0.36,22.8759,16.4301,6.22,2.6443
120000,天津市,2003,125.7903,,88.1913,32.4895,1.64,3.4695
120000,天津市,2002,96.0098,0.0083,58.3664,33.3817,1.6851,2.5683
120000,天津市,2001,94.6526,0.0432,63.7441,25.1723,2.1282,3.5648
120000,天津市,2000,99.7416,0.0843,60.1436,34.0961,1.5221,3.8955
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,2170.2844,44.9801,19.0108,1730.8524,375.4411,322.51
130000,河北省,2016,2053.1132,51.3142,30.7078,1692.2941,278.7971,216.0668
130000,河北省,2015,1642.5189,111.8508,33.6402,1326.6233,170.4046,221.93
