省份编码,省份,年份,铜矿储量(万吨),铅矿储量(万吨),锌矿储量(万吨),铝土矿储量(万吨),菱镁矿储量(万吨),硫铁矿储量(万吨),磷矿储量(亿吨),高岭土储量(万吨)
110000,北京市,2019,,,,,,,,
110000,北京市,2018,,,,,,,,
110000,北京市,2017,,,,,,,,
110000,北京市,2016,0.02,,,,,,,
110000,北京市,2015,,,,,,,,
110000,北京市,2014,0.02,,,,,,,
110000,北京市,2013,0.02,,,,,,,
110000,北京市,2012,0.02,,,,,,,
110000,北京市,2011,0.02,,,,,,,
110000,北京市,2010,0.02,,,,,,,
110000,北京市,2009,0.0,,2.6,2.3,,,,
110000,北京市,2008,,,2.59,2.3,,,,
110000,北京市,2007,,,2.58,2.3,,,,
110000,北京市,2006,,,2.58,2.3,,,,
110000,北京市,2005,,,2.59,2.3,,,,
110000,北京市,2004,,,2.5856,2.3,,,,
110000,北京市,2003,,,,,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,,,,,,,,
120000,天津市,2018,,,,,,,,
120000,天津市,2017,,,,,,,,
120000,天津市,2016,,,,,,,,
120000,天津市,2015,,,,,,,,
120000,天津市,2014,,,,,,,,
120000,天津市,2013,,,,,,,,
120000,天津市,2012,,,,,,,,
120000,天津市,2011,,,,,,,,
120000,天津市,2010,,,,,,,,
120000,天津市,2009,,,,,,,,
120000,天津市,2008,,,,,,,,58.3
120000,天津市,2007,,,,,,,,
120000,天津市,2006,,,,,,,,
120000,天津市,2005,,,,,,,,
120000,天津市,2004,,,,,,,,
120000,天津市,2003,,,,,,,,
120000,天津市,2002,,,,,,,,
120000,天津市,2001,,,,,,,,
120000,天津市,2000,,,,,,,,
130000,河北省,2019,,,,,,,,
130000,河北省,2018,,,,,,,,
130000,河北省,2017,,,,,,,,
130000,河北省,2016,13.41,21.75,79.66,28.01,838.83,1083.61,1.85,58.3
130000,河北省,2015,13.7,23.3,71.1,28.0,872.8,1083.6,1.9,58.3
130000,河北省,2014,13.54,23.69,72.92,28.01,882.34,1089.31,1.93,58.3
130000,河北省,2013,13.49,22.8,76.36,28.01,882.34,1142.84,1.94,58.3
130000,河北省,2012,13.23,20.65,78.19,2.57,882.34,1136.62,1.97,58.3
130000,河北省,2011,13.19,20.91,89.39,2.57,882.34,1140.42,1.75,58.3
130000,河北省,2010,15.29,18.66,154.62,393.8,866.26,1765.86,2.12,58.3
130000,河北省,2009,15.3,16.2,145.8,393.8,876.4,1787.4,2.1,58.3
130000,河北省,2008,15.33,16.9,165.93,393.8,886.06,1802.96,2.29,160.2
130000,河北省,2007,15.32,17.56,151.15,393.8,890.4,1818.45,2.3,58.3
130000,河北省,2006,15.37,17.31,154.47,393.8,902.9,1832.2,2.3,58.3
130000,河北省,2005,15.08,17.3,176.0,393.8,1240.3,1887.1,2.31,58.3
130000,河北省,2004,16.4601,13.6747,147.568625,397.7,1379.39,1823.1,2.31868,58.3
130000,河北省,2003,16.4,,,,1396.4,1976.8,,
130000,河北省,2002,,,,,,,,
130000,河北省,2001,,,,,,,,
130000,河北省,2000,,,,,,,,
140000,山西省,2019,,,,,,,,
140000,山西省,2018,,,,,,,,
140000,山西省,2017,,,,,,,,
