省份编码,省份,年份,生活垃圾清运量(万吨),无害化处理厂数(座),生活垃圾卫生填埋无害化处理厂数(座),生活垃圾堆肥无害化处理厂数(座),生活垃圾焚烧无害化处理厂数(座),生活垃圾无害化处理能力(吨/日),生活垃圾卫生填埋无害化处理能力(吨/日),生活垃圾堆肥无害化处理能力(吨/日),生活垃圾焚烧无害化处理能力(吨/日),生活垃圾无害化处理量(万吨),生活垃圾卫生填埋无害化处理量(万吨),生活垃圾堆肥无害化处理量(万吨),生活垃圾焚烧无害化处理量(万吨),粪便清运量(万吨),粪便无害化处理量(万吨),生活垃圾无害化处理率(%)
110000,北京市,2019,1011.16,43,9,,10,32711,7491,,15950,1010.913267,291.95,,548.95,,,99.9755990149927
110000,北京市,2018,975.12,28,13,,7,28591,10991,,12050,975.117249,393.812981,,399.698759,,,99.9997178808762
110000,北京市,2017,924.77,24,13,,5,24341,10341,,9200,923.7,438.0,,326.5,,,99.88
110000,北京市,2016,872.61,27,14,,7,24341,9141,,10400,871.2,472.79,,272.47,203.96,190.48,99.84
110000,北京市,2015,790.33,26,14,,6,23821,8621,,10400,622.42,325.77,,209.38,204.66,188.84,78.75
110000,北京市,2014,733.84,25,16,,3,21371,12121,,5200,730.83,488.57,,156.11,216.06,197.39,99.59
110000,北京市,2013,671.69,24,17,,4,21971,12371,,5800,666.96,489.93,,97.84,220.73,195.46,99.3
110000,北京市,2012,648.31,20,13,,3,16830,11380,,2800,633.13,443.18,,94.65,207.15,183.41,99.12
110000,北京市,2011,634.35,21,15,,2,16930,12080,,2200,623.2,429.57,94.46,94.46,207.54,186.81,98.24
110000,北京市,2010,632.98,20,15,3,2,16680,12080,2400,2200,613.7,445.4,79.3,89.1,194.37,168.6,97.0
110000,北京市,2009,656.12,19,16,2,1,13680,12280,800,600,644.41,548.08,27.6,68.73,211.24,175.69,98.22
110000,北京市,2008,656.61,18,15,2,1,12148,10948,600,600,641.59,598.84,27.03,15.72,206.81,171.09,97.71
