省份编码,省份,年份,林业投资(万元),生态建设与保护本年完成投资(万元),林业支撑与保障本年完成投资(万元),林业产业发展本年完成投资(万元),其他投资本年完成投资(万元)
110000,北京市,2019,,,,,
110000,北京市,2018,2448559,1965703,278446,40854,163556
110000,北京市,2017,2074256,1670571,286063,103789,13833
110000,北京市,2016,1755104,1485940,117773,30847,120544
110000,北京市,2015,1591985,993954,88634,54792,454605
110000,北京市,2014,2353682,1846078,96093,72172,320638
110000,北京市,2013,2071603,1811906,48073,54701,154116
110000,北京市,2012,1470847,1119355,49784,79473,217760
110000,北京市,2011,953587,754659,30598,10028,158302
110000,北京市,2010,348034,,,,
110000,北京市,2009,339462,,,,
110000,北京市,2008,382399,,,,
110000,北京市,2007,315370,,,,
110000,北京市,2006,214197,,,,
110000,北京市,2005,109188,,,,
110000,北京市,2004,100774,,,,
110000,北京市,2003,,,,,
110000,北京市,2002,,,,,
110000,北京市,2001,,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,,,,,
120000,天津市,2018,135079,120530,14451,98,
120000,天津市,2017,426095,413315,12682,98,
120000,天津市,2016,123328,111181,3299,,8848
120000,天津市,2015,165355,149495,5011,2200,8099
120000,天津市,2014,203034,188278,5874,600,6872
120000,天津市,2013,112535,104396,2568,2000,3571
120000,天津市,2012,53355,42385,2423,,8547
120000,天津市,2011,87612,81034,2883,20,3675
120000,天津市,2010,30323,,,,
120000,天津市,2009,30572,,,,
120000,天津市,2008,24809,,,,
120000,天津市,2007,35561,,,,
120000,天津市,2006,7422,,,,
120000,天津市,2005,5139,,,,
120000,天津市,2004,3591,,,,
120000,天津市,2003,,,,,
120000,天津市,2002,,,,,
120000,天津市,2001,,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,,,,,
130000,河北省,2018,1861822,1428411,226564,163244,43603
130000,河北省,2017,1222530,876811,160494,171547,13678
130000,河北省,2016,1131022,829170,84663,153834,63355
130000,河北省,2015,942518,692550,67062,66003,106281
130000,河北省,2014,897626,636325,62486,108679,81482
130000,河北省,2013,676512,393974,34694,129335,87915
130000,河北省,2012,663921,398888,46342,124393,52991
130000,河北省,2011,546499,313886,28749,128932,74932
130000,河北省,2010,317065,,,,
130000,河北省,2009,330527,,,,
130000,河北省,2008,246929,,,,
130000,河北省,2007,206226,,,,
130000,河北省,2006,205661,,,,
130000,河北省,2005,225131,,,,
130000,河北省,2004,210262,,,,
130000,河北省,2003,,,,,
130000,河北省,2002,,,,,
130000,河北省,2001,,,,,
130000,河北省,2000,,,,,
140000,山西省,2019,,,,,
140000,山西省,2018,1117541,878722,168094,58259,12466
140000,山西省,2017,1140098,936013,155760,34625,13700
140000,山西省,2016,1231851,1000419,62721,75683,93028
140000,山西省,2015,1312256,1073425,78146,39788,99295
140000,山西省,2014,1465912,1166426,30636,22353,134066
140000,山西省,2013,1101015,952452,21694,9724,24933
140000,山西省,2012,1025047,721516,29928,9487,250021
140000,山西省,2011,1040002,765393,43864,5968,224777
140000,山西省,2010,657941,,,,
140000,山西省,2009,620845,,,,
140000,山西省,2008,435413,,,,
140000,山西省,2007,305967,,,,
140000,山西省,2006,219134,,,,
140000,山西省,2005,174345,,,,
140000,山西省,2004,178974,,,,
140000,山西省,2003,,,,,
140000,山西省,2002,,,,,
140000,山西省,2001,,,,,
140000,山西省,2000,,,,,
150000,内蒙古自治区,2019,,,,,
150000,内蒙古自治区,2018,1612360,1312389,254195,13390,32386
150000,内蒙古自治区,2017,1534901,1259491,239992,11724,23694
150000,内蒙古自治区,2016,1627553,1214327,257416,3536,152274
150000,内蒙古自治区,2015,1604223,1253300,88161,37800,167081
150000,内蒙古自治区,2014,1513615,1082552,72233,2277,159777
150000,内蒙古自治区,2013,1500005,1046212,61108,11528,190165
150000,内蒙古自治区,2012,1333975,871280,150936,390,191566
150000,内蒙古自治区,2011,1146495,693969,240494,7707,204325
150000,内蒙古自治区,2010,819932,,,,
150000,内蒙古自治区,2009,679629,,,,
150000,内蒙古自治区,2008,485761,,,,
150000,内蒙古自治区,2007,459427,,,,
150000,内蒙古自治区,2006,418950,,,,
150000,内蒙古自治区,2005,417279,,,,
150000,内蒙古自治区,2004,359239.03,,,,
150000,内蒙古自治区,2003,,,,,
150000,内蒙古自治区,2002,,,,,
150000,内蒙古自治区,2001,,,,,
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,,,,,
210000,辽宁省,2018,419546,264336,128868,25034,1308
210000,辽宁省,2017,395110,247492,106748,40051,819
