省份编码,省份,年份,林业重点工程造林面积(公顷),天然林保护工程造林面积(公顷),退耕还林工程造林面积(公顷),三北及长江流域等防护林建设工程造林面积(公顷),京津风沙源治理工程造林面积(公顷),速生丰产用材林基地建设工程造林面积(公顷)
110000,北京市,2019,,,,,,
110000,北京市,2018,,,,,,
110000,北京市,2017,,,,,,
110000,北京市,2016,,,,,,
110000,北京市,2015,,,,,,
110000,北京市,2014,,,,,,
110000,北京市,2013,,,,,,
110000,北京市,2012,,,,,,
110000,北京市,2011,17953,,,200,17753,
110000,北京市,2010,8100,,,7787,313,
110000,北京市,2009,14634,,,2180,12454,
110000,北京市,2008,11216,,,1417,9799,
110000,北京市,2007,10301,,,1028,9273,
110000,北京市,2006,8016,,,1574,6442,
110000,北京市,2005,7577,,825,1833,4919,
110000,北京市,2004,39049,,13117,3876,22056,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,,,,,,
120000,天津市,2018,,,,,,
120000,天津市,2017,,,,,,
120000,天津市,2016,,,,,,
120000,天津市,2015,,,,,,
120000,天津市,2014,,,,,,
120000,天津市,2013,,,,,,
120000,天津市,2012,,,,,,
120000,天津市,2011,7401,,,7401,,
120000,天津市,2010,11315,,,170,11145,
120000,天津市,2009,15654,,,14527,1127,
120000,天津市,2008,11216,,,10062,1154,
120000,天津市,2007,4016,,,1521,2495,
120000,天津市,2006,6080,,,2336,667,3077
120000,天津市,2005,3591,,,3458,133,
120000,天津市,2004,4989,,202,4452,335,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,,,,,,
130000,河北省,2018,,,,,,
130000,河北省,2017,,,,,,
130000,河北省,2016,,,,,,
130000,河北省,2015,,,,,,
130000,河北省,2014,,,,,,
130000,河北省,2013,,,,,,
130000,河北省,2012,,,,,,
130000,河北省,2011,181654,,12380,73935,94705,634
130000,河北省,2010,244442,,24132,131358,88952,
130000,河北省,2009,284821,,23358,152320,108398,745
130000,河北省,2008,324619,,55513,100792,165971,2343
130000,河北省,2007,216880,,38842,76496,100443,1099
130000,河北省,2006,208152,,75468,37354,95330,
130000,河北省,2005,380510,,207366,30196,139405,3543
130000,河北省,2004,529080,,315804,28378,182607,2291
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,,,,,,
140000,山西省,2018,,,,,,
140000,山西省,2017,,,,,,
140000,山西省,2016,,,,,,
140000,山西省,2015,,,,,,
140000,山西省,2014,,,,,,
140000,山西省,2013,,,,,,
140000,山西省,2012,,,,,,
140000,山西省,2011,181776,46343,45291,65408,24734,
140000,山西省,2010,226426,54129,64335,17066,90896,
140000,山西省,2009,265031,51799,35667,156273,21292,
140000,山西省,2008,182483,25547,60428,60053,36455,
140000,山西省,2007,180854,25468,80234,43993,31159,
140000,山西省,2006,125799,,59998,15737,50064,
140000,山西省,2005,176202,1266,86672,19333,68931,
140000,山西省,2004,317018,54640,170666,26440,65272,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,,,,,,
