省份编码,省份,年份,快递量(万件),国内同城快递量(万件),国内异地快递量(万件),国际及港澳台快递量(万件),快递业务收入(万元)
110000,北京市,2019,228716.4322,,,,3391428.24
110000,北京市,2018,220875.6167,,,,3310328.24
110000,北京市,2017,227452.1,,,,3038329.8
110000,北京市,2016,196029.0209,,,,2565681.31
110000,北京市,2015,141447.2593,,,,1816522.52
110000,北京市,2014,111011.945,,,,1476107.92
110000,北京市,2013,81818.1957,21369.8852,59429.1667,1019.1438,937978.78
110000,北京市,2012,48073.73,15122.31,31889.54,1061.88,762737.03
110000,北京市,2011,33663.38,9801.02,23151.67,710.69,625532.29
110000,北京市,2010,18002.5,,,,
110000,北京市,2009,14986.45,,,,
110000,北京市,2008,13487.91,,,,
110000,北京市,2007,9504.3118,,,,
110000,北京市,2006,2081.18,,,,
110000,北京市,2005,1795.1,,,,
110000,北京市,2004,1499.7,,,,
110000,北京市,2003,1188.8,,,,
110000,北京市,2002,1066.7,,,,
110000,北京市,2001,990.7,,,,
110000,北京市,2000,,,,,
120000,天津市,2019,69733.0191,,,,958419.09
120000,天津市,2018,57576.6928,,,,874555.55
120000,天津市,2017,50199.02,,,,763314.88
120000,天津市,2016,41005.3547,,,,634879.87
120000,天津市,2015,25624.448,,,,435370.4
120000,天津市,2014,12404.2274,,,,250712.59
120000,天津市,2013,8718.9661,2407.2157,6132.5575,179.1929,177653.73
120000,天津市,2012,6364.03,1420.8,4757.99,185.24,144376.72
120000,天津市,2011,5130.56,1072.79,3881.22,176.55,127066.28
120000,天津市,2010,3670.1,,,,
120000,天津市,2009,2598.08,,,,
120000,天津市,2008,2540.16,,,,
120000,天津市,2007,2048.2014,,,,
120000,天津市,2006,489.36,,,,
120000,天津市,2005,410.2,,,,
120000,天津市,2004,352.1,,,,
120000,天津市,2003,321.5,,,,
120000,天津市,2002,287.7,,,,
120000,天津市,2001,254.3,,,,
120000,天津市,2000,,,,,
130000,河北省,2019,230392.651,,,,2423535.28
130000,河北省,2018,174136.2212,,,,1807779.69
130000,河北省,2017,119389.3,,,,1264880.74
130000,河北省,2016,90392.3915,,,,942582.7
130000,河北省,2015,54911.9436,,,,561787.91
130000,河北省,2014,34019.1495,,,,410725.8
