省份编码,省份,年份,旅客周转量(亿人公里),铁路旅客周转量(亿人公里),国家铁路旅客周转量(亿人公里),地方铁路旅客周转量(亿人公里),合资铁路旅客周转量(亿人公里),公路旅客周转量(亿人公里),水运旅客周转量(亿人公里)
110000,北京市,2019,263.68305778,158.90068,,,,104.78237778,
110000,北京市,2018,254.43275367,154.56579,,,,99.86696367,0
110000,北京市,2017,253.159006,153.76253,,,,99.396476,0
110000,北京市,2016,268.494002,150.81997,,,,117.674032,0
110000,北京市,2015,279.4316,149.3106,,,,130.121,
110000,北京市,2014,273.928081,135.63134,135.51171,0.11963,,138.296741,
110000,北京市,2013,254.03861,117.95551,117.84507,0.11044,,136.0831,0
110000,北京市,2012,421.15896,116.38326,116.28392,0.09934,,304.7757,
110000,北京市,2011,412.33,108.66,108.61,0.05,,303.67,
110000,北京市,2010,390.19,99.54,99.54,,,290.65,
110000,北京市,2009,361.26,93.55,93.55,,,267.71,
110000,北京市,2008,331.18,90.22,90.22,,,240.96,
110000,北京市,2007,238.26874,90.84384,90.84384,,,147.4249,
110000,北京市,2006,168.26382,89.06912,89.06912,,,79.1947,
110000,北京市,2005,137.07162,77.60282,77.60282,,,59.4688,
110000,北京市,2004,232.1,73.9,73.9,,,158.2,
110000,北京市,2003,131.8,62.5,62.48,,,69.3,
110000,北京市,2002,126.0,65.7,65.7,,,60.4,
110000,北京市,2001,121.1985,68.2209,68.22,0.0,,52.9776,
110000,北京市,2000,118.1845,65.4,65.42,,,52.7645,
120000,天津市,2019,287.40195998,208.51767,,,,78.66908263,0.21520735
120000,天津市,2018,276.51083675,199.90024,,,,76.39907504,0.21152171
120000,天津市,2017,266.91166959,193.90241,,,,72.8264,0.18285959
120000,天津市,2016,262.045877,183.50808,,,,78.388,0.149797
120000,天津市,2015,252.3024,170.4683,,,,81.6989,0.1352
120000,天津市,2014,246.736002,158.12414,158.12414,,,88.4664,0.145462
120000,天津市,2013,267.09188,178.43138,178.43138,,,88.5583,0.1022
120000,天津市,2012,314.66429,163.97269,163.97269,,,150.4338,0.2578
120000,天津市,2011,285.10322,150.85,150.85,,,133.92,0.33
120000,天津市,2010,269.03,136.91,136.91,,,131.81,0.32
120000,天津市,2009,250.15,123.08,123.08,,,126.902,0.17
120000,天津市,2008,233.88,113.12,113.12,,,120.58,0.17
120000,天津市,2007,147.36223,102.27713,102.27713,,,44.6951,0.39
120000,天津市,2006,132.535,96.5069,96.5069,,,35.6408,0.3873
120000,天津市,2005,117.5,90.70345,90.70345,,,26.4573,0.3528
120000,天津市,2004,108.8,84.8,84.75,,,24.0,0.3
120000,天津市,2003,91.7,70.1,70.05,,,21.6,0
120000,天津市,2002,97.0,74.2,74.2,,,22.7,0.33
120000,天津市,2001,94.0778,72.01,72.01,,,22.046,0
120000,天津市,2000,91.6254,73.0,72.99,,,18.6354,0.261
130000,河北省,2019,1311.10854267,1089.54491,,,,221.47410411,0.08952856
130000,河北省,2018,1289.20397105,1061.40408,,,,227.61198805,0.187903
130000,河北省,2017,1282.7826219,1042.71698,,,,239.9410359,0.124606
130000,河北省,2016,1238.11789639,993.55296,,,,244.178604,0.38633239
130000,河北省,2015,1213.2112,944.4346,,,,268.435,0.3416
