省份编码,省份,年份,货物周转量(亿吨公里),铁路货物周转量(亿吨公里),国家铁路货物周转量(亿吨公里),地方铁路货物周转量(亿吨公里),合资铁路货物周转量(亿吨公里),公路货物周转量(亿吨公里),水运货物周转量(亿吨公里)
110000,北京市,2019,1089.40378250647,813.72365,,,,275.680132506472,
110000,北京市,2018,1034.22183097,866.815,,,,167.40683097,
110000,北京市,2017,958.415862,799.17401,,,,159.241852,0
110000,北京市,2016,825.43477,664.11557,,,,161.3192,0
110000,北京市,2015,901.4125,745.0563,,,,156.3562,
110000,北京市,2014,1036.7093,871.5155,871.51232,0.00318,,165.1938,
110000,北京市,2013,1051.1407,894.9478,894.94412,,,156.1929,0
110000,北京市,2012,1001.12637,861.35277,861.3464,,,139.7736,
110000,北京市,2011,999.59535,867.26945,867.25884,,,132.3259,
110000,北京市,2010,876.93,775.34,775.34,,,101.59,
110000,北京市,2009,731.59,643.7,643.57,0.13,,87.89,
110000,北京市,2008,758.89,674.8,674.63,0.17,,84.09,
110000,北京市,2007,724.8,645.5,645.4,0.1,,79.3,
110000,北京市,2006,653.2,564.6,564.4,0.2,,88.6,
110000,北京市,2005,582.1,496.6,496.5,0.1,,85.5,
110000,北京市,2004,537.7,455.4,455.2,0.2,,82.3,
110000,北京市,2003,462.5,383.5,383.3,0.2,,79.0,
110000,北京市,2002,411.6,328.0,327.9,0.1,,83.6,
110000,北京市,2001,393.6,311.0,310.8,0.2,,82.6,
110000,北京市,2000,363.1,280.4,280.3,0.1,,82.6,
120000,天津市,2019,2662.44564442566,517.07337,,,,599.362368235657,1546.00990619
120000,天津市,2018,2240.52556826,509.82398,,,,404.10427546,1326.5973128
120000,天津市,2017,2169.543905,480.45534,,,,398.016,1291.072565
120000,天津市,2016,2302.3199121,399.77983,,,,372.4922,1530.0478821
120000,天津市,2015,2519.2248,444.8107,,,,345.2038,1729.2103
120000,天津市,2014,3602.375216,519.34672,493.48397,,25.86275,349.0211,2734.007396
120000,天津市,2013,3097.39451,515.85881,494.81617,,21.04264,313.6957,2267.84
120000,天津市,2012,7844.06138,513.19338,494.91624,,18.27714,318.1778,7012.6902
120000,天津市,2011,10337.29121,519.96871,504.62187,,15.34684,266.704,9550.6185
120000,天津市,2010,10065.05,509.53,494.78,,14.75,231.25,9324.27
120000,天津市,2009,9606.61,458.14,413.34,29.91,14.89,205.92,8942.55
120000,天津市,2008,2703.44,480.88,445.84,35.03,,178.29,2044.28
120000,天津市,2007,15289.0,483.7,444.3,32.4,7.1,88.0,14717.2
120000,天津市,2006,12240.8,453.4,427.1,21.0,5.3,75.8,11711.6
120000,天津市,2005,12593.0,410.6,391.2,15.2,4.1,74.0,12108.4
120000,天津市,2004,11223.3,359.5,343.1,13.1,3.4,72.0,10791.8
120000,天津市,2003,6521.1,319.8,303.8,12.4,3.6,68.2,6133.1
120000,天津市,2002,6302.1,275.4,263.8,10.2,1.4,65.8,5961
120000,天津市,2001,5158.2,273.4,265.1,8.3,,64.8,4820.1
120000,天津市,2000,4621.9,252.7,247.3,5.4,,62.7,4306.6
130000,河北省,2019,13563.3819902506,4937.18278,,,,8027.16369878064,599.03551147
130000,河北省,2018,13873.03372738,4832.00279,,,,8550.14888228,490.8820551
130000,河北省,2017,13381.58903049,4278.35523,,,,7899.32041624,1203.91338425
130000,河北省,2016,12332.67839661,3704.47141,,,,7294.591349,1333.61563761
130000,河北省,2015,12007.2797,3633.0107,,,,6821.4764,1552.7926
130000,河北省,2014,12684.469674,4183.1379,3274.75684,13.16582,895.21524,7019.5595684,1481.7722056
