年份,人口数(人口抽样调查),0-14岁人口数(人口抽样调查),15-64岁人口数(人口抽样调查),65岁及以上人口数(人口抽样调查),总抚养比(人口抽样调查),少年儿童抚养比(人口抽样调查),老年人口抚养比(人口抽样调查)
2019,1091876,183267,771326,137282.68,41.56,23.76,17.8
2018,1144648,192963,815039,136645.26,40.44,23.68,16.77
2017,1145246,192353,822465,130427.97,39.25,23.39,15.86
2016,1158019,192698,839679,125642.04,37.91,22.95,14.96
2015,21312241.0,3521811,15559965.0,2230465.0,36.97,22.63,14.33
2014,1124402,185409,825822,113171.0,36.16,22.45,13.7
2013,1118433,183498,826674,108261.0,35.29,22.2,13.1
2012,1124661,185135,833822,105704.0,34.88,22.2,12.68
2011,1145209,188590,852078,104541.0,34.4,22.13,12.27
2010,,,,,,,
2009,1164986,196517,855269,113199.0,36.21,22.98,13.24
2008,1178521,204088,862020,112413.0,36.72,23.68,13.04
2007,1188739,212476,865052,111212.0,37.42,24.56,12.86
2006,1192666,220280,862690,109696.0,38.25,25.53,12.72
2005,16985766.0,3321029,12123681.0,1541056.0,40.1,27.39,12.71
2004,1253065,241866,903897,107303.0,38.63,26.76,11.87
2003,1260498,256344,896908,107246.0,40.54,28.58,11.96
2002,1258951,267978,888206,102767.0,41.74,30.17,11.57
2001,,,,,,,
2000,,,,,,,
