年份,总户数(人口抽样调查),家庭户户数(人口抽样调查),集体户户数(人口抽样调查),家庭户人口数(人口抽样调查),家庭户男性人口数(人口抽样调查),家庭户女性人口数(人口抽样调查),集体户人口数(人口抽样调查),集体户男性人口数(人口抽样调查),集体户女性人口数(人口抽样调查)
2019,371292,363974,7318,1062849,539844,523006,29027,17991,11036
2018,378643,371225,7419,1113633,566631,547002,31015,18668,12347
2017,375187,367273,7915,1114610,570037,544573,30636,16035,14600
2016,371070,364431,6638,1132138,578632,553506,25881,14455,11426
2015,6715351,6355790,359561,19729405.0,9989351,9740054,1582836,927695,655141
2014,375069,365416,9653,1084379,553385,530994,40023,22626,17397
2013,371789,362031,9758,1077642,550008,527634,40791,23420,17371
2012,367304,356954,10350,1077355,547201,530155,47306,29153,18153
2011,371977,360447,11530,1088965,553070,535895,56244,33969,22275
2010,,,,,,,,,
2009,369519,363948,5571,1145040,581104,563936,19946,10767,9179
2008,371370,365130,6240,1155531,585091,570440,22990,13249,9742
2007,373387,367260,6127,1164248,589487,574761,24491,13252,11239
2006,374053,368180,5873,1168454,590787,577667,24212,13516,10696
2005,5391013,5286554,104459,16570406.0,8354106,8216300,415360,230777,184584
2004,370785,367617,3168,1236207,628037,608170,16858,9130,7728
2003,370919,367550,3369,1242389,632263,610126,18109,11137,6972
2002,369173,365083,4090,1237970,630274,607696,20981,12480,8501
2001,,,,,,,,,
2000,,,,,,,,,
