年份,居民人均可支配收入,居民人均可支配收入_同比增长,城镇居民人均可支配收入,城镇居民人均可支配收入_同比增长,农村居民人均可支配收入,农村居民人均可支配收入_同比增长,居民人均消费支出,居民人均消费支出_同比增长,城镇居民人均消费支出,城镇居民人均消费支出_同比增长,农村居民人均消费支出,农村居民人均消费支出_同比增长
2019,30732.8475578418,8.9,42358.802387989,7.9,16020.6676028608,9.6,21558.8526534938,8.6,28063.3523012164,7.5,13327.6690016998,9.9
2018,28228.0485997323,8.7,39250.8390000371,7.8,14617.0302584015,8.8,19853.1354741892,8.4,26112.3078426057,6.8,12124.2658491517,10.7
2017,25973.7874873775,9.0,36396.1941513097,8.3,13432.4257076746,8.6,18322.1481280722,7.1,24444.9537775232,5.9,10954.5291862489,8.1
2016,23820.975412,8.44384286250953,33616.246549,7.76224395420353,12363.409296,8.2448508793761,17110.74622,8.89955527055835,23078.896926,7.8838134824033,10129.77751,9.83653436508006
2015,21966.1852468668,8.92076445550801,31194.8279058537,8.1506935449814,11421.7066175067,8.89345479285569,15712.4074,8.42574631885661,21392.36293,7.13277303630135,9222.593892,10.021118217752
2014,20167.12365,10.1381445123944,28843.85378,8.98042693074723,10488.88259,11.2340241071671,14491.39889,9.61378192489455,19968.08477,8.00834463772311,8382.566949,11.9893651600173
2013,18310.757,,26467.0038374756,,9429.56318500564,,13220.41743,,18487.5389339196,,7485.14551968569,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
