年份,居民人均可支配收入,居民人均可支配工资性收入,居民人均可支配经营净收入,居民人均可支配财产净收入,居民人均可支配转移净收入,居民人均消费支出,居民人均食品烟酒消费支出,居民人均衣着消费支出,居民人均居住消费支出,居民人均生活用品及服务消费支出,居民人均交通通信消费支出,居民人均教育文化娱乐消费支出,居民人均医疗保健消费支出,居民人均其他用品及服务消费支出
2019,30732.8475578418,17186.2197946147,5247.27752749239,2619.05944393734,5680.29079179731,21558.8526534938,6084.17677220174,1338.14617014487,5054.80356221814,1280.85381581716,2861.57187904838,2513.0763885263,1902.25061438105,523.973451156196
2018,28228.0485997323,15829.0484831384,4852.43001979497,2378.51959354954,5168.05050324903,19853.1354741892,5631.08305631128,1288.93579262248,4646.59403765926,1222.68279686078,2675.41566340876,2225.72649092688,1685.19984398495,477.497792414569
2017,25973.7874873775,14620.2765895914,4501.84783133386,2107.35084132523,4744.31222512681,18322.1481280722,5373.58282434251,1237.64810799907,4106.87386421933,1120.65060803394,2498.94036241378,2086.24037697272,1451.21254986346,446.99943422732
2016,23820.975412,13455.184145,4217.713849,1888.986723,4259.090695,17110.74622,5150.980705,1202.727698,3746.414853,1043.743985,2337.833872,1915.261429,1307.452014,406.327222
2015,21966.1852468668,12459.04811,3955.637095,1739.575315,3811.924726,15712.4074,4814.026462,1164.09087,3419.231293,951.3605994,2086.87704,1723.106368,1164.545108,389.1696558
2014,20167.12365,11420.5792,3732.021742,1587.762092,3426.760619,14491.39889,4493.918683,1099.274909,3200.547774,889.6745936,1869.276427,1535.896652,1044.762236,358.0476143
2013,18310.757,10410.757,3434.68462705014,1423.26348434663,3042.05214839783,13220.41743,4126.741189,1027.148624,2998.50018,806.486153,1627.081428,1397.681322,912.097749,324.6807833
2012,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
