年份,农村居民人均可支配收入,农村居民人均可支配工资性收入,农村居民人均可支配经营净收入,农村居民人均可支配财产净收入,农村居民人均可支配转移净收入,农村居民人均消费支出,农村居民人均食品烟酒消费支出,农村居民人均衣着消费支出,农村居民人均居住消费支出,农村居民人均生活用品及服务消费支出,农村居民人均交通通信消费支出,农村居民人均教育文化娱乐消费支出,农村居民人均医疗保健消费支出,农村居民人均其他用品及服务消费支出
2019,16020.6676028608,6583.48255310647,5762.18269089216,377.251376220264,3297.7509826419,13327.6690016998,3998.20807066645,713.274656642209,2871.33659664925,763.9201334006,1836.84989928298,1481.84411375256,1420.7619739707,241.473557335022
2018,14617.0302584015,5996.08277348276,5358.43624192534,342.056042825697,2920.45520016764,12124.2658491517,3645.57828311254,647.69988102086,2660.55842558746,720.466057451524,1689.96756018174,1301.57798766167,1240.10736119662,218.310292939231
2017,13432.4257076746,5498.41843728716,5027.81536289981,302.964057038223,2603.22785044942,10954.5291862489,3415.35765129849,611.583876674415,2353.50027752044,634.038612833903,1509.13005278398,1171.25005179585,1058.74810320814,200.920560133649
2016,12363.409296,5021.845949,4741.284935,272.050838,2328.227575,10129.77751,3266.086184,575.439488,2147.082545,595.669222,1359.925336,1070.30183,929.247917,186.015351
2015,11421.7066175067,4600.306759,4503.575426,251.5277294,2066.296703,9222.593892,3047.996656,550.4849582,1926.166706,545.6055817,1163.101529,969.3115588,845.9653988,173.9615038
2014,10488.88259,4152.197894,4237.385914,222.0742523,1877.224527,8382.566949,2813.985113,510.397419,1762.74768,506.4915209,1012.632464,859.5018769,753.8508121,162.9600632
2013,9429.56318500564,3652.50228171697,3934.85624571879,194.710687898419,1647.52462414184,7485.14551968569,2554.41223453652,453.841430256338,1579.83226768758,455.13015245014,874.925972059798,754.609423449388,668.163516521613,144.245742162473
2012,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
