年份,农村居民家庭平均每人消费支出,农村居民家庭平均每人食品消费支出,农村居民家庭平均每人衣着消费支出,农村居民家庭平均每人居住消费支出,农村居民家庭平均每人家庭设备及用品消费支出,农村居民家庭平均每人交通通信消费支出,农村居民家庭平均每人文教娱乐消费支出,农村居民家庭平均每人医疗保健消费支出,农村居民家庭平均每人其他消费支出
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,,,,,,,,,
2015,,,,,,,,,
2014,,,,,,,,,
2013,,,,,,,,,
2012,5908.019579,2323.886226,396.3878012,1086.354992,341.7148713,652.7902738,445.4937327,513.8092388,147.5824424
2011,5221.13,2107.34,341.34,961.45,308.88,547.03,396.36,436.75,121.99
2010,4381.815971,1800.67,264.03,835.19,234.06,461.1,366.72,326.04,94.02
2009,3993.45,1636.04,232.5,805.01,204.81,402.91,340.56,287.54,84.1
2008,3660.68,1598.75,211.8,678.8,173.98,360.18,314.53,245.97,76.67
2007,3223.851103,1388.99,193.45,573.8,149.13,328.4,305.66,210.24,74.19
2006,2829.022733,1216.99,168.04,468.96,126.56,288.76,305.13,191.51,63.07
2005,2555.395105,1162.162292,148.5657616,370.1625969,111.4371726,244.9840333,295.480156,168.0880201,54.51507306
2004,2184.7,1031.91359,120.1642616,324.2519004,89.22629113,192.6334449,247.6280224,130.5624603,48.27288219
2003,1943.3,886.03,110.2658353,308.38,81.65,162.53,235.68,115.75,43.01
2002,1834.31,848.35,105.0,300.16,80.35,128.53,210.31,103.94,57.66
2001,1741.09,830.7213397,98.68464426,279.0581662,76.9791507,109.98,192.6431964,96.610872,56.41519933
2000,1670.13,820.5165186,95.95439996,258.3374941,75.44578246,93.13144303,186.7152662,87.56514142,52.46265402
