年份,纯收入在2000元以下的户数占调查户比重,纯收入在2000-3000元的户数占调查户比重,纯收入在3000-4000元的户数占调查户比重,纯收入在4000-5000元的户数占调查户比重,纯收入在5000-6000元的户数占调查户比重,纯收入在6000-7000元的户数占调查户比重,纯收入在7000-8000元的户数占调查户比重,纯收入在8000-9000元的户数占调查户比重,纯收入在9000-10000元的户数占调查户比重,纯收入在10000-11000元的户数占调查户比重,纯收入在11000-12000元的户数占调查户比重,纯收入在12000-13000元的户数占调查户比重,纯收入在13000-14000元的户数占调查户比重,纯收入在14000-15000元的户数占调查户比重,纯收入在15000-16000元的户数占调查户比重,纯收入在16000-17000元的户数占调查户比重,纯收入在17000-18000元的户数占调查户比重,纯收入在18000-19000元的户数占调查户比重,纯收入在19000-20000元的户数占调查户比重,纯收入在20000元以上的户数占调查户比重
2019,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
2012,5.632570158,7.424051169,9.037897552,9.750008693,9.293225689,8.711382828,7.568083536,6.638690271,5.648498409,4.82591388,3.947450621,3.215905282,2.767995353,2.394186419,1.893095752,1.651329713,1.360465994,1.213014247,0.990566984,6.035667452
2011,7.404191395,9.041012817,10.61850555,10.93088808,10.0915425,9.029436135,7.805082785,6.101431679,5.096890758,4.139032337,3.380839161,2.911441563,2.208530295,1.859033013,1.547994596,1.225610742,0.983338683,0.815570738,0.725443162,4.084155107
2010,9.516058073,12.22173339,13.23507846,12.62061886,10.80070392,8.747616953,6.949699369,5.434814489,4.207361783,3.252676346,2.513565039,1.941633671,1.560346092,1.23625165,1.029476463,0.819768294,0.654054847,0.505939287,0.401818448,2.350784573
2009,13.29373808,14.88634697,15.12245197243,12.90071858,10.3152955,7.850124652,6.069804957,4.333479982,3.268807743,2.567825194,1.884440534,1.533949259,1.121865376,0.929755096,0.715647456,0.560199443,0.454612113,0.356357237,0.268367796,1.566212055
2008,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,
2005,29.42953512,23.91406365,17.12127878,10.57193137,6.300043995,3.77474703,2.542894853,1.695263235,1.27877988,0.846165127,0.632057486,0.456078604,0.290365156,0.221440094,0.190643789,0.111453292,0.104120839,0.08505646,0.061592609,0.372488635
2004,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
