年份,城镇居民家庭调查户数,城镇居民家庭平均每户家庭人口,城镇居民家庭平均每户就业人口,城镇居民家庭平均每一就业者负担人数,城镇居民人均总收入,城镇居民人均工资性收入,城镇居民人均经营净收入,城镇居民人均财产性收入,城镇居民人均转移性收入,城镇居民人均可支配收入,城镇居民家庭人均现金消费支出,城镇居民家庭人均食品消费支出,城镇居民家庭人均衣着消费支出,城镇居民家庭人均居住消费支出,城镇居民家庭人均家庭设备及用品消费支出,城镇居民家庭人均医疗保健消费支出,城镇居民家庭人均交通通信消费支出,城镇居民家庭人均文教娱乐服务消费支出,城镇居民家庭人均其他消费支出
2019,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,
2012,65980.58,2.86,1.49,1.919463087,26958.99,17335.62,2548.29,706.96,6368.12,24564.72,16674.32,6040.85,1823.39,1484.26,1116.06,1063.68,2455.47,2033.5,657.1
2011,65654.83,2.87,1.48,1.939189189,23979.2,15411.91,2209.74,648.97,5708.58,21809.78,15160.89,5506.33,1674.7,1405.01,1023.17,968.98,2149.69,1851.74,581.26
2010,65607.42,2.88,1.49,1.932885906,21033.42,13707.68,1713.51,520.33,5091.9,19109.44,13471.45,4804.71,1444.34,1332.14,908.01,871.77,1983.7,1627.64,499.15
2009,65506.0,2.89,1.49,1.94,18858.09,12382.11,1528.68,431.84,4515.45,17174.65,12264.55,4478.54,1284.2,1228.91,786.94,856.41,1682.57,1472.76,474.21
2008,64675.0,2.91,1.48,1.966216216,17067.78,11298.96,1453.57,387.02,3928.23,15780.76,11242.85,4259.81,1165.91,1145.41,691.83,786.2,1417.12,1358.26,418.31
2007,59305.0,2.91,1.54,1.89,14908.61,10234.76,940.72,348.53,3384.6,13785.8,9997.47,3628.03,1042.0,982.28,601.8,699.09,1357.41,1329.16,357.7
2006,56094.0,2.95,1.53,1.93,12719.19,8766.96,809.56,244.01,2898.66,11759.5,8696.55,3111.92,901.78,904.19,498.48,620.54,1147.12,1203.03,309.49
2005,54496.0,2.96,1.51,1.96,11320.77,7797.54,679.62,192.91,2650.7,10493.0,7942.88,2914.39,800.51,808.66,446.52,600.85,996.72,1097.46,277.75
2004,50430.0,2.98,1.56,1.91,10128.51,7152.76,493.87,161.15,2320.73,9421.6,7182.1,2709.6,686.79,733.53,407.37,528.15,843.62,1032.8,240.24
2003,48028.0,3.01,1.58,1.91,9061.22,6410.22,403.82,134.98,2112.2,8472.2,6510.94,2416.92,637.72,699.38,410.34,475.98,721.12,934.38,215.1
2002,45317.0,3.04,1.58,1.92,8177.4,5739.96,332.16,102.12,2003.16,7702.8,6029.88,2271.84,590.88,624.36,388.68,430.08,626.04,902.28,195.84
2001,43840.0,3.1,1.65,1.88,6907.08,4829.86,274.05,134.62,1668.55,6859.6,5309.01,2014.02,533.66,547.96,438.92,343.28,457.02,690.0,284.13
2000,42220.0,3.13,1.68,1.86,6295.91,4480.5,246.24,128.38,1440.78,6280.0,4998.0,1971.32,500.46,565.29,374.49,318.07,426.95,669.58,171.83
