年份,居民人均可支配收入,城镇居民人均可支配收入,城镇居民人均可支配收入指数(1978=100),农村居民人均可支配收入,农村居民人均可支配收入指数(1978=100),城镇居民家庭恩格尔系数,农村居民家庭恩格尔系数
2019,30732.8475578418,42358.802387989,1708.37800784248,16020.6676028608,2065.98676999313,27.6,30
2018,28228.0485997323,39250.8390000371,1627.62983508997,14617.0302584015,1945.34520678185,27.7,30.1
2017,25973.7874873775,36396.1941513097,1541.56777516406,13432.4257076746,1825.54913246716,28.6,31.2
2016,23820.975412,33616.246549,1448.02754550765,12363.409296,1702.10666016018,29.3,32.2
2015,21966.1852468668,31194.8279058537,1371.46208159862,11421.7066175067,1602.33643689529,,
2014,20167.12365,28843.85378,1287.13633976058,10488.88259,1490.54552269344,,
2013,18310.757,26467.0038374756,1205.39808004209,9429.56318500564,1364.51409932432,35.02,37.66417905
2012,,,,,,,
2011,,,,,,,
2010,,,,,,,
2009,,,,,,,
2008,,,,,,,
2007,,,,,,,
2006,,,,,,,
2005,,,,,,,
2004,,,,,,,
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
