年份,农村居民家庭平均每人转移性纯收入,农村居民低收入户人均转移性纯收入,农村居民中等偏下户人均转移性纯收入,农村居民中等收入户人均转移性纯收入,农村居民中等偏上户人均转移性纯收入,农村居民高收入户人均转移性纯收入
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,,,,,,
2013,,,,,,
2012,686.6962367,332.386616,452.744444,576.7024628,785.8287578,1513.869633
2011,563.32,265.0381217,360.710184,468.6859077,650.2350092,1263.345606
2010,452.92,210.94,288.04,364.82,502.76,1047.37
2009,397.95,194.33,251.49,311.98,436.91,917.07
2008,323.24,159.25,213.72,265.58,355.42,718.16
2007,222.25,101.31,135.88,164.91,236.28,551.69
2006,180.7763141,77.67,109.52,134.84,192.1,448.2
2005,147.42,60.97,83.09,109.52,152.63,380.48
2004,115.54,41.77,64.63,84.25,119.92,307.2
2003,96.83,27.57,43.3,63.11,100.52,287.9
2002,98.19,23.72,45.04,63.85,101.38,297.02
2001,,,,,,
2000,,,,,,
