年份,城镇中等收入户(20%)居民家庭人均消费现金支出,城镇中等收入户(20%)居民家庭人均食品消费现金支出,城镇中等收入户(20%)居民家庭人均粮食消费现金支出,城镇中等收入户(20%)居民家庭人均肉禽及其制品消费现金支出,城镇中等收入户(20%)居民家庭人均蛋类消费现金支出,城镇中等收入户(20%)居民家庭人均水产品消费现金支出,城镇中等收入户(20%)居民家庭人均奶及奶制品消费现金支出,城镇中等收入户(20%)居民家庭人均衣着消费现金支出,城镇中等收入户(20%)居民家庭人均服装消费现金支出,城镇中等收入户(20%)居民家庭人均居住消费现金支出,城镇中等收入户(20%)居民家庭人均住房消费现金支出,城镇中等收入户(20%)居民家庭人均家庭设备及用品消费现金支出,城镇中等收入户(20%)居民家庭人均耐用消费品消费现金支出,城镇中等收入户(20%)居民家庭人均交通通信消费现金支出,城镇中等收入户(20%)居民家庭人均文教娱乐消费现金支出,城镇中等收入户(20%)居民家庭人均文化娱乐用品消费现金支出,城镇中等收入户(20%)居民家庭人均医疗保健消费现金支出,城镇中等收入户(20%)居民家庭人均其他消费现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,15719.94,6061.37,473.18,1249.37,125.68,412.72,260.07,1765.93,1288.06,1384.31,354.81,1033.64,395.16,2063.25,1785.45,404.79,1096.04,529.94
2011,14028.17,5467.09,444.05,1154.47,121.22,345.26,235.83,1628.59,1188.1,1232.7,280.53,923.35,375.27,1762.25,1637.1,401.56,911.03,466.07
2010,12609.43,4773.83,393.05,955.23,102.38,313.76,198.97,1408.1,1020.34,1260.28,348.73,833.59,365.85,1620.62,1421.25,351.15,864.67,427.09
2009,11309.73,4410.49,339.81,904.41,97.09,293.71,200.96,1263.8,900.29,1131.03,301.37,701.08,307.95,1285.03,1290.09,335.78,834.48,393.73
2008,10344.7,4181.25,335.58,930.11,95.93,270.97,191.18,1136.46,808.08,1060.58,269.5,616.31,268.58,1078.83,1171.44,301.81,748.68,351.14
2007,9097.35,3538.3,280.51,717.29,88.16,229.62,165.24,1017.66,725.63,873.89,215.1,545.18,262.47,993.43,1172.43,304.11,646.52,309.95
2006,7905.41,3019.37,246.43,556.63,70.6,188.37,153.18,884.74,628.62,799.32,197.06,444.57,213.17,859.87,1047.48,256.91,590.45,259.6
2005,7308.06,2838.83,241.91,584.52,74.15,176.0,140.44,784.56,558.99,745.49,200.94,397.17,188.12,764.7,985.68,236.6,561.82,229.81
2004,6498.36,2581.24,234.29,534.02,69.18,160.97,131.64,661.21,471.28,642.85,175.01,349.63,167.92,696.36,901.8,212.99,466.86,198.42
2003,5848.02,2293.98,190.53,477.16,60.88,154.27,122.9,617.54,438.1,588.75,165.42,343.06,177.56,598.16,811.91,206.49,415.13,179.54
2002,5452.94,2140.34,186.66,458.68,59.8,149.14,99.15,571.19,398.43,563.31,195.03,331.54,173.9,505.78,797.52,199.55,382.83,160.43
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
