年份,城镇最高收入户(10%)居民家庭人均消费现金支出,城镇最高收入户(10%)居民家庭人均食品消费现金支出,城镇最高收入户(10%)居民家庭人均粮食消费现金支出,城镇最高收入户(10%)居民家庭人均肉禽及其制品消费现金支出,城镇最高收入户(10%)居民家庭人均蛋类消费现金支出,城镇最高收入户(10%)居民家庭人均水产品消费现金支出,城镇最高收入户(10%)居民家庭人均奶及奶制品消费现金支出,城镇最高收入户(10%)居民家庭人均衣着消费现金支出,城镇最高收入户(10%)居民家庭人均服装消费现金支出,城镇最高收入户(10%)居民家庭人均居住消费现金支出,城镇最高收入户(10%)居民家庭人均住房消费现金支出,城镇最高收入户(10%)居民家庭人均家庭设备及用品消费现金支出,城镇最高收入户(10%)居民家庭人均耐用消费品消费现金支出,城镇最高收入户(10%)居民家庭人均交通通信消费现金支出,城镇最高收入户(10%)居民家庭人均文教娱乐消费现金支出,城镇最高收入户(10%)居民家庭人均文化娱乐用品消费现金支出,城镇最高收入户(10%)居民家庭人均医疗保健消费现金支出,城镇最高收入户(10%)居民家庭人均其他消费现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,37661.68,10323.06,564.46,1555.67,147.05,768.17,423.34,3928.48,3019.31,3123.28,1520.36,2807.29,1195.76,7971.14,5431.59,1187.24,1951.11,2125.73
2011,35183.64,9681.71,540.43,1448.27,143.17,677.78,392.7,3699.07,2849.02,3272.7,1715.27,2625.93,1151.64,6912.67,5060.59,1286.92,1959.8,1971.17
2010,31761.63,8535.21,492.37,1242.16,121.8,635.46,346.35,3148.85,2404.12,3014.65,1520.35,2380.63,1112.9,6770.31,4515.23,1171.42,1842.83,1553.92
2009,29004.41,8135.04,407.44,1178.21,114.09,571.42,341.63,2782.3,2092.69,2863.28,1482.11,2114.2,1085.97,5858.67,4116.41,1116.97,1745.91,1388.59
2008,26982.13,7874.14,403.34,1237.89,111.23,551.39,327.43,2643.01,2001.14,2681.92,1355.75,1925.62,977.71,4985.66,3959.34,1112.9,1589.7,1322.74
2007,23337.33,6439.53,325.94,958.33,98.86,491.01,263.96,2162.63,1616.58,2290.13,1174.75,1597.44,826.56,4815.64,3526.23,1013.79,1472.54,1033.17
2006,21061.68,5746.72,272.63,725.79,76.05,417.64,260.34,1956.6,1454.68,2196.59,1134.22,1415.42,719.84,4316.82,3176.07,943.95,1311.35,942.1
2005,19153.73,5367.27,267.05,756.41,79.86,403.67,248.28,1757.59,1312.69,1897.91,903.39,1287.53,663.6,3769.58,2907.99,874.88,1287.67,878.19
2004,16841.82,4914.64,260.68,713.85,74.75,393.58,237.34,1461.11,1095.6,1812.28,963.89,1195.98,621.86,2828.09,2707.79,824.83,1218.42,703.5
2003,14515.68,4332.62,220.08,651.98,68.84,377.1,228.01,1276.08,956.63,1794.64,1012.43,1172.69,657.34,2081.14,2208.97,757.35,1070.24,579.33
2002,13040.65,4100.79,227.52,651.0,68.42,384.98,205.34,1103.16,811.84,1485.72,837.89,1014.63,580.55,1731.09,2148.56,678.65,933.1,523.68
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
