年份,医疗保健和个人用品类农村居民消费价格指数(上年=100),医疗保健类农村居民消费价格指数(上年=100),医疗器具及用品类农村居民消费价格指数(上年=100),中药材及中成药类农村居民消费价格指数(上年=100),西药类农村居民消费价格指数(上年=100),保健器具及用品类农村居民消费价格指数(上年=100),医疗保健服务费类农村居民消费价格指数(上年=100),个人用品及服务类农村居民消费价格指数(上年=100),化妆美容用品类农村居民消费价格指数(上年=100),清洁化妆用品类农村居民消费价格指数(上年=100),个人饰品类农村居民消费价格指数(上年=100),个人服务类农村居民消费价格指数(上年=100)
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,102.34885558,102.77696598,100.81038893,102.06833976,102.69716674,104.23915734,103.08549636,101.3180991,100.60473592,100.68554779,97.44209787,104.81967921
2014,101.5,101.7,99.82167837,102.78163327,101.04867955,103.12277091,101.48831891,101.0,100.81542059,101.06707306,95.75487189,104.92380953
2013,101.8,101.8,100.36362962,103.26063723,99.61147371,101.35248925,103.02057604,101.9,101.19603528,102.14179518,96.28035794,106.64311252
2012,102.14033983,101.76277315,102.88223207,105.0613737,100.4967329,102.83245414,100.92666988,103.05492057,101.19694488,103.05683193,101.40043124,105.71927669
2011,103.29651958,102.92006683,100.38700377,112.55643572,100.184179,103.84671427,100.77694153,104.21989805,100.73570155,101.53327269,108.69239411,105.28330846
2010,103.2,103.4,105.8,111.1,101.3,101.5,101.0,103.0,100.5,100.4,106.8,103.3
2009,101.47824935,101.45294415,101.22917271,101.6185323,101.63638689,101.34849436,101.18293072,101.54668896,100.82699011,101.94536926,97.50319628,104.82045832
2008,103.23400587,102.54773497,98.88999401,107.54258357,101.20162122,102.64322914,101.09213051,104.8650687,100.81998734,101.97601764,108.33652143,106.44036153
2007,102.80260382,102.85915475,98.01613199,108.77202492,99.62541311,100.90064068,103.21752133,102.64762604,100.33925154,100.52469428,103.81158213,104.42007609
2006,101.48532005,100.6318957,96.87247502,99.57841875,98.77952889,100.02575217,103.59988354,103.39745495,100.03795282,99.94943482,109.44937075,102.99003097
2005,100.4598,100.1275,97.1235,95.951,97.7097,99.7764,105.5592,101.1557,99.9636,99.3583,101.2413,102.6059
2004,100.4867,100.0725,101.5941,99.0859,94.1145,96.869,106.8042,101.3471,99.0401,98.8169,102.7013,102.3617
2003,102.4824,103.5489,101.1594,107.3752,95.243,98.1874,109.9741,100.428,98.8843,98.4477,101.1818,101.2468
2002,100.1,100.5,97.3,97.4,95.5,98.6,107.6,99.4,98.3,97.9,99.2,100.6
2001,101.1,102.1,98.0,102.1,96.0,99.2,108.9,99.5,98.2,98.4,98.8,100.8
2000,100.6,100.6,99.5,105.0,97.5,,,,,,,
