年份,食品类农村居民消费价格指数(上年=100),粮食类农村居民消费价格指数(上年=100),淀粉及制品类农村居民消费价格指数(上年=100),干豆类及豆制品类农村居民消费价格指数(上年=100),油脂类农村居民消费价格指数(上年=100),肉禽及其制品类农村居民消费价格指数(上年=100),食用畜肉及副产品类农村居民消费价格指数(上年=100),禽类农村居民消费价格指数(上年=100),加工肉禽类农村居民消费价格指数(上年=100),蛋类农村居民消费价格指数(上年=100),水产品类农村居民消费价格指数(上年=100),鱼类农村居民消费价格指数(上年=100),其他水产品类农村居民消费价格指数(上年=100),菜类农村居民消费价格指数(上年=100),调味品类农村居民消费价格指数(上年=100),糖类农村居民消费价格指数(上年=100),茶及饮料类农村居民消费价格指数(上年=100),茶叶类农村居民消费价格指数(上年=100),饮料类农村居民消费价格指数(上年=100),干鲜瓜果类农村居民消费价格指数(上年=100),糕点饼干类农村居民消费价格指数(上年=100),液体乳及乳制品类农村居民消费价格指数(上年=100),在外用膳食品类农村居民消费价格指数(上年=100),其他食品类农村居民消费价格指数(上年=100)
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,102.43445576,101.65995103,100.87594505,102.12097844,97.26350707,105.51645838,106.7,104.2,101.7,92.92140401,102.15912487,102.2,102.1,106.35893028,103.34659619,100.64491755,101.16315669,101.60109001,100.93073063,98.13153498,101.39797699,99.6416035,102.53925153,100.92418182
2014,102.6,103.1,102.44556398,104.4522147,95.4,99.7,97.7,106.2,102.1,110.3,104.0,102.9,106.6,99.3,103.46029103,99.4,102.1,102.43832881,101.88799622,113.9,101.71259344,106.6,103.4831392,102.023136
2013,104.9,104.8,102.48492128,105.59604362,100.4,104.0,104.4,102.8,103.7,105.0,104.6,103.8,106.7,109.7,104.00413632,99.8,102.2,102.83115822,101.93764279,107.2,102.56200999,103.6,105.95611049,101.72274803
2012,103.99917322,103.61856246,100.96979542,101.37364118,104.08907485,100.23658419,98.8,101.8,105.8,96.79634772,108.96161738,109.2,108.3,113.9025964,103.93356949,103.32385816,103.29008218,103.14585903,103.3657144,100.15446319,104.47828601,102.63849442,106.51816254,103.75789921
2011,112.37796229,112.22040784,116.34098791,105.2111647,113.51734355,123.66938034,128.5,113.9,109.6,113.29733877,111.23551694,112.4,108.5,102.17800485,104.54835294,112.38015449,102.90733214,103.21228127,102.74809464,115.91150794,106.9000449,103.65810305,107.78870089,104.12131789
2010,107.5,112.3,109.1,111.0,104.4,103.5,102.4,107.5,102.5,108.2,106.9,106.5,107.9,120.6,103.5,111.1,101.4,102.7,100.7,116.0,102.1,102.0,103.2,101.5
2009,100.06330183,105.47499086,102.88148935,97.76435611,81.21196118,90.77523519,86.0,99.4,99.7,101.98558454,101.7321418,100.5,104.8,113.97730314,103.01331768,102.07693475,101.43451392,101.04834084,101.63314064,107.47414433,103.29902787,102.28104333,103.48516742,101.75013675
2008,113.97778744,106.66503904,110.78964859,132.29449065,125.90294939,120.00058438,123.6,108.6,117.3,104.3170193,115.04994182,117.9,108.6,111.25425661,104.49783216,102.47181004,103.20777635,102.12766776,103.79068363,110.7236911,107.94300687,113.34730407,111.91639667,107.58547736
2007,113.63174423,106.22768382,106.33700836,108.80172956,128.30147883,131.78927288,139.5,123.8,114.8,121.14593605,106.45867194,106.5,106.3,109.49421073,103.65297798,100.70711075,101.30435071,102.86136057,100.50623643,102.64284052,102.82827188,102.12724148,107.51597429,103.3120442
2006,102.0882425,102.8779958,104.25038222,101.11523408,98.33277691,96.96888204,96.1,96.4,100.2,96.04307486,100.57984496,97.3,108.1,108.3771437,102.46370895,113.36493357,100.7687457,101.39476061,100.42831783,119.93541688,100.98621198,100.75980039,101.44250166,101.23946182
2005,102.4541,101.3165,104.6917,102.9725,94.4146,103.1032,100.6,108.4,105.4,105.3992,105.5011,104.7,108.2,106.8408,101.5229,105.5812,100.1671,100.7496,99.8081,100.6456,101.2141,101.8824,101.7044,100.9671
2004,111.4584,127.6869,109.2723,119.9221,121.7908,117.0583,121.4,113.6,107.7,119.6225,114.6663,118.5,104.4,97.351,100.9908,102.986,99.8404,100.5449,99.383,104.5057,100.9942,101.7644,104.6074,101.3857
2003,103.3942,102.2113,100.8776,106.7324,113.3819,104.2447,106.3,101.5,101.2,98.9829,99.9158,99.8,100.1,113.3767,100.7868,95.5097,98.934,99.9468,98.2265,104.191,99.5806,98.9812,100.2159,99.2363
2002,99.3,98.4,100.5,97.6,98.2,100.0,99.4,101.8,99.9,102.9,95.6,95.6,96.0,99.0,101.5,95.0,98.7,100.2,97.5,103.2,98.3,97.3,99.4,99.1
2001,99.8,99.7,96.7,99.6,92.9,101.4,102.1,101.4,99.2,105.3,97.8,98.2,96.3,100.0,102.0,105.4,99.3,100.6,98.3,98.8,98.7,99.7,99.6,99.3
2000,97.5,88.4,98.5,101.5,87.9,99.4,,,,84.9,100.8,,,105.3,102.1,104.9,,,,97.9,99.0,99.3,99.8,99.0
