年份,居民消费价格指数(上年=100),城市居民消费价格指数(上年=100),农村居民消费价格指数(上年=100),商品零售价格指数(上年=100),工业生产者出厂价格指数(上年=100),工业生产者购进价格指数(上年=100),固定资产投资价格指数(上年=100)
2019,102.9,102.8,103.2,102,99.6793,99.2807,102.5601
2018,102.10452852,102.11657388,102.06738506,101.91053998,103.5391,104.1183,105.37
2017,101.5577222,101.65662406,101.25395289,101.08475731,106.3082,108.0697,105.78
2016,102.00284829,102.05174521,101.85295778,100.74839434,98.6344,98.0301,99.43
2015,101.44082395,101.49489456,101.27947535,100.07245,94.7893,93.891,98.18
2014,102.0,102.1,101.8,100.9985439,98.1124,97.8325,100.51
2013,102.6,102.6,102.8,101.4345825,98.0894,97.9918,100.25
2012,102.64628599,102.68417786,102.53354347,101.96974773,98.282,98.1548,101.12
2011,105.39343318,105.25022403,105.82252444,104.94194641,106.0,109.1,106.6
2010,103.3222,103.2019,103.6111,103.07206,105.5,109.58,103.6
2009,99.3061,99.1464,99.687,98.7986,94.6,92.1,97.6
2008,105.86457,105.5831,106.49524,105.8956,106.9,110.5,108.94
2007,104.7727,104.4846,105.3667,103.7949,103.1,104.4,103.91
2006,101.4678,101.4753,101.4551,101.0282,103.0,106.0,101.5
2005,101.81,101.5936,102.1948,100.7774,104.9,108.3,101.6
2004,103.9,103.3,104.8,102.8,106.1,111.4,105.6
2003,101.2,100.9,101.6,99.9,102.3,104.8,102.2
2002,99.2,99.0,99.6,98.7,97.8,97.7,100.2
2001,100.7,100.7,100.8,99.2,98.7,99.8,100.4
2000,100.4,100.8,99.9,98.5,102.8,105.1,101.1
