年份,城市商品零售价格指数(上年=100),食品类城市商品零售价格指数(上年=100),粮食类城市商品零售价格指数(上年=100),油脂类城市商品零售价格指数(上年=100),肉禽及其制品类城市商品零售价格指数(上年=100),蛋类城市商品零售价格指数(上年=100),水产品类城市商品零售价格指数(上年=100),菜类城市商品零售价格指数(上年=100),调味品类城市商品零售价格指数(上年=100),糖类城市商品零售价格指数(上年=100),干鲜瓜果类城市商品零售价格指数(上年=100),糕点饼干面包类城市商品零售价格指数(上年=100),液体乳及乳制品类城市商品零售价格指数(上年=100),在外用膳食品类城市商品零售价格指数(上年=100),主食类城市商品零售价格指数(上年=100),炒菜类城市商品零售价格指数(上年=100),地方小吃类城市商品零售价格指数(上年=100),其它食品类城市商品零售价格指数(上年=100),饮料、烟酒类城市商品零售价格指数(上年=100),茶及饮料类城市商品零售价格指数(上年=100),烟草类城市商品零售价格指数(上年=100),酒类城市商品零售价格指数(上年=100),服装、鞋帽类城市商品零售价格指数(上年=100),服装类城市商品零售价格指数(上年=100),鞋袜帽类城市商品零售价格指数(上年=100),纺织品类城市商品零售价格指数(上年=100),衣着材料类城市商品零售价格指数(上年=100),床上用品类城市商品零售价格指数(上年=100),家用电器及音像器材类城市商品零售价格指数(上年=100),文化办公用品类城市商品零售价格指数(上年=100),日用品类城市商品零售价格指数(上年=100),日用百货类城市商品零售价格指数(上年=100),日用杂品类城市商品零售价格指数(上年=100),体育娱乐用品类城市商品零售价格指数(上年=100),交通、通信用品类城市商品零售价格指数(上年=100),家具类城市商品零售价格指数(上年=100),化妆品类城市商品零售价格指数(上年=100),金银珠宝类城市商品零售价格指数(上年=100),中西药品及医疗保健用品类城市商品零售价格指数(上年=100),医疗器具及用品类城市商品零售价格指数(上年=100),中药材及中成药类城市商品零售价格指数(上年=100),西药类城市商品零售价格指数(上年=100),书报杂志及电子出版物类城市商品零售价格指数(上年=100),燃料类城市商品零售价格指数(上年=100),建筑材料及五金电料类城市商品零售价格指数(上年=100),建筑装璜材料类城市商品零售价格指数(上年=100),五金电料类城市商品零售价格指数(上年=100)
2019,101.9,107.6,100.6,100.9,,105,100.1,103.9,101.2,,109.5,100.7,101.7,103.3,,,,101.4,101.3,101.5,,102.1,101.6,101.9,100.8,100.7,102,100.4,98.7,99.7,100.7,100.5,,100.3,98.4,101.1,101.5,108.5,103.8,100.7,104.9,104.1,104.6,96.9,101,101.1,100.9
2018,101.87585974,102.17849993,100.71697245,99.72043886,,111.48387125,102.15155269,107.03834622,102.17525749,,103.90528786,102.20062433,101.71147363,102.42399073,,,,101.33405255,101.56551245,101.93491204,,103.13038914,101.19946694,101.53682115,100.2977831,100.84072025,101.60800238,100.63861389,99.40673191,99.91653725,101.05628737,101.42542806,,100.81007244,98.60689395,102.50112298,101.00042529,97.80525306,104.3653792,100.8375624,105.7189221,104.97562329,103.60759187,109.65393568,102.58149101,102.84851428,101.7831001
2017,101.05874729,99.45955952,101.39259363,100.35613997,,96.49220092,104.6983067,92.56641392,102.84943563,,102.69903952,102.09761301,100.3,102.22245695,,,,100.17896773,100.96029466,101.12137566,,102.39380051,101.129419,101.22240297,100.92803089,100.40089489,102.01716988,99.98364535,99.67450129,99.55428104,100.3988175,100.70342013,,100.58673784,98.45725579,101.92421774,101.26082253,101.87529672,105.15668933,100.67983127,105.55400607,105.37778667,101.6210868,108.36230119,101.91576149,102.12111211,101.30666657
2016,100.72347889,103.87461171,100.46330413,101.03586534,,96.74176293,104.65119928,110.68986884,102.23053033,,97.88729802,100.75880296,99.5148864,102.4188182,,,,101.56605701,101.16379839,100.28640759,,100.32372241,101.34792025,101.3917156,101.27259991,100.55875907,101.65769568,100.2789108,98.09315227,98.87507536,100.18916492,100.10095387,,100.41787243,97.75370483,100.68323158,101.16276604,107.09490154,104.08952041,101.12226592,104.74033663,103.59828681,101.30917541,97.10075905,100.31534465,100.26292869,100.47113961
2015,100.00347,102.13594093,102.21271662,96.65524441,104.70793199,92.58614123,101.45776177,107.07690377,104.12951191,100.49661137,97.02357242,101.49145853,98.84516564,102.72032116,102.59530779,102.06731525,104.50790824,100.373588,101.84588723,101.72323494,103.8290161,99.50143582,102.93315545,102.97783817,103.0087238,100.48525633,101.24616302,100.17492196,98.62735262,99.47695465,100.59634166,100.48612396,100.9363079,100.42208961,98.08469171,101.05508431,100.58824528,92.96211068,102.44568266,100.50632335,102.85123428,102.02823503,102.72410472,87.8715602,99.21054971,98.77584703,100.5101142
2014,101.0,103.2,103.2,94.9,100.5,110.9,104.3,98.8,103.00488606,100.37260605,114.1,101.84933095,109.1,103.14694568,104.02368657,102.35592918,105.24538441,101.43429106,99.9,101.7950513,100.16228501,98.23875651,102.5,102.60810377,102.18043664,100.6,102.2503935,99.94230106,98.2,98.7,100.4,100.35434239,100.98846897,100.7,98.5,101.6,100.7,91.8,101.8,100.77303038,103.1,100.3,101.2,99.3,100.4,100.3,100.6
2013,101.3,104.6,104.8,100.3,104.7,104.8,103.9,107.4,103.48305514,100.96957139,105.5,102.51812555,106.2,104.28407969,106.39418007,103.30794987,106.56362787,101.18628011,100.5,102.14002481,100.04238518,99.91594704,102.1,102.36271532,101.60612843,100.9,101.63519791,100.64420352,98.0,98.3,100.7,100.34325519,100.8334169,100.7,97.1,101.4,101.5,91.9,101.5,100.77539313,103.1,100.2,101.2,100.0,100.5,100.4,100.9
2012,101.90171657,105.08299439,103.94776074,105.63317034,102.96101563,97.17983693,107.92760762,113.48831947,104.49297117,104.57175717,99.72070406,104.0822916,103.25501142,106.6949074,106.58995496,106.32551506,108.39096692,105.01910394,103.43284834,104.31091005,100.28982415,106.84474388,102.75917022,103.1006884,101.95764637,101.37061101,104.0974345,100.33310955,97.42280867,97.86720894,102.22169888,101.73413284,101.6606076,100.98366538,95.59385798,101.41395772,102.29324835,100.57226927,102.0397772,102.31639992,104.80796805,100.19720348,101.41237269,102.79516327,100.19697038,99.69544039,101.73874242
2011,104.73466585,111.77828509,112.15743872,113.44895307,122.35206526,114.8883,112.41254809,100.47391375,106.12928646,110.41852027,116.04745777,108.66253051,105.44394413,108.38627282,109.18940472,107.38878407,112.85791841,106.56290495,103.54821754,104.27904551,100.50914985,107.1734067,102.05273006,102.63843712,100.58607463,105.90331461,109.84832838,104.47584267,96.5091339,97.0991222,102.44590227,102.67508542,102.08324714,101.01007482,95.84691508,102.64765283,101.41684327,113.60926116,103.77329001,102.60007688,111.73178228,99.45184047,100.79712599,110.86907406,104.74394481,105.23571634,103.26056156
2010,102.84324,107.5,111.7,103.4,102.7,108.4,108.9,118.4,104.5,106.7,113.8,102.6,103.2,103.8,102.9,103.8,105.3,102.2,101.8,101.7,100.5,104.1,98.8,99.1,97.9,101.0,102.6,100.2,95.5,97.2,100.2,100.6,100.3,97.7,95.3,100.2,100.4,114.3,104.1,103.4,110.8,101.0,101.1,112.3,103.4,103.8,101.9
