年份,连锁餐饮企业统一配送商品购进额_x,内资连锁餐饮企业统一配送商品购进额,国有连锁餐饮企业统一配送商品购进额,集体连锁餐饮企业统一配送商品购进额,股份合作连锁餐饮企业统一配送商品购进额,有限责任公司连锁餐饮企业统一配送商品购进额,国有独资公司连锁餐饮企业统一配送商品购进额,其他有限责任公司连锁餐饮企业统一配送商品购进额,股份有限公司连锁餐饮企业统一配送商品购进额,私营连锁餐饮企业统一配送商品购进额,私营独资连锁餐饮企业统一配送商品购进额,私营合伙连锁餐饮企业统一配送商品购进额,私营有限责任公司连锁餐饮企业统一配送商品购进额,私营股份有限公司连锁餐饮企业统一配送商品购进额,其他连锁餐饮企业统一配送商品购进额,港、澳、台商投资连锁餐饮企业统一配送商品购进额,港、澳、台商合资经营连锁餐饮企业统一配送商品购进额,港、澳、台商合作经营连锁餐饮企业统一配送商品购进额,港、澳、台商独资经营连锁餐饮企业统一配送商品购进额,港、澳、台商投资股份有限公司连锁餐饮企业统一配送商品购进额,其他港澳台商投资连锁餐饮企业统一配送商品购进额,外商投资连锁餐饮企业统一配送商品购进额,中外合资经营连锁餐饮企业统一配送商品购进额,中外合作经营连锁餐饮企业统一配送商品购进额,外资连锁餐饮企业统一配送商品购进额,外商投资股份有限公司连锁餐饮企业统一配送商品购进额,其他外商投资连锁餐饮企业统一配送商品购进额,连锁餐饮企业统一配送商品购进额_y,正餐服务业统一配送商品购进额,快餐服务业统一配送商品购进额,饮料及冷饮服务业统一配送商品购进额,其他餐饮企业服务业统一配送商品购进额
2019,563.6274,128.0609,1.8755,0.4517,0.0605,49.9636,,49.9636,21.9937,53.6319,0.0869,,53.4048,0.1402,0.084,160.6599,44.2497,1.3912,114.6751,0.2791,0.0648,274.9066,48.0565,,206.3945,19.8067,0.6489,563.6274,128.0491,367.6864,64.245,3.6469
2018,504.09,114.1055,1.9177,0.4836,0.035,39.2528,0.065,39.1878,25.241,47.1553,0.1143,,46.849,0.192,0.02,146.1167,39.3125,1.2683,105.0122,0.4755,0.0483,243.8702,45.3756,,185.9878,11.9399,0.567,504.09,112.6811,341.0285,47.6079,2.7749
2017,489.4576,118.0343,1.7576,0.5733,0.0425,48.4634,0.1642,48.2991,22.351,44.8219,1.0525,,43.4965,0.273,0.0247,118.8222,31.7331,1.3499,85.6655,0.0737,,252.6011,43.8965,,199.6567,8.8227,0.2252,489.4576,105.9114,341.0904,37.1983,5.2575
2016,563.6274,159.2089,1.6123,0.6477,0.074,67.0295,0.2196,66.81,42.0496,47.7708,1.1673,,46.2866,0.3169,0.025,78.4048,28.9648,1.0961,48.2541,0.0898,,256.4903,42.5156,,213.7527,,0.222,563.6274,136.9461,326.2254,24.925,6.0075
2015,462.4952,149.7352,0.9623,0.5824,0.0918,63.6823,0.2755,63.4068,39.0034,45.3799,2.1088,,41.0904,2.1806,0.0331,56.4431,12.922,0.9798,42.5414,,,256.3169,52.4303,,203.4279,0.0542,0.4046,462.4952,130.6412,306.0823,20.1216,5.6501
2014,413.8769,109.4862,0.9709,0.6613,0.0913,40.6396,,40.6396,15.2999,51.7782,5.4585,,42.3808,3.9389,0.0449,57.7544,13.2859,0.8376,43.6309,,,246.6364,53.7422,,192.28,0.1685,0.4457,413.8769,108.9328,278.0613,20.7934,6.0894
2013,400.7211,97.9764,1.0502,0.7746,0.1185,35.1374,,35.1374,14.5198,46.3327,3.1748,,39.5121,3.6458,0.0433,52.4677,12.2264,0.95,39.2912,,,250.277,52.4252,,197.563,0.2888,,400.7211,100.9223,278.7806,15.724,5.2943
2012,388.4763,98.08558,0.88001,1.22486,0.05342,31.53259,,31.53259,19.33849,44.98813,1.35734,,37.66853,5.96226,0.06808,49.81324,14.1431,1.02008,34.65006,,,240.57748,51.5776,0.48426,188.51562,,,388.4763,95.12014,275.92025,12.62647,4.80944
2011,343.07136,88.23852,0.06927,1.20384,0.8464,27.26523,,27.26523,15.65231,42.0959,0.7332,,33.77556,7.58714,1.10557,47.25908,19.62617,1.1313,26.50161,,,207.57376,44.9607,0.43831,153.21415,8.9606,,343.07136,93.51392,237.74917,7.12547,4.6828
2010,298.7571,,,,,,,,,,,,,,,,,,,,,,,,,,,298.7571,,,,
2009,239.8409,,,,,,,,,,,,,,,,,,,,,,,,,,,239.8409,,,,
2008,192.51738,,,,,,,,,,,,,,,,,,,,,,,,,,,192.51738,,,,
2007,168.8015,,,,,,,,,,,,,,,,,,,,,,,,,,,168.8015,47.0137,116.0897,1.6221,4.076
2006,127.5,,,,,,,,,,,,,,,,,,,,,,,,,,,127.5,52.6923,92.4487,3.125,3.7577
2005,109.1,,,,,,,,,,,,,,,,,,,,,,,,,,,109.1,39.8871,67.4313,0.6304,1.1024
2004,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
