年份,连锁餐饮企业餐位数,内资连锁餐饮企业餐位数,国有连锁餐饮企业餐位数,集体连锁餐饮企业餐位数,股份合作连锁餐饮企业餐位数,有限责任公司连锁餐饮企业餐位数,国有独资公司连锁餐饮企业餐位数,其他有限责任公司连锁餐饮企业餐位数,股份有限公司连锁餐饮企业餐位数,私营连锁餐饮企业餐位数,私营独资连锁餐饮企业餐位数,私营合伙连锁餐饮企业餐位数,私营有限责任公司连锁餐饮企业餐位数,私营股份有限公司连锁餐饮企业餐位数,其他连锁餐饮企业餐位数,港、澳、台商投资连锁餐饮企业餐位数,港、澳、台商合资经营连锁餐饮企业餐位数,港、澳、台商合作经营连锁餐饮企业餐位数,港、澳、台商独资经营连锁餐饮企业餐位数,港、澳、台商投资股份有限公司连锁餐饮企业餐位数,其他港澳台商投资连锁餐饮企业餐位数,外商投资连锁餐饮企业餐位数,中外合资经营连锁餐饮企业餐位数,中外合作经营连锁餐饮企业餐位数,外资连锁餐饮企业餐位数,外商投资股份有限公司连锁餐饮企业餐位数,其他外商投资连锁餐饮企业餐位数,正餐服务业餐位数,快餐服务业餐位数,饮料及冷饮服务业餐位数,其他餐饮企业服务业餐位数
2019,346.6131,121.0053,0.9791,0.23,0.246,45.0233,,45.0233,19.3325,54.9915,1.2339,0.163,53.3719,0.2227,0.2029,84.6626,10.9174,0.2,72.8199,0.671,0.0543,140.9452,23.9277,,99.856,3.5775,13.584,132.4616,179.1247,33.7498,1.277
2018,332.6,127.2077,1.1298,0.23,0.257,36.884,0.02,36.864,19.6195,69.0573,1.2386,,67.4612,0.3575,0.0301,68.3138,9.9213,0.17,57.471,0.6999,0.0516,137.1138,22.8692,,97.3858,2.9928,13.866,137.8899,169.1543,24.3848,1.2063
2017,337.9213,144.3185,1.0756,0.3,0.257,51.2783,0.4328,50.8455,23.8889,67.4626,1.9542,,64.9594,0.549,0.0561,57.9137,9.7395,0.17,47.6695,0.3347,,135.6891,23.0651,,98.0837,2.6422,11.8981,151.5592,161.9865,21.6221,2.7535
2016,346.6131,154.9919,1.197,0.3225,0.2212,57.4519,0.8802,56.5717,27.9999,67.5758,1.7232,,65.1506,0.702,0.2236,49.0496,10.9564,0.17,37.4681,0.4551,,137.083,24.2302,0.55,101.0164,,11.2864,159.6602,161.0265,15.6109,4.8269
2015,333.6075,157.7769,0.8208,0.3225,0.1855,58.7239,0.9668,57.7571,26.1857,71.276,1.791,,65.1817,4.3033,0.2625,40.8611,6.3301,0.17,34.3362,0.0248,,134.9695,26.1711,0.55,97.599,,10.6494,164.0666,152.9286,11.8649,4.7474
2014,338.6048,151.8782,0.7985,0.3225,0.2104,55.7815,0.9968,54.7847,19.3239,75.2202,3.5207,,66.2299,5.4696,0.2212,37.6407,7.4239,0.17,29.9946,0.0522,,149.0859,29.9819,0.55,110.9105,0.1468,7.4967,181.8576,142.9299,8.7028,5.1145
2013,319.472,148.5473,0.8487,0.3255,0.2104,55.7249,0.9842,54.7407,19.2642,71.9506,3.3842,,63.2229,5.3435,0.223,31.6146,7.1254,0.199,24.238,0.0522,,139.3101,28.0881,0.55,110.3882,0.2838,,176.5706,132.1777,6.3239,4.3998
2012,286.4565,143.4522,0.645,0.4055,0.2304,52.6779,1.1129,51.565,19.1567,70.2247,3.1157,0.09,61.1214,5.8976,0.112,25.1246,7.5836,0.248,17.2408,0.0522,,117.8797,24.8435,0.8553,92.1809,,,164.1199,117.2688,3.8023,1.2655
2011,277.0712,132.9188,0.4745,0.4435,0.8856,45.4848,1.1177,44.3671,15.641,69.152,3.0636,,60.08,6.0084,0.8374,25.8572,8.1247,0.2136,15.8704,1.6485,,118.2952,23.1491,0.8066,82.2095,12.13,,162.4837,109.4399,3.2876,1.86
2010,263.7968,129.3,0.5,0.8,0.4,44.4,1.0,43.5,20.4,60.1,2.6,0.2,51.7,5.7,2.6,22.9,6.6,0.8,13.9,1.6,,111.6,19.4,1.5,88.2,2.5,,,,,
2009,248.9416,127.4404,0.4129,0.437,2.0878,46.8808,,46.8808,15.4304,61.3733,2.5517,0.7767,53.5575,4.4874,0.8182,21.481,3.6925,0.7767,13.105,3.9068,,100.0202,18.252,2.0607,69.9975,9.71,,,,,
2008,253.0675,158.7479,0.2726,0.3746,0.9883,35.0889,,35.0889,15.5103,106.1647,9.5618,0.6853,93.1277,2.7899,0.3485,14.4761,2.1418,0.458,8.4796,3.3967,,79.8435,17.8078,1.9811,58.6946,1.36,,176.8429,70.2317,1.6181,4.3748
2007,280.0482,153.396,0.2596,0.3746,0.8652,34.9897,0.11,34.9897,15.2469,101.335,9.107,0.3092,91.2792,0.6396,0.325,13.2328,1.9569,0.4208,7.8239,3.0312,,65.5118,14.9447,1.928,47.3841,1.255,,169.2907,58.7782,1.2871,2.7846
2006,274.8,150.6258,1.0466,0.3885,2.1568,52.6342,0.099,52.5352,3.8068,90.1029,15.4051,0.7844,62.5089,11.4045,0.49,7.5647,3.7254,0.1206,3.7187,0.0,,152.3041,12.9287,8.3934,32.502,98.48,,246.2,56.251,4.3621,3.6815
2005,245.8,103.5439,1.0368,0.1406,0.7273,30.23,0.0,30.23,4.0213,66.9049,9.1595,0.8224,55.8492,1.0738,0.483,7.2833,3.7897,0.3858,3.1078,0.0,,134.9756,13.1963,5.137,18.2223,98.42,,191.6269,49.1958,3.0868,1.8933
2004,180.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
