年份,住宿业企业负债合计,内资住宿业企业负债合计,国有住宿业企业负债合计,集体住宿业企业负债合计,股份合作住宿业企业负债合计,联营住宿业企业负债合计,国有联营住宿业企业负债合计,集体联营住宿业企业负债合计,国有与集体联营住宿业企业负债合计,其他联营住宿业企业负债合计,有限责任公司住宿业企业负债合计,国有独资公司住宿业企业负债合计,其他有限责任公司住宿业企业负债合计,股份有限公司住宿业企业负债合计,私营住宿业企业负债合计,私营独资住宿业企业负债合计,私营合伙住宿业企业负债合计,私营有限责任公司住宿业企业负债合计,私营股份有限公司住宿业企业负债合计,其他住宿业企业负债合计,港、澳、台商投资住宿业企业负债合计,港、澳、台商合资经营住宿业企业负债合计,港、澳、台商合作经营住宿业企业负债合计,港、澳、台商独资经营住宿业企业负债合计,港、澳、台商投资股份有限公司住宿业企业负债合计,其他港澳台商投资住宿业企业负债合计,外商投资住宿业企业负债合计,中外合资经营住宿业企业负债合计,中外合作经营住宿业企业负债合计,外资住宿业企业负债合计,外商投资股份有限公司住宿业企业负债合计,其他外商投资住宿业企业负债合计,旅游饭店负债合计,一般旅馆负债合计,民宿服务负债合计,露营地服务负债合计,其他住宿业负债合计
2019,11265.6996,9237.1182,462.1236,47.6369,10.8409,4.1585,2.5945,,,,4597.4683,459.4723,4137.9958,415.9482,3698.6714,51.7836,12.1501,3542.6071,92.1314,0.271,1206.4796,636.1785,45.4925,517.9285,3.8041,3.0763,822.1024,221.348,53.6989,523.3855,15.1299,8.5404,9187.3408,1720.8383,17.5356,3.1686,336.8156
2018,10099.0,8353.8,472.1,48.3,11.7,4.6,2.7,1.3,,,4499.2,387.0,4112.2,351.6,2964.5,57.4,13.4,2836.2,57.5,1.8,1126.9,569.2,56.3,482.0,12.7,6.7,618.3,202.3,75.6,332.0,7.9,0.5,8598.2,1213.0,59.6,0.2,228.1
2017,9279.1036,7696.346,536.5,52.283,15.416,4.068,2.247,1.314,0.384,0.123,4419.253,384.245,4035.009,282.811,2373.989,56.325,13.238,2218.694,85.732,12.026,1072.169,493.656,59.279,488.49,22.357,8.387,510.59,243.312,97.914,160.325,5.545,3.495,7868.455,1166.915,,,243.733
2016,8794.1935,7157.3411,609.9395,63.8405,15.4615,15.5276,2.3849,1.5345,11.5538,0.0544,4043.5337,307.4108,3736.1229,302.2031,2085.619,58.6086,14.6521,1918.8057,93.5527,21.2178,1134.0134,487.2484,106.3873,510.7729,24.0529,5.5525,502.8388,186.3489,99.8442,173.5597,45.7734,-2.6872,7559.3349,1030.0404,,,204.8189
2015,8451.8903,6924.1384,662.818,77.3,14.787,4.2574,3.7378,0.5997,-0.6436,0.5635,3766.2287,243.5147,3522.7138,282.4846,2089.9825,70.9639,14.9092,1893.5912,110.5187,26.2808,1031.1799,455.2824,108.5801,445.3642,17.3407,4.6133,496.5721,215.9445,71.485,167.701,42.1786,-0.7369,7323.3214,931.6706,,,196.8988
2014,8070.8,6538.2,683.50243,86.61907,19.18793,7.79939,3.4839,0.4783,3.34041,0.49678,3432.6,229.52299,3203.1,280.36635,1999.89029,72.64244,15.35408,1785.51192,126.38185,28.15444,1006.84452,463.1339,114.32321,399.24687,28.58226,1.55828,525.81474,219.09128,77.20227,187.1034,41.26372,1.15407,7024.1724,887.9699,,,158.7
2013,7356.71832,5961.03743,674.81054,89.41372,20.52182,7.93689,3.7353,0.87705,2.78733,0.53721,3001.30581,199.91294,2801.39287,279.14543,1859.53754,85.89196,15.99504,1638.46596,119.18458,28.36568,897.19488,441.03251,108.67662,316.95661,25.22302,5.30612,498.48601,228.72632,83.34476,149.56239,35.37897,1.47357,6393.19809,811.83613,,,151.6841
2012,6504.59592,5219.25385,907.41934,107.90757,31.18562,13.44945,5.75516,1.37765,4.3962,1.92044,2242.61325,84.24359,2158.36966,201.41539,1537.84407,163.66752,40.59,1226.97268,106.61387,177.41916,778.06952,401.79994,108.39469,239.20699,26.97168,1.69622,507.27255,214.70539,88.86376,164.17734,33.62447,5.90159,5775.19247,641.44918,,,87.95427
2011,5766.7,4506.5,861.9,97.6,37.7,14.8,6.8,1.1,4.5,2.3,1814.5,85.5,1729.0,214.9,1349.5,142.6,38.0,1069.8,99.1,115.6,777.9,415.3,98.6,240.9,20.6,2.5,482.3,201.8,82.0,135.1,60.2,3.2,5122.7,556.3,,,87.7
2010,5157.9,3972.4,849.7,97.9,31.9,17.7,6.5,2.5,5.6,3.1,1500.1,73.9,1426.2,169.5,1265.6,158.1,39.6,995.2,72.7,40.0,734.8,388.0,98.0,236.2,12.6,,450.7,190.3,81.2,165.3,13.9,,4577.2,506.5,,,74.2
