年份,餐饮业企业主营业务税金及附加,内资餐饮业企业主营业务税金及附加,国有餐饮业企业主营业务税金及附加,集体餐饮业企业主营业务税金及附加,股份合作餐饮业企业主营业务税金及附加,联营餐饮业企业主营业务税金及附加,国有联营餐饮业企业主营业务税金及附加,集体联营餐饮业企业主营业务税金及附加,国有与集体联营餐饮业企业主营业务税金及附加,其他联营餐饮业企业主营业务税金及附加,有限责任公司餐饮业企业主营业务税金及附加,国有独资公司餐饮业企业主营业务税金及附加,其他有限责任公司餐饮业企业主营业务税金及附加,股份有限公司餐饮业企业主营业务税金及附加,私营餐饮业企业主营业务税金及附加,私营独资餐饮业企业主营业务税金及附加,私营合伙餐饮业企业主营业务税金及附加,私营有限责任公司餐饮业企业主营业务税金及附加,私营股份有限公司餐饮业企业主营业务税金及附加,其他餐饮业企业主营业务税金及附加,港、澳、台商投资餐饮业企业主营业务税金及附加,港、澳、台商合资经营餐饮业企业主营业务税金及附加,港、澳、台商合作经营餐饮业企业主营业务税金及附加,港、澳、台商独资经营餐饮业企业主营业务税金及附加,港、澳、台商投资股份有限公司餐饮业企业主营业务税金及附加,其他港澳台商投资餐饮业企业主营业务税金及附加,外商投资餐饮业企业主营业务税金及附加,中外合资经营餐饮业企业主营业务税金及附加,中外合作经营餐饮业企业主营业务税金及附加,外资餐饮业企业主营业务税金及附加,外商投资股份有限公司餐饮业企业主营业务税金及附加,其他外商投资餐饮业企业主营业务税金及附加,正餐服务业主营业务税金及附加,快餐服务业主营业务税金及附加,饮料及冷饮服务业主营业务税金及附加,餐饮配送及外卖送餐服务主营业务税金及附加,其他餐饮服务业主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,36.5,34.2,0.6,0.7,0.1,,,,,,9.0,0.5,8.5,1.2,22.6,3.5,0.5,18.0,0.6,0.1,1.4,0.2,0.1,1.1,,,0.8,0.1,,0.6,,0.1,33.1,2.0,0.3,0.6,0.4
2017,48.3374,45.064,0.942,0.247,0.103,,,,,,13.335,0.404,12.931,1.844,27.8,5.666,0.455,20.651,1.027,0.783,1.211,0.239,0.129,0.821,,,2.062,0.16,,1.728,0.072,0.081,43.589,3.254,0.386,,1.109
2016,122.304,95.8785,1.6225,0.5908,0.3429,,,,,,28.517,1.1817,27.3358,3.3714,59.8132,11.1457,0.9925,45.2198,2.4553,1.6113,9.8547,1.954,0.2986,7.5045,0.0603,,16.571,3.3944,0.1388,12.388,0.0823,0.5676,96.1361,19.193,3.2419,,3.7332
2015,247.1298,178.4322,2.9075,0.9838,0.7467,0.0268,,0.0268,,,61.5938,1.6987,59.8954,5.1398,104.5303,15.8452,1.7324,81.9064,5.0465,2.5042,22.4101,3.7265,0.8302,17.5286,0.1677,0.1574,46.288,10.1041,0.4384,35.4748,0.2155,0.0554,182.4196,49.5819,7.517,,7.6118
2014,227.5365,163.30563,3.11471,1.09217,0.87303,0.0412,,0.0412,,,49.0984,1.91193,47.18647,5.68214,100.74636,15.93431,1.79704,78.9958,4.01921,2.65762,21.32292,3.85117,0.94865,16.36544,0.13102,0.02664,42.90791,9.9908,0.64976,31.89044,0.25222,0.12469,168.55705,45.86859,6.2229,,6.88792
2013,232.59055,169.53848,3.33199,1.21287,0.96551,,,,,,48.90008,1.58567,47.31441,6.14455,105.86578,18.1745,2.09826,81.00655,4.58647,3.06861,18.96021,3.5938,1.04977,14.19475,0.11065,,44.09186,9.74418,0.68147,33.33771,0.22643,0.10207,175.17019,45.93285,4.41214,,7.07537
2012,222.30366,163.17418,4.72158,1.59441,1.3999,0.11274,,,,0.05897,44.6963,0.72438,43.97192,6.13753,96.98556,19.06647,2.80644,70.71968,4.39297,7.52616,16.39631,2.70991,1.04565,12.48817,0.13416,,42.73317,10.66993,0.84805,30.97644,0.17773,0.06102,170.75511,43.15133,3.29635,,5.10087
2011,196.7969,142.214,4.257,1.6031,1.5598,0.1244,,,,0.0715,35.478,0.518,34.96,5.9438,86.8527,16.7694,3.1045,62.4232,4.5557,6.3953,16.7529,4.6597,0.8577,10.6369,0.5901,,37.83,9.8605,0.8223,26.7905,0.2579,0.099,148.4986,40.3732,2.1198,,5.8054
2010,164.9,124.5,4.0,1.7,1.4,0.1,,,,0.1,26.3,0.4,25.9,4.8,82.8,19.4,3.5,54.5,5.4,3.4,12.7,3.8,1.1,7.4,0.4,,27.8,6.3,0.9,19.8,0.8,,128.8,28.8,1.7,,5.7
2009,136.56085,102.77634,3.3818,1.63941,1.31947,0.09647,,,,0.07864,20.3261,0.09059,20.23551,4.00924,69.40601,16.95195,3.1078,45.57878,3.76748,2.59784,10.56942,2.18999,0.63433,6.42205,1.32305,,23.21509,5.44704,1.19794,15.88488,0.68523,,106.26685,24.87771,1.6641,,3.75219
2008,139.5888,103.5714,3.0844,1.5682,1.3416,0.2165,,,,0.1632,18.169,0.1004,18.0685,3.6163,72.5171,21.7658,3.4035,44.1526,3.1951,3.0583,9.9228,2.1765,0.5977,5.9286,1.2198,,26.0947,5.3831,1.089,19.0721,0.5504,,112.5751,22.2933,1.3865,,3.3339
2007,95.41104,70.70067,2.52674,1.6642,1.26688,0.27768,0.06821,,,0.16705,13.75072,0.07396,13.67676,2.29836,47.56313,10.20718,2.24634,32.93043,2.17918,1.35296,5.91544,1.91666,0.41584,3.47222,0.11072,,18.79493,6.1432,2.27313,10.3411,,,76.02812,17.08989,0.64723,,1.6458
2006,77.59439,57.3044,2.4954,1.3776,1.5816,0.2062,,,,0.1087,10.7446,0.0657,10.679,2.049,37.8245,7.457,1.6635,27.019,1.6849,1.0256,5.2404,1.5909,0.6721,2.9624,,,15.0496,5.3483,1.9639,7.6904,,,61.9419,13.6005,0.6083,,1.4436
2005,64.33296,47.91444,2.27746,1.45963,1.29645,0.28005,,,,0.1898,9.0212,0.05016,8.97104,1.98026,30.94413,5.57991,1.52418,22.21918,1.62076,0.64981,5.01389,2.38471,0.67103,1.94073,,,11.40453,4.01913,1.94457,5.38391,0.05692,,52.22268,10.33269,0.34434,,1.43315
2004,62.20406,46.52332,2.5993,1.55251,1.36363,0.20453,0.06365,0.02813,0.00981,0.10294,8.7999,0.07389,8.72601,1.74021,29.84226,5.23027,1.60571,21.35161,1.65467,0.42098,4.70752,2.44389,0.71892,1.54142,0.00329,0.0,10.97322,4.07541,2.55112,4.32497,0.02172,,50.46844,10.18596,0.41684,,1.13282
