年份,餐饮业企业餐费收入,内资餐饮业企业餐费收入,国有餐饮业企业餐费收入,集体餐饮业企业餐费收入,股份合作餐饮业企业餐费收入,联营餐饮业企业餐费收入,国有联营餐饮业企业餐费收入,集体联营餐饮业企业餐费收入,国有与集体联营餐饮业企业餐费收入,其他联营餐饮业企业餐费收入,有限责任公司餐饮业企业餐费收入,国有独资公司餐饮业企业餐费收入,其他有限责任公司餐饮业企业餐费收入,股份有限公司餐饮业企业餐费收入,私营餐饮业企业餐费收入,私营独资餐饮业企业餐费收入,私营合伙餐饮业企业餐费收入,私营有限责任公司餐饮业企业餐费收入,私营股份有限公司餐饮业企业餐费收入,其他餐饮业企业餐费收入,港、澳、台商投资餐饮业企业餐费收入,港、澳、台商合资经营餐饮业企业餐费收入,港、澳、台商合作经营餐饮业企业餐费收入,港、澳、台商独资经营餐饮业企业餐费收入,港、澳、台商投资股份有限公司餐饮业企业餐费收入,其他港澳台商投资餐饮业企业餐费收入,外商投资餐饮业企业餐费收入,中外合资经营餐饮业企业餐费收入,中外合作经营餐饮业企业餐费收入,外资餐饮业企业餐费收入,外商投资股份有限公司餐饮业企业餐费收入,其他外商投资餐饮业企业餐费收入,正餐服务业餐费收入,快餐服务业餐费收入,饮料及冷饮服务业餐费收入,餐饮配送及外卖送餐服务餐费收入,其他餐饮服务业餐费收入
2019,5886.5811,4077.4159,29.4916,11.9774,12.7693,0.7611,,0.6005,,,1150.1957,35.7037,1114.4921,116.4831,2753.728,222.976,35.9849,2428.0761,66.691,2.0104,786.3366,133.4767,12.0226,614.1351,25.4544,1.2476,1022.8288,205.4898,2.717,747.3577,3.2943,63.97,3759.3553,1396.3699,352.5905,203.1606,175.105
2018,4997.7,3388.1,31.8,12.7,12.2,0.9,,0.7,,,972.3,27.9,944.4,111.3,2241.8,214.3,30.5,1936.2,60.8,5.1,709.6,126.8,11.9,567.4,2.9,0.6,900.0,182.0,2.8,675.7,2.0,37.5,3265.4,1224.1,251.5,143.9,112.7
2017,4732.0996,3215.1735,40.399,17.912,11.912,0.742,,0.597,,0.145,984.141,23.485,960.6596,121.137,2010.2794,256.849,27.468,1657.9629,67.999,28.65,642.819,117.372,16.389,506.234,1.465,1.359,874.107,184.257,5.113,627.739,25.646,31.351,3137.9746,1185.021,204.76,,204.344
2016,4562.142,3215.6612,46.6428,18.8972,11.6742,0.6514,,0.6514,,,964.6105,28.7951,935.8154,119.2074,2012.9364,316.2509,33.3044,1573.8259,89.5559,41.0414,511.7085,101.1513,14.9799,391.5933,2.7563,1.2276,834.7725,177.5609,5.1404,623.084,2.7422,26.2449,3182.4387,1016.2943,169.1604,,194.2489
2015,4343.4656,3063.1464,47.0447,17.8698,12.0841,0.8315,,0.8315,,,922.6292,22.8015,899.8274,104.8146,1913.0398,321.5679,35.8565,1458.2468,97.3688,44.8335,414.0827,69.2885,16.8083,322.4786,2.776,2.7314,866.2372,191.6129,6.1512,663.745,3.8308,0.8973,3068.6078,956.6144,147.3925,,170.8514
2014,4120.2,2897.1,48.49761,19.26885,13.6546,3.72454,,3.72454,,,816.82468,25.95501,790.86967,107.10623,1842.0,309.91949,36.72774,1421.0,74.35066,46.00584,393.80962,70.58583,18.44891,301.86676,2.35568,0.55244,829.3,186.7,10.22895,626.40739,4.46368,1.5407,2938.3,911.22869,120.54703,,150.2
2013,4056.06701,2902.68389,50.25611,20.87171,14.83919,3.62212,,3.62212,,,784.26414,22.92259,761.34155,116.57988,1863.53505,346.60325,40.02275,1398.69771,78.21134,48.71569,340.9579,65.7378,19.90343,253.219,1.86816,0.22951,812.42522,179.81331,11.02741,616.18837,4.24521,1.15092,2956.37867,882.74436,80.26331,,136.68067
2012,3966.72943,2859.21943,74.83258,27.70653,22.23969,4.43213,0.10813,3.37744,,0.94656,732.46006,10.04008,722.41998,114.09862,1757.67336,387.80472,54.69536,1236.55105,78.62223,125.77646,323.23944,77.31607,20.48499,222.81498,2.29023,0.33317,784.27056,188.50188,13.43886,576.36515,4.84803,1.11664,2930.72735,871.20919,62.29601,,102.49688
2011,3433.7743,2466.4623,68.3758,27.8233,24.5415,3.8483,0.2133,2.2146,0.2019,1.2185,569.3158,6.9146,562.4012,99.0901,1558.6248,347.8524,60.3366,1070.6773,79.7585,114.8427,289.0449,78.1004,15.9672,184.6399,10.2172,0.1202,678.2671,172.782,11.9834,487.447,4.4608,1.5939,2542.7559,740.0405,36.9863,,113.9916
2010,2893.228,2118.4,55.8,27.9,24.3,2.3,0.1,0.4,0.3,1.5,416.4,6.5,409.9,84.3,1452.8,369.8,63.1,923.0,96.9,54.6,235.5,68.8,13.7,144.4,8.7,,539.2,119.6,16.3,388.2,15.1,,2194.3,566.9,31.4,,100.6
