年份,餐饮业企业固定资产合计,内资餐饮业企业固定资产合计,国有餐饮业企业固定资产合计,集体餐饮业企业固定资产合计,股份合作餐饮业企业固定资产合计,联营餐饮业企业固定资产合计,国有联营餐饮业企业固定资产合计,集体联营餐饮业企业固定资产合计,国有与集体联营餐饮业企业固定资产合计,其他联营餐饮业企业固定资产合计,有限责任公司餐饮业企业固定资产合计,国有独资公司餐饮业企业固定资产合计,其他有限责任公司餐饮业企业固定资产合计,股份有限公司餐饮业企业固定资产合计,私营餐饮业企业固定资产合计,私营独资餐饮业企业固定资产合计,私营合伙餐饮业企业固定资产合计,私营有限责任公司餐饮业企业固定资产合计,私营股份有限公司餐饮业企业固定资产合计,其他餐饮业企业固定资产合计,港、澳、台商投资餐饮业企业固定资产合计,港、澳、台商合资经营餐饮业企业固定资产合计,港、澳、台商合作经营餐饮业企业固定资产合计,港、澳、台商独资经营餐饮业企业固定资产合计,港、澳、台商投资股份有限公司餐饮业企业固定资产合计,其他港澳台商投资餐饮业企业固定资产合计,外商投资餐饮业企业固定资产合计,中外合资经营餐饮业企业固定资产合计,中外合作经营餐饮业企业固定资产合计,外资餐饮业企业固定资产合计,外商投资股份有限公司餐饮业企业固定资产合计,其他外商投资餐饮业企业固定资产合计,正餐服务业固定资产合计,快餐服务业固定资产合计,饮料及冷饮服务业固定资产合计,餐饮配送及外卖送餐服务固定资产合计,其他餐饮服务业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1459.3,1239.4,38.8,3.9,3.1,1.2,,1.1,,,442.3,38.2,404.1,51.0,697.8,63.8,7.4,609.3,17.3,1.2,139.4,54.8,1.7,81.1,1.6,,80.6,22.0,0.1,52.7,0.1,5.5,1299.7,122.4,18.5,9.6,9.1
2017,1572.7704,1377.172,50.085,7.206,3.035,0.264,,0.25,,,553.098,36.187,516.911,54.35,701.235,73.728,6.708,594.511,26.289,7.9,111.189,22.894,2.285,84.87,1.103,,84.41,26.592,0.191,53.786,1.346,2.495,1404.546,130.403,16.58,,21.242
2016,1573.3193,1379.7852,49.8597,5.388,3.8843,0.4018,,0.4018,,,521.2512,22.6783,498.5729,66.3459,721.6003,86.3928,8.4134,596.6789,30.1157,11.0544,97.7528,26.0504,2.2913,68.1863,1.1886,,95.7816,28.8089,0.2788,63.5388,0.6862,2.4689,1410.9164,121.5067,16.6533,,24.243
2015,1531.0667,1342.3292,52.196,4.6718,3.53,0.942,,0.942,,,494.4643,29.4074,465.0565,45.2707,725.2186,93.4179,14.4351,590.4487,26.917,16.0372,81.7988,19.6039,3.9425,56.9376,1.1889,0.1261,106.9382,34.5702,0.4713,70.9972,0.886,0.0137,1380.482,110.9184,15.2284,,24.438
2014,1467.7342,1261.2,58.39676,5.8237,5.1153,0.95542,,0.95542,,,450.22911,25.34212,424.88699,52.39515,672.40996,98.0271,10.06652,539.3,24.9623,15.94695,88.46877,21.27571,4.73961,61.4987,0.92347,0.03128,117.99311,42.49956,1.33367,72.24485,0.96135,0.95368,1307.14441,121.69062,15.13525,,23.76395
2013,1448.66685,1253.90602,60.56841,5.57679,5.54502,0.96749,,0.96749,,,433.73393,20.9752,412.75873,58.90071,669.8696,108.45921,11.05282,520.17047,30.1871,18.74407,81.65608,17.67132,5.4096,57.52831,1.01727,,113.10475,36.98621,1.366,73.89466,0.76303,0.09485,1304.18119,112.545,10.51906,,21.4216
2012,1254.83874,1065.48675,82.08221,10.42011,10.60899,1.261,0.12156,1.08942,,0.05002,311.66017,9.99254,301.66763,49.04567,548.29375,127.39885,14.71985,385.03888,21.13617,52.11485,76.84593,21.39416,6.09516,48.27931,1.06129,,112.50606,43.44355,1.61495,66.54494,0.63351,0.26911,1123.96547,104.97787,9.05383,,16.84157
2011,1062.0,892.4,70.1,10.7,12.2,1.6,0.1,1.2,,0.2,254.8,6.7,248.0,48.0,455.8,112.2,15.7,306.6,21.3,39.2,66.6,19.2,4.5,42.1,0.8,,103.0,42.4,1.6,57.8,0.9,0.3,944.6,88.0,5.6,,23.8
2010,945.3,804.4,61.0,12.5,14.2,0.5,0.1,,,0.3,209.5,1.2,208.3,40.5,445.8,138.2,20.0,263.4,24.2,20.3,63.2,18.2,4.9,37.8,2.4,,77.7,20.8,3.9,50.5,2.4,,844.2,73.6,5.7,,21.9
