年份,人民检察院一审出庭公诉案件数,人民检察院贪污贿赂一审出庭公诉案件数,人民检察院渎职侵权一审出庭公诉案件数,人民检察院刑事案件一审出庭公诉案件数,人民检察院军人违反职责一审出庭公诉案件数
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,,,,,
2014,,,,,
2013,396010.0,19208.0,5481.0,371321.0,
2012,538654.0,23570.0,5816.0,509267.0,1.0
2011,466795.0,19855.0,4527.0,442413.0,
2010,451451.0,21859.0,4558.0,425032.0,2.0
2009,435149.0,18946.0,3790.0,412410.0,3.0
2008,427113.0,18930.0,3507.0,404671.0,5.0
2007,400899.0,17014.0,2939.0,380945.0,1.0
2006,,,,,
2005,,,,,
2004,,,,,
2003,,,,,
2002,,,,,
2001,,,,,
2000,,,,,
