年份,人民检察院处理申诉案件受案件数,人民检察院处理不服检察机关处理决定的申诉案件受案件数,人民检察院处理不服不批捕的申诉案件受案件数,人民检察院处理不服不起诉的申诉案件受案件数,人民检察院处理不服撤案的申诉案件受案件数,人民检察院处理不服原免予起诉的申诉案件受案件数,人民检察院处理其他不服检察机关处理决定的申诉案件受案件数,人民检察院处理不服法院刑事判决裁定的申诉案件受案件数,人民检察院处理刑罚执行中被害人申诉的申诉案件受案件数,人民检察院处理刑罚执行中被告人申诉的申诉案件受案件数,人民检察院处理刑罚执行完毕后被害人申诉的申诉案件受案件数,人民检察院处理刑罚执行完毕后被告人申诉的申诉案件受案件数
2019,19580,4672,192,4157,15,,308,14908,,,,
2018,16926,3779,187,3375,28,,189,13147,2632.0,3955.0,1143.0,4572.0
2017,15715,3988,256,3488,34,,210,11727,2448.0,3197.0,1151.0,4239.0
2016,13343,3360,227,2875,36,9.0,213,9983,2199.0,2802.0,963.0,3517.0
2015,13582,3681,261,2958,31,52.0,379,9901,2321.0,2876.0,965.0,3458.0
2014,17359,6076,713,3759,34,68.0,1502,11283,3359.0,3701.0,1119.0,3104.0
2013,22646,9259,1468,4357,63,74.0,3297,13387,4761.0,4876.0,1162.0,2588.0
2012,16649,6664,2118,2405,66,58.0,2017,9985,3792.0,3461.0,902.0,1830.0
2011,11391,4224,1048,1822,52,56.0,1246,7167,2671.0,2298.0,669.0,1529.0
2010,13586,6583,1943,2846,86,108.0,1600,7003,2540.0,2376.0,605.0,1482.0
2009,6423,3033,569,1426,51,75.0,912,3390,1022.0,1233.0,297.0,838.0
2008,5375,2402,336,993,46,67.0,960,2973,929.0,1069.0,233.0,742.0
2007,6225,2632,388,1075,86,119.0,964,3593,1054.0,1352.0,288.0,899.0
2006,8162,3422,437,1398,107,162.0,1318,4740,1383.0,1807.0,389.0,1161.0
2005,8127,3623,519,1551,132,139.0,1282,4504,1093.0,1903.0,363.0,1145.0
2004,10939,5181,559,2334,186,170.0,1932,5758,1477.0,2522.0,497.0,1262.0
2003,10166,4945,803,1796,258,212.0,1876,5221,1429.0,2247.0,415.0,1130.0
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
