年份,人民检察院决定起诉被告人数,人民检察院决定起诉的公安、安全、监狱机关提请案件被告人数,人民检察院决定起诉的危害国家安全案被告人数,人民检察院决定起诉的危害公共安全案被告人数,人民检察院决定起诉的破坏社会主义市场经济秩序案被告人数,人民检察院决定起诉的侵犯公民人身、民主权利案被告人数,人民检察院决定起诉的侵犯财产案被告人数,人民检察院决定起诉的妨害社会管理秩序案被告人数,人民检察院决定起诉的危害国防利益案被告人数,人民检察院决定起诉的军人违反职责案被告人数,人民检察院决定起诉的检察机关直接立案侦查案件被告人数,人民检察院决定起诉的贪污贿赂案被告人数,人民检察院决定起诉的渎职侵权案被告人数
2019,1818808,,,433428,138537,211180,441437,575635,,,,15173,2329
2018,1692846,,,401108,113285,223648,424775,509569,378.0,,,17340,2384
2017,1705772,,,367500,103511,223845,448375,521064,322.0,,,33580,7379
2016,1440535,,,280559,96707,205537,429627,389554,289.0,,,29640,7709
2015,1434714,,,247511,93660,216140,411143,421790,259.0,10.0,,34554,8551
2014,1437899,,,230372,91025,235597,441971,391099,374.0,20.0,,35845,10185
2013,1369865,,,201442,84202,237959,444401,355250,338.0,5.0,,34722,10162
2012,1435182,1390771.0,1049.0,185738,105024,248618,506186,343816,339.0,1.0,44411.0,34354,10057
2011,1238861,1201032.0,974.0,130278,54891,238013,461706,314881,287.0,2.0,37829.0,29657,8172
2010,1189198,1148409.0,1223.0,96964,50775,238719,463424,297019,283.0,2.0,40789.0,32221,8568
2009,1168909,1134380.0,1095.0,94329,42473,227740,502606,265835,300.0,2.0,34529.0,27593,6936
2008,1177850,1143897.0,1407.0,100195,37567,217558,544805,242079,284.0,2.0,33953.0,27592,6361
2007,1113319,1082487.0,619.0,98159,33095,206715,530256,213279,357.0,7.0,30832.0,25378,5454
2006,1029052,999086.0,561.0,90367,27728,196718,501579,181833,288.0,12.0,29966.0,25115,4851
2005,981009,950804.0,349.0,83800,24950,188574,492080,160702,336.0,13.0,30205.0,25530,4675
2004,897974,867186.0,467.0,77261,22179,175871,450745,140430,221.0,12.0,30788.0,26131,4657
2003,819217,793093.0,456.0,62543,21440,166969,414870,126591,220.0,4.0,26124.0,22631,3493
2002,854870,829530.0,766.0,60990,23690,172871,442076,128896,231.0,10.0,25340.0,22676,2664
2001,845306,817479.0,886.0,61909,23526,169787,429193,131872,301.0,5.0,27827.0,24909,2918
2000,708836,681254.0,683.0,45022,25257,153107,361964,94947,262.0,12.0,27582.0,24854,2728
