年份,人民法院审理合同纠纷一审案件结案中判决件数,人民法院审理借款合同一审案件结案中判决件数,人民法院审理买卖合同一审案件结案中判决件数,人民法院审理电信合同一审案件结案中判决件数,人民法院审理租赁合同一审案件结案中判决件数,人民法院审理劳动争议一审案件结案中判决件数,人民法院审理房地产合同一审案件结案中判决件数,人民法院审理供用动力合同一审案件结案中判决件数,人民法院审理建设工程合同一审案件结案中判决件数,人民法院审理农村承包合同一审案件结案中判决件数,人民法院审理承揽合同一审案件结案中判决件数,人民法院审理其他合同纠纷一审案件结案中判决件数
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,,,,,,,,,,,,
2016,3144012.0,1448956.0,455972.0,1645.0,118212.0,228971.0,130715.0,7510.0,82660.0,8972.0,41540.0,618859.0
2015,2501152.0,1135359.0,367654.0,2759.0,94814.0,201792.0,109724.0,7047.0,67034.0,8681.0,36306.0,469982.0
2014,1716963.0,764268.0,251798.0,1939.0,69108.0,146797.0,66249.0,5261.0,47093.0,6634.0,27464.0,330352.0
2013,1282387.0,544786.0,190425.0,2539.0,53975.0,113368.0,55134.0,5817.0,35831.0,6020.0,21653.0,252839.0
2012,1045527.0,411369.0,161097.0,2015.0,46638.0,99353.0,45073.0,6058.0,30836.0,6331.0,19488.0,217269.0
2011,965626.0,353284.0,155226.0,4151.0,46087.0,92258.0,44534.0,7030.0,28789.0,8047.0,19711.0,206509.0
2010,1016249.0,355468.0,175600.0,3478.0,48577.0,110257.0,47248.0,8802.0,32552.0,10003.0,21987.0,202277.0
2009,1103888.0,372961.0,203198.0,5078.0,52962.0,125578.0,53194.0,12431.0,35512.0,13104.0,27314.0,202556.0
2008,1095945.0,369806.0,215522.0,8621.0,50858.0,124652.0,55079.0,14767.0,34967.0,17192.0,27898.0,176583.0
2007,980987.0,338502.0,200082.0,13835.0,48811.0,70963.0,52430.0,19423.0,32597.0,18200.0,25304.0,160840.0
2006,926504.0,302307.0,202954.0,15545.0,45904.0,66989.0,51689.0,18960.0,32541.0,19126.0,25364.0,145125.0
2005,930483.0,308003.0,209714.0,15299.0,45451.0,62608.0,52896.0,21173.0,33353.0,18210.0,25583.0,138193.0
2004,946910.0,331906.0,218666.0,14445.0,43131.0,57721.0,53964.0,19968.0,32408.0,17492.0,23958.0,133251.0
2003,1017418.0,391140.0,233804.0,14152.0,45261.0,55831.0,55203.0,23221.0,32094.0,17278.0,24296.0,125138.0
2002,1019161.0,414039.0,240430.0,14701.0,42621.0,49010.0,46741.0,20105.0,29832.0,15794.0,23742.0,122146.0
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
