年份,人民法院审理合同纠纷一审案件结案数,人民法院审理借款合同一审案件结案数,人民法院审理买卖合同一审案件结案数,人民法院审理电信合同一审案件结案数,人民法院审理租赁合同一审案件结案数,人民法院审理劳动争议一审案件结案数,人民法院审理房地产合同一审案件结案数,人民法院审理供用动力合同一审案件结案数,人民法院审理建设工程合同一审案件结案数,人民法院审理农村承包合同一审案件结案数,人民法院审理承揽合同一审案件结案数,人民法院审理其他合同纠纷一审案件结案数
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,,,,,,,,,,,,
2016,6686934.0,2639302.0,1044953.0,31639.0,248373.0,474770.0,254795.0,59862.0,169889.0,21907.0,96431.0,1645013.0
2015,5616624.0,2187697.0,866704.0,43268.0,206415.0,455761.0,226370.0,54231.0,144911.0,21257.0,88829.0,1321181.0
2014,4375771.0,1653846.0,664075.0,68388.0,164387.0,374299.0,165928.0,54235.0,108195.0,18530.0,73616.0,1030272.0
2013,3957002.0,1419959.0,595807.0,122361.0,146671.0,354725.0,158243.0,61170.0,91940.0,22853.0,66872.0,916401.0
2012,3720160.0,1252009.0,559648.0,149305.0,137512.0,345177.0,138222.0,75345.0,83448.0,27457.0,63517.0,888520.0
2011,3286997.0,1048011.0,526367.0,138711.0,134826.0,304228.0,128050.0,69081.0,77490.0,34652.0,64325.0,761256.0
2010,3239740.0,1024484.0,555553.0,131099.0,138431.0,327407.0,128167.0,79157.0,82460.0,38600.0,68379.0,666003.0
2009,3154347.0,979094.0,594404.0,115946.0,134649.0,317072.0,126821.0,79620.0,86418.0,39254.0,76895.0,604174.0
2008,2905603.0,897905.0,587151.0,114587.0,127879.0,286221.0,118564.0,72100.0,81357.0,49370.0,77660.0,492809.0
2007,2440738.0,786542.0,520473.0,107064.0,114146.0,147592.0,99350.0,76294.0,71528.0,49464.0,66422.0,401863.0
2006,2236888.0,686296.0,501526.0,105548.0,105237.0,124966.0,98121.0,75383.0,68243.0,56709.0,63782.0,351077.0
2005,2255651.0,704528.0,510899.0,119484.0,103182.0,121516.0,94635.0,77316.0,70129.0,56221.0,63902.0,333839.0
2004,2235890.0,735231.0,519262.0,119817.0,99800.0,108229.0,93622.0,74649.0,66351.0,53220.0,59287.0,306422.0
2003,2269167.0,815820.0,525580.0,110813.0,100344.0,98159.0,92663.0,71207.0,62231.0,58790.0,55407.0,278153.0
2002,2251113.0,857972.0,533459.0,99668.0,94679.0,82886.0,81170.0,62040.0,57684.0,55992.0,53675.0,271888.0
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
